State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Wyoming,State,Wyoming,Total - All Government Employment Functions,11048,T,58404021,T,3391,T,4274023,T,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Financial Administration,614,R,3448722,R,0,R,0,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Other Government Administration,193,R,1074379,R,160,R,375976,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Judicial and Legal,613,R,3735839,R,29,R,123397,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Police Protection - Persons with Power of Arrest,180,R,991515,R,0,R,0,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Corrections,974,R,4038636,R,2,R,3554,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Highways,1619,R,7246108,R,31,R,71883,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Public Welfare,544,R,2287212,R,15,R,28551,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Health,760,T,4110100,T,82,T,222660,T,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Hospitals,606,T,2413509,T,17,T,38407,T,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Social Insurance Administration,98,R,389421,R,0,R,0,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Parks and Recreation,206,R,907401,R,34,R,46566,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Natural Resources,858,T,4312992,T,52,R,73779,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Education - Higher Education Instructional,931,T,8612232,T,840,T,1403548,T,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Education - Higher Education Other,1744,T,9377766,T,2113,T,1854694,T,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,Education - Other,187,R,1136431,R,3,R,13008,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,State liquor stores,31,R,122888,R,0,R,0,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,State,Wyoming,All other and unallocable,890,R,4198871,R,13,R,18001,R,51000000000000,West,NA,56,NA,582328,20,NA,1,00,227545
Wyoming,County,Albany,Total - All Government Employment Functions,147,R,662641,R,36,C,50167,C,51100100100000,West,Albany,56,001,38950,20,NA,1,04,191900
Wyoming,County,Albany,Financial Administration,21,R,88471,R,0,R,0,R,51100100100000,West,Albany,56,001,38950,20,NA,1,04,191900
