cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
015009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,2563324110,290,Franklin,N,For profit - Corporation,57,52.4,NA,Medicare and Medicaid,N,"BURNS NURSING HOME, INC.",1969-09-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,Y,N,Resident,Yes,2,NA,2,NA,4,NA,5,NA,4,NA,4,NA,NA,NA,2.47388,0.54998,1.02491,1.57489,4.04877,3.18247,0.57434,0,41.9,NA,8.3,NA,0,NA,1.37999,0.9916,2.31235,0.85308,0.67361,3.83904,3.40574,2.47743,0.55077,1.02638,4.05459,3.18704,2023-03-02,4,4,0,56,1,0,56,2019-08-21,2,2,0,8,1,0,8,44,NA,0,0,0,0,"701 MONROE STREET NW,RUSSELLVILLE,AL,35653",34.5149,-87.736,NA,2026-06-01
015010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,2562495604,600,Talladega,N,For profit - Corporation,85,78.2,NA,Medicare and Medicaid,N,COOSA VALLEY HEALTHCARE CENTER LLC,1967-01-01,PRIME HEALTH CARE ENTERPRISES,419,5,3.8,3.8,3.8,2.2,N,NA,N,Y,N,Resident,Yes,5,NA,5,NA,2,NA,3,NA,2,NA,4,NA,NA,NA,2.6752,0.88032,0.85124,1.73155,4.40675,3.54039,0.45082,0.01087,47.1,NA,23.1,NA,0,NA,1.30946,0.94092,2.19417,0.80948,0.63918,3.64284,3.23168,2.82334,0.92906,0.89837,4.65077,3.73643,2022-04-09,0,0,0,0,0,0,0,2019-06-13,1,1,0,4,1,0,4,1,0,0,0,0,0,"260 WEST WALNUT STREET,SYLACAUGA,AL,35150",33.1637,-86.254,NA,2026-06-01
015012,HIGHLANDS HEALTH AND REHAB,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,2562183708,350,Jackson,N,Government - County,50,45.3,NA,Medicare and Medicaid,N,HH HEALTH SYSTEM - JACKSON LLC,1967-01-01,HUNTSVILLE HOSPITAL HEALTH SYSTEM,610,3,3.3,2.7,3.7,4.3,N,NA,N,Y,N,Resident,Yes,5,NA,4,NA,5,NA,4,NA,5,NA,4,NA,NA,NA,2.95737,0.89179,0.86006,1.75185,4.70922,4.00663,0.47527,0.10499,NA,26,NA,26,0,NA,1.30857,0.94028,2.19268,0.80893,0.63875,3.64036,3.22948,3.12325,0.94181,0.90831,4.97337,4.23137,2022-03-24,0,0,0,0,0,0,0,2019-06-06,2,2,0,20,1,0,20,5,NA,0,0,0,0,"380 WOODS COVE ROAD,SCOTTSBORO,AL,35768",34.6611,-86.047,NA,2026-06-01
015014,THE HEALTHCARE CENTER OF EASTVIEW,7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206,2058330146,360,Jefferson,Y,For profit - Individual,92,70.2,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1967-01-01,BALL HEALTHCARE SERVICES,66,10,2.8,2.7,3.4,2.8,N,NA,N,Y,N,None,Yes,3,NA,2,NA,5,NA,5,NA,NA,2,3,NA,NA,NA,2.25282,0.76632,0.67327,1.43959,3.69241,3.13118,0.4624,0.01424,54.9,NA,57.1,NA,NA,26,1.26892,0.91179,2.12624,0.78442,0.61939,3.53005,3.13163,2.45353,0.8346,0.73325,4.02138,3.41014,2023-09-13,4,4,0,32,1,0,32,2020-02-20,2,1,1,8,1,0,8,26,0,0,0,0,0,"7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206",33.5595,-86.722,NA,2026-06-01
015015,PLANTATION MANOR NURSING HOME,6450 OLD TUSCALOOSA HIGHWAY,MC CALLA,AL,35111,2054776161,360,Jefferson,Y,For profit - Corporation,103,97.8,NA,Medicare and Medicaid,N,"C & G HEALTHCARE SERVICES, INC.",1971-07-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,2,NA,2,NA,3,NA,4,NA,NA,NA,2.29626,0.7163,0.37319,1.08949,3.38576,3.26257,0.20875,0.00853,31.5,NA,30,NA,0,NA,1.12615,0.8092,1.887,0.69616,0.5497,3.13286,2.77927,2.81791,0.87902,0.45797,4.1549,4.00373,2026-02-20,5,5,3,20,1,0,20,2020-03-05,2,2,0,20,1,0,20,20,NA,0,0,0,0,"6450 OLD TUSCALOOSA HIGHWAY,MC CALLA,AL,35111",33.3222,-87.034,NA,2026-06-01
015016,ATHENS HEALTH AND REHABILITATION LLC,611 WEST MARKET STREET,ATHENS,AL,35611,2562321620,410,Limestone,Y,For profit - Corporation,149,138.7,NA,Medicare and Medicaid,N,ATHENS HEALTH AND REHABILITATION LLC,1967-01-01,NHS MANAGEMENT,372,43,3,2.8,3.7,3.5,N,NA,N,Y,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,4,NA,NA,NA,2.45407,0.72478,0.61447,1.33925,3.79332,3.33507,0.34566,0.06302,47.1,NA,26.3,NA,0,NA,1.33748,0.96105,2.24112,0.82681,0.65286,3.72079,3.30084,2.5357,0.74889,0.63491,3.91949,3.44601,2022-04-14,0,0,0,0,0,0,0,2019-08-29,4,4,0,20,1,0,20,5,NA,0,0,0,0,"611 WEST MARKET STREET,ATHENS,AL,35611",34.8035,-86.977,NA,2026-06-01
015019,MERRY WOOD LODGE,280 MT HEBRON ROAD,ELMORE,AL,36025,3345678484,250,Elmore,Y,For profit - Limited Liability company,124,95.4,NA,Medicare and Medicaid,N,SUNBRIDGE HEALTHCARE LLC,1974-01-01,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,SFF Candidate,Y,N,N,Resident,Yes,1,NA,1,NA,4,NA,5,NA,2,NA,3,NA,NA,NA,1.85105,0.4977,0.85477,1.35247,3.20351,2.84846,0.63621,0.02579,54.4,NA,66.7,NA,0,NA,1.28316,0.92202,2.1501,0.79322,0.62634,3.56967,3.16677,1.99359,0.53602,0.92059,3.4502,3.06781,2024-09-01,8,8,8,557,2,279,836,2020-03-03,7,6,1,52,1,0,52,640,NA,1,182968,1,2,"280 MT HEBRON ROAD,ELMORE,AL,36025",32.5582,-86.323,NA,2026-06-01
015023,HATLEY HEALTH CARE INC,300 MEDICAL CENTER DRIVE,CLANTON,AL,35045,2057554960,100,Chilton,Y,For profit - Corporation,201,90.6,NA,Medicare and Medicaid,N,"HATLEY HEALTH CARE, INC.",1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,Y,N,Both,Yes,4,NA,4,NA,4,NA,4,NA,NA,2,3,NA,NA,NA,1.75282,1.2291,0.57518,1.80429,3.5571,2.85353,0.21263,8.5e-4,48.2,NA,42.9,NA,0,NA,1.39106,0.99955,2.3309,0.85993,0.67901,3.86983,3.43306,1.74137,1.22107,0.57143,3.53387,2.83489,2023-06-15,4,4,1,8,1,0,8,2022-01-19,0,0,0,0,0,0,0,6,NA,0,0,0,0,"300 MEDICAL CENTER DRIVE,CLANTON,AL,35045",32.8548,-86.625,NA,2026-06-01
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",1600 WEST HOBBS STREET,ATHENS,AL,35611,2562323461,410,Limestone,Y,For profit - Corporation,170,139.4,NA,Medicare and Medicaid,N,LIMESTONE NURSING AND REHABILITATION CENTER LLC,1979-01-01,PRESTON HEALTH SERVICES,702,5,3.2,3.2,3.4,2.6,N,NA,N,Y,N,Resident,Yes,3,NA,3,NA,3,NA,4,NA,2,NA,3,NA,NA,NA,2.43488,1.06555,0.45535,1.5209,3.95578,3.36103,0.27585,0.02626,48.1,NA,47.1,NA,0,NA,1.31793,0.947,2.20836,0.81472,0.64331,3.66639,3.25258,2.55319,1.11733,0.47748,4.148,3.52435,2020-02-13,3,3,0,24,1,0,24,2019-03-20,2,2,0,20,1,0,20,23,NA,0,0,0,0,"1600 WEST HOBBS STREET,ATHENS,AL,35611",34.8053,-86.991,NA,2026-06-01
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",1825 HOLTVILLE ROAD,WETUMPKA,AL,36092,3345675131,250,Elmore,Y,For profit - Corporation,121,116.7,NA,Medicare and Medicaid,N,"WETUMPKA HEALTH AND REHABILITATION, LLC",1967-07-24,NHS MANAGEMENT,372,43,3,2.8,3.7,3.5,N,NA,N,Y,N,Resident,Yes,1,NA,1,NA,2,NA,3,NA,1,NA,3,NA,NA,NA,2.68861,0.69842,0.5425,1.24092,3.92953,3.27368,0.37265,0.02079,57.7,NA,70.6,NA,1,NA,1.22535,0.88048,2.05323,0.75749,0.59812,3.40885,3.0241,3.03225,0.78769,0.61184,4.43178,3.6921,2023-12-07,15,15,4,104,1,0,104,2022-01-27,0,0,0,0,0,0,0,78,NA,0,0,0,0,"1825 HOLTVILLE ROAD,WETUMPKA,AL,36092",32.5584,-86.221,NA,2026-06-01
