cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
025010,KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,9072255171,130,Ketchikan Gateway,N,Non profit - Corporation,29,25.4,NA,Medicare and Medicaid,Y,PEACEHEALTH,1968-07-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,NA,2,1,25,25,6,NA,NA,NA,NA,NA,NA,NA,NA,56.9,NA,57.7,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-02-28,11,1,10,156,1,0,156,2024-03-15,3,3,0,8,1,0,8,119,0,0,0,0,0,"3100 TONGASS AVENUE,KETCHIKAN,AK,99901",55.3119,-131.59,NA,2026-06-01
025015,WRANGELL MEDICAL CENTER LTC,232 WOOD STREET,WRANGELL,AK,99929,9078747000,280,Wrangell,N,Non profit - Corporation,18,15.1,NA,Medicare and Medicaid,Y,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,1976-07-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,NA,2,5,NA,NA,NA,5.16003,0,2.71352,2.71352,7.87354,6.71599,1.58553,0.06542,48.5,NA,50,NA,0,NA,1.31458,0.9446,2.20274,0.81265,0.64168,3.65707,3.24431,5.42456,0,2.85263,8.27719,7.06029,2026-03-12,2,2,0,8,1,0,8,2024-10-25,4,4,0,48,1,0,48,18,NA,0,0,0,0,"232 WOOD STREET,WRANGELL,AK,99929",56.4575,-132.37,NA,2026-06-01
025018,POLARIS TRANSITIONAL CARE,910 COMPASSION CIRCLE,ANCHORAGE,AK,99504,9072129200,020,Anchorage,Y,For profit - Limited Liability company,50,47.9,NA,Medicare and Medicaid,N,KORSIN HEALTHCARE LLC,1983-09-01,THE ENSIGN GROUP,507,342,3.2,2.9,2.4,4.4,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,2.06089,0.38259,2.43631,2.8189,4.87979,3.9821,1.80838,0.15146,63.2,NA,51.2,NA,2,NA,1.42761,1.0258100000000001,2.39214,0.88252,0.69685,3.97151,3.52326,1.99501,0.37036,2.35843,4.7238,3.85481,2025-11-21,12,9,3,76,1,0,76,2024-11-01,8,6,2,161,1,0,161,97.25,NA,1,109382,0,1,"910 COMPASSION CIRCLE,ANCHORAGE,AK,99504",61.2131,-149.78,NA,2026-06-01
025019,PETERSBURG MEDICAL CENTER LTC,103 FRAM STREET,PETERSBURG,AK,99833,9077724291,195,Petersburg,N,Government - City/county,15,13.1,NA,Medicare and Medicaid,Y,THE PETERSBURG MEDICAL CENTER,1981-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,4,NA,5,NA,3,NA,3,NA,NA,2,1,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-04,2,2,0,4,1,0,4,2024-03-11,4,4,0,32,1,0,32,11,NA,0,0,0,0,"103 FRAM STREET,PETERSBURG,AK,99833",56.8125,-132.96,NA,2026-06-01
025020,Denali Center,1510 19TH AVENUE,FAIRBANKS,AK,99701,9074585100,090,Fairbanks North Star,Y,Non profit - Corporation,71,72.3,NA,Medicare and Medicaid,Y,DENALI CENTER LLC,1983-11-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,3,NA,2,NA,5,NA,4,NA,5,NA,4,NA,NA,NA,3.20312,0.84449,1.07829,1.92278,5.12591,4.33307,0.82655,0.03941,NA,26,NA,26,NA,26,1.32452,0.95174,2.21939,0.81879,0.64653,3.68471,3.26883,3.34207,0.88112,1.12507,5.34826,4.52103,2026-01-20,10,10,0,96,1,0,96,2025-01-10,15,13,2,124,1,0,124,103,NA,1,15935,0,1,"1510 19TH AVENUE,FAIRBANKS,AK,99701",64.8304,-147.74,NA,2026-06-01
025021,HERITAGE PLACE,232 ROCKWELL AVENUE,SOLDOTNA,AK,99669,9072622545,120,Kenai Peninsula,N,For profit - Corporation,60,43.8,NA,Medicare and Medicaid,Y,CENTRAL PENINSULA GENERAL HOSPITAL INC,1986-07-14,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,4,NA,2,NA,5,NA,5,NA,NA,NA,5.10581,0.46304,1.57021,2.03324,7.13905,6.01753,1.13475,0.064,22.5,NA,17.6,NA,NA,26,1.38677,0.99647,2.32371,0.85727,0.67692,3.85789,3.42247,5.08815,0.46143,1.56477,7.11436,5.99672,2025-06-13,8,8,0,72,1,0,72,2024-05-17,5,5,0,48,1,0,48,66,0,0,0,0,0,"232 ROCKWELL AVENUE,SOLDOTNA,AK,99669",60.4932,-151.08,NA,2026-06-01
025024,PROVIDENCE SEWARD MOUNTAIN HAVEN,2203 OAK STREET,SEWARD,AK,99664,9072245241,210,Kenai Peninsula,N,Government - City,40,39.1,NA,Medicare and Medicaid,N,CITY OF SEWARD,1994-01-01,PROVIDENCE HEALTH & SERVICES,430,9,2.8,2.6,4,3.7,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,4,NA,4,NA,NA,2,4,NA,NA,NA,3.99336,1.08791,1.98458,3.07249,7.06585,6.19242,1.5713,0,76.5,NA,78.9,NA,NA,26,1.28254,0.92158,2.14906,0.79284,0.62604,3.56795,3.16525,4.30295,1.17225,2.13843,7.61363,6.67249,2024-09-13,7,6,1,44,1,0,44,2023-03-03,8,7,1,40,1,0,40,43,NA,0,0,0,0,"2203 OAK STREET,SEWARD,AK,99664",60.1328,-149.44,NA,2026-06-01
025025,CENTENNIAL POST ACUTE,9100 CENTENNIAL DRIVE,ANCHORAGE,AK,99504,9073338100,020,Anchorage,Y,For profit - Limited Liability company,102,94.3,NA,Medicare and Medicaid,N,CENTENNIAL SNF HEALTHCARE LLC,1994-01-31,PACS GROUP,690,280,3,2.5,2.4,4.3,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,3,NA,5,NA,4,NA,NA,NA,2.89422,0.26468,1.32789,1.59258,4.4868,4.10748,0.96198,0.10694,52.7,NA,61.5,NA,1,NA,1.42571,1.02445,2.38896,0.88135,0.69592,3.96623,3.51858,2.80543,0.25656,1.28716,4.34915,3.98147,2024-12-12,34,15,19,331,1,0,331,2023-10-16,36,21,16,316,1,0,316,327.25,NA,3,316369,1,4,"9100 CENTENNIAL DRIVE,ANCHORAGE,AK,99504",61.2257,-149.71,NA,2026-06-01
025026,QUYANNA CARE CENTER,1100 GREG KRUSCHEK AVENUE,NOME,AK,99762,9074433311,180,Nome,N,Non profit - Corporation,18,17.9,NA,Medicare and Medicaid,N,NORTON SOUND HEALTH CORPORATION,1994-06-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,NA,2,4,NA,NA,NA,5.0753,1.13442,2.65492,3.78934,8.86464,7.30873,2.21875,0,NA,26,NA,26,NA,26,1.04515,0.751,1.75128,0.64609,0.51016,2.90753,2.57937,6.71093,1.50001,3.51053,11.72147,9.66413,2026-01-20,3,3,0,24,1,0,24,2024-10-04,7,7,0,68,1,0,68,35,NA,0,0,0,0,"1100 GREG KRUSCHEK AVENUE,NOME,AK,99762",64.5027,-165.39,NA,2026-06-01
025027,WILDFLOWER COURT,2000 SALMON CREEK LANE,JUNEAU,AK,99801,9074638700,110,Juneau,N,Government - City/county,57,53,NA,Medicare and Medicaid,Y,BARTLETT REGIONAL HOSPITAL,1994-05-15,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,4.31706,0.62984,1.35822,1.98806,6.30512,5.93057,1.26451,0.05453,48,NA,63.3,NA,2,NA,1.19944,0.86186,2.00982,0.74147,0.58548,3.33677,2.96016,4.97402,0.72568,1.56492,7.26462,6.83307,2025-05-09,9,9,0,60,1,0,60,2024-02-16,13,12,1,96,1,0,96,69,NA,0,0,0,0,"2000 SALMON CREEK LANE,JUNEAU,AK,99801",58.3311,-134.47,NA,2026-06-01
