cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
065001,LOWRY HILLS CARE AND REHABILITATION,10201 E 3RD AVE,AURORA,CO,80010,3033643364,020,Arapahoe,Y,For profit - Individual,108,101.7,NA,Medicare and Medicaid,N,SWEETWATER AURORA OPCO LLC,1968-09-19,SWEETWATER CARE,500,10,2.6,2.2,3.1,3.8,N,NA,N,Y,N,Both,Yes,2,NA,2,NA,3,NA,4,NA,2,NA,3,NA,NA,NA,2.00237,0.62952,0.59742,1.22694,3.22931,3.04731,0.39011,0.19113,43,NA,64.7,NA,1,NA,1.22148,0.8777,2.04674,0.75509,0.59623,3.39807,3.01454,2.26546,0.71224,0.67591,3.65361,3.4477,2024-05-07,16,12,6,100,1,0,100,2023-01-26,13,10,3,92,1,0,92,98,NA,1,2516,0,1,"10201 E 3RD AVE,AURORA,CO,80010",39.7201,-104.87,NA,2026-06-01
065009,CITY PARK HEALTHCARE AND REHABILITATION CENTER,1667 SAINT PAUL ST,DENVER,CO,80206,3033992040,150,Denver,Y,For profit - Corporation,125,118.2,NA,Medicare and Medicaid,N,HARMONY HILL HEALTHCARE INC,1980-06-01,THE ENSIGN GROUP,507,342,3.2,2.9,2.4,4.4,N,NA,Y,N,N,Both,Yes,3,NA,2,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,1.88773,0.59881,0.48694,1.08575,2.97348,2.64216,0.27331,0.03905,31,NA,55.6,NA,0,NA,1.19444,0.85827,2.00143,0.73838,0.58303,3.32284,2.9478,2.18411,0.69282,0.5634,3.44034,3.057,2026-01-15,8,6,2,56,1,0,56,2023-10-12,22,17,6,132,1,0,132,75,NA,1,12735,0,1,"1667 SAINT PAUL ST,DENVER,CO,80206",39.743,-104.95,NA,2026-06-01
065015,MOUNTAIN VISTA HEALTH CENTER,4800 TABOR ST,WHEAT RIDGE,CO,80033,3034214161,290,Jefferson,Y,Non profit - Corporation,168,80.2,NA,Medicare and Medicaid,N,BAPTIST HOME ASSOCIATION OF THE ROCKY MOUNTAINS INC,1967-01-01,AMERICAN BAPTIST HOMES OF THE MIDWEST,29,6,2.2,1.8,3.7,3.8,Y,NA,Y,Y,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,NA,2,3,NA,NA,NA,2.35843,0.86777,0.90975,1.77752,4.13595,3.88132,0.59535,0.07797,64.7,NA,75,NA,2,NA,1.27604,0.9169,2.13816,0.78882,0.62286,3.54984,3.14918,2.55423,0.93981,0.98528,4.47932,4.20355,2024-03-20,16,14,7,124,1,0,124,2022-12-08,14,5,8,104,1,0,104,119,1,3,39227,0,3,"4800 TABOR ST,WHEAT RIDGE,CO,80033",39.7851,-105.13,NA,2026-06-01
065034,AMBERWOOD POST ACUTE,4686 E ASBURY CIR,DENVER,CO,80222,3037561566,150,Denver,Y,For profit - Corporation,88,82.9,NA,Medicare and Medicaid,N,AMBERWOOD HEALTHCARE LLC,1967-01-01,PACS GROUP,690,280,3,2.5,2.4,4.3,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,5,NA,4,NA,3,NA,NA,NA,1.64319,0.86732,0.48028,1.3476,2.99079,2.97175,0.5062,0.04569,45.1,NA,27.3,NA,0,NA,1.31046,0.94163,2.19583,0.8101,0.63967,3.6456,3.23413,1.73287,0.91465,0.50649,3.15401,3.13393,2024-10-15,19,16,3,104,1,0,104,2023-05-18,12,12,0,64,1,0,64,94,NA,1,9636,0,1,"4686 E ASBURY CIR,DENVER,CO,80222",39.6799,-104.93,NA,2026-06-01
065052,BOULDER POST ACUTE,2121 MESA DR,BOULDER,CO,80304,3034424037,060,Boulder,Y,For profit - Limited Liability company,162,133.6,NA,Medicare and Medicaid,N,MESA VISTA HEALTHCARE LLC,1967-01-01,PACS GROUP,690,280,3,2.5,2.4,4.3,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,4,NA,5,NA,3,NA,3,NA,NA,NA,2.02823,0.90443,0.35859,1.26302,3.29126,2.96627,0.282,0.00477,60.9,NA,42.9,NA,0,NA,1.02249,0.73472,1.71332,0.63209,0.4991,2.84451,2.52346,2.7413,1.2224,0.48466,4.44837,4.00912,2026-02-19,6,6,0,40,1,0,40,2024-03-12,11,3,9,84,1,0,84,51,NA,1,9113,0,1,"2121 MESA DR,BOULDER,CO,80304",40.0249,-105.27,NA,2026-06-01
065077,ENGLEWOOD POST ACUTE AND REHABILITATION,3575 S WASHINGTON ST,ENGLEWOOD,CO,80113,3037892265,020,Arapahoe,Y,For profit - Corporation,82,73,NA,Medicare and Medicaid,N,CHERRY HILLS HEALTHCARE INC,1968-09-19,THE ENSIGN GROUP,507,342,3.2,2.9,2.4,4.4,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,4,NA,5,NA,3,NA,NA,NA,1.92719,0.59657,0.63529,1.23186,3.15905,2.83951,0.49617,0.06194,44.6,NA,57.1,NA,2,NA,1.17222,0.84231,1.96421,0.72465,0.57219,3.26105,2.89298,2.27203,0.70331,0.74896,3.7243,3.34759,2024-11-07,6,6,1,32,1,0,32,2023-06-06,4,4,0,32,1,0,32,32,NA,0,0,0,0,"3575 S WASHINGTON ST,ENGLEWOOD,CO,80113",39.6517,-104.98,NA,2026-06-01
065092,VILLA MANOR CARE CENTER,7950 W MISSISSIPPI AVE,LAKEWOOD,CO,80226,3039864511,290,Jefferson,Y,For profit - Corporation,110,78.8,NA,Medicare and Medicaid,N,LIFE CARE ASSOCIATES IV LIMITED PARTNERSHIP,1971-01-04,LIFE CARE CENTERS OF AMERICA,311,194,3.5,2.9,3.3,4.5,N,NA,N,N,N,Both,Yes,4,NA,3,NA,5,NA,5,NA,5,NA,4,NA,NA,NA,2.29835,0.90918,1.08423,1.99341,4.29176,3.93442,0.96569,0.09933,50.6,NA,35.7,NA,1,NA,1.47375,1.05896,2.46944,0.91104,0.71937,4.09986,3.63712,2.15523,0.85257,1.01671,4.02451,3.68942,2026-03-26,7,7,0,44,1,0,44,2023-12-14,18,12,6,100,1,0,100,58,NA,0,0,0,0,"7950 W MISSISSIPPI AVE,LAKEWOOD,CO,80226",39.6966,-105.09,NA,2026-06-01
065097,MAPLETON POST ACUTE,115 INGALLS ST,LAKEWOOD,CO,80226,3032371325,290,Jefferson,Y,For profit - Corporation,90,71.3,NA,Medicare and Medicaid,N,"CASTLE ROCK HEALTHCARE, INC.",1968-04-01,THE ENSIGN GROUP,507,342,3.2,2.9,2.4,4.4,N,NA,N,N,N,Resident,Yes,3,NA,2,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,1.90543,0.55256,0.42394,0.9765,2.88194,2.45303,0.32624,0.14825,45.6,NA,40,NA,1,NA,1.12897,0.81123,1.89174,0.69791,0.55108,3.14072,2.78624,2.33244,0.67639,0.51894,3.52777,3.00275,2024-12-05,7,5,3,48,1,0,48,2023-06-29,17,14,3,152,1,0,152,74,NA,0,0,0,0,"115 INGALLS ST,LAKEWOOD,CO,80226",39.7187,-105.06,NA,2026-06-01
065100,ROCK CANYON RESPIRATORY AND REHABILITATION CENTER,2515 PITMAN PL,PUEBLO,CO,81004,7195640550,500,Pueblo,Y,For profit - Limited Liability company,151,134.4,NA,Medicare and Medicaid,N,ROCK CANYON HEALTHCARE LLC,1968-03-24,THE ENSIGN GROUP,507,342,3.2,2.9,2.4,4.4,Y,NA,Y,N,N,Resident,Yes,2,NA,2,NA,5,NA,5,NA,5,NA,1,NA,NA,NA,1.67551,0.77777,0.53259,1.31037,2.98588,2.66299,0.37107,0.0791,49.6,NA,47.6,NA,0,NA,1.60266,1.1516,2.68546,0.99073,0.7823,4.45848,3.95527,1.44479,0.67067,0.45926,2.57472,2.29629,2025-06-05,7,6,7,32,1,0,32,2024-03-21,29,10,21,292,1,0,292,97,0,3,89938,0,3,"2515 PITMAN PL,PUEBLO,CO,81004",38.2396,-104.64,NA,2026-06-01
065108,"VILLAS AT SUNNY ACRES, THE",2501 E 104TH AVE,THORNTON,CO,80233,3032554100,000,Adams,Y,For profit - Corporation,160,147.1,NA,Medicare and Medicaid,N,SUNNY ACRES HEALTHCARE LLC,1969-12-30,THE ENSIGN GROUP,507,342,3.2,2.9,2.4,4.4,Y,NA,Y,N,N,Both,Yes,3,NA,2,NA,5,NA,5,NA,4,NA,4,NA,NA,NA,2.1371000000000002,0.5178,0.58078,1.09857,3.23567,2.81695,0.51753,0.10803,29.8,NA,23.5,NA,0,NA,1.21424,0.8725,2.03461,0.75062,0.5927,3.37793,2.99668,2.43232,0.58932,0.661,3.68264,3.20607,2025-04-03,10,9,2,44,1,0,44,2024-03-11,11,11,1,96,1,0,96,57,NA,1,19988,0,1,"2501 E 104TH AVE,THORNTON,CO,80233",39.885,-104.96,NA,2026-06-01
