cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
095014,WASHINGTON CTR FOR AGING SVCS,2601 18TH STREET NE,WASHINGTON,DC,20018,2025416080,000,The District,Y,Non profit - Corporation,259,186.8,NA,Medicare and Medicaid,N,STODDARD BAPTIST GLOBAL CARE,1982-01-31,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,4,NA,2,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,2.80178,0.90759,1.0022200000000001,1.90981,4.71159,4.12662,0.76677,0.02796,14.9,NA,18.9,NA,NA,26,1.26381,0.90811,2.11767,0.78126,0.6169,3.51583,3.11901,3.06374,0.99245,1.09593,5.15211,4.51245,2024-07-16,29,21,28,266,2,133,399,2023-09-14,9,9,8,111,2,56,167,341,NA,3,272526,1,4,"2601 18TH STREET NE,WASHINGTON,DC,20018",38.9234,-76.979,NA,2026-06-01
095015,SERENITY REHABILITATION AND HEALTH CENTER LLC,1380 SOUTHERN AVE SE,WASHINGTON,DC,20032,2022795880,000,The District,Y,For profit - Limited Liability company,183,176.8,NA,Medicare and Medicaid,N,SERENITY REHABILITATION AND HEALTH CENTER LLC,1982-08-26,NA,NA,NA,NA,NA,NA,NA,N,NA,N,Y,N,Both,Yes,4,NA,3,NA,5,NA,5,NA,4,NA,4,NA,NA,NA,1.97096,0.50187,1.07098,1.57285,3.54381,3.19007,0.90662,0.01708,35.4,NA,22.2,NA,0,NA,1.32852,0.95461,2.2261,0.82126999999999994,0.64848,3.69585,3.27872,2.05025,0.52207,1.11407,3.68639,3.31842,2023-10-20,14,12,14,76,1,0,76,2022-06-29,50,23,27,248,2,124,372,150,NA,1,47684,0,1,"1380 SOUTHERN AVE SE,WASHINGTON,DC,20032",38.8358,-76.983,NA,2026-06-01
095019,DEANWOOD REHABILITATION AND WELLNESS CENTER,5000 NANNIE HELEN BURROUGHS AVE. NE,WASHINGTON,DC,20019,2023997504,000,The District,Y,For profit - Corporation,296,264.8,NA,Medicare and Medicaid,N,GRANT PARK SNF LLC,1984-05-24,NA,NA,NA,NA,NA,NA,NA,N,NA,Y,Y,N,Both,Yes,1,NA,1,NA,4,NA,5,NA,2,NA,3,NA,NA,NA,2.41548,0.65153,0.85553,1.50706,3.92254,3.70686,0.71072,0.06396,NA,26,NA,26,0,NA,1.35286,0.9721,2.26689,0.83631,0.66037,3.76357,3.33879,2.46746,0.66555,0.87394,4.00694,3.78662,2022-04-20,53,40,13,483,2,242,725,2020-07-29,34,8,26,235,1,0,235,602.5,0,2,106947,0,2,"5000 NANNIE HELEN BURROUGHS AVE. NE,WASHINGTON,DC,20019",38.8983,-76.93,NA,2026-06-01
095020,STODDARD BAPTIST NURSING HOME,1818 NEWTON ST. NW,WASHINGTON,DC,20010,2023287400,000,The District,Y,Non profit - Corporation,164,104.9,NA,Medicare and Medicaid,N,STODDARD BAPTIST HOME,1986-11-05,NA,NA,NA,NA,NA,NA,NA,N,NA,N,Y,N,Resident,Yes,3,NA,3,NA,4,NA,5,NA,3,NA,2,NA,NA,NA,1.72785,0,1.06604,1.06604,2.79389,2.27752,0.88853,0.08676,58.3,NA,74.1,NA,NA,26,1.30748,0.9395,2.19085,0.80826,0.63821,3.63733,3.2268,1.82628,0,1.12678,2.95306,2.40728,2024-03-20,21,21,19,132,1,0,132,2022-11-09,27,24,3,180,2,90,270,166.5,NA,2,97426,0,2,"1818 NEWTON ST. NW,WASHINGTON,DC,20010",38.9342,-77.042,NA,2026-06-01
095022,CAPITOL CITY REHAB AND HEALTHCARE CENTER,2425 25TH STREET SE,WASHINGTON,DC,20020,2028893600,000,The District,Y,For profit - Limited Liability company,360,278.7,NA,Medicare and Medicaid,N,CAPITOL CITY SNF LLC,1989-06-22,PRESTIGE HEALTHCARE ADMINISTRATIVE SERVICES,418,15,3.4,2.9,2.5,4.5,N,NA,Y,Y,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,4,NA,4,NA,NA,NA,2.46753,0.69937,1.01462,1.71398,4.18152,3.82214,0.85578,0.03021,43.8,NA,37.3,NA,2,NA,1.29137,0.92792,2.16385,0.7983,0.63035,3.5925,3.18703,2.64066,0.74844,1.0858,4.47489,4.0903,2023-03-10,63,31,32,669,2,335,1004,2021-12-23,72,42,30,716,1,0,716,932,0,3,184400,2,5,"2425 25TH STREET SE,WASHINGTON,DC,20020",38.8588,-76.97,NA,2026-06-01
095024,Harborside Health & Rehabilitation,4601 MARTIN LUTHER KING JR AVENUE SW,WASHINGTON,DC,20032,2025745700,000,The District,Y,For profit - Limited Liability company,125,116.5,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1990-10-12,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,4,NA,NA,2,4,NA,NA,NA,2.26574,0.8186,2.25002,3.06861,5.33435,4.88244,1.99999,0.0692,45.6,NA,36.1,NA,1,NA,2.01249,1.44608,3.37218,1.24408,0.98235,5.59861,4.96672,1.55588,0.56213,1.54508,3.66309,3.35276,2024-10-18,36,26,36,275,1,0,275,2023-07-18,23,15,23,108,1,0,108,233.25,NA,3,236002,0,3,"4601 MARTIN LUTHER KING JR AVENUE SW,WASHINGTON,DC,20032",38.8246,-77.012,NA,2026-06-01
095025,LISNER LOUISE DICKSON HURTHOME,5425 WESTERN AVE NW,WASHINGTON,DC,20015,2029666667,000,The District,Y,Non profit - Corporation,60,54.3,NA,Medicare and Medicaid,N,ABRAHAM AND LAURA LISNER HOME FOR AGED WOMEN,1992-11-12,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,3.03744,0.67243,1.28394,1.95637,4.99381,4.53696,1.12733,0.10084,15.4,NA,6.3,NA,0,NA,1.36773,0.98279,2.29181,0.8455,0.66762,3.80493,3.37548,3.06906,0.67943,1.29731,5.0458,4.5842,2025-06-25,4,2,4,16,1,0,16,2023-04-12,9,9,0,36,1,0,36,21,NA,0,0,0,0,"5425 WESTERN AVE NW,WASHINGTON,DC,20015",38.9625,-77.084,NA,2026-06-01
095026,KNOLLWOOD HSC,6200 OREGON AVE NW,WASHINGTON,DC,20015,2025410150,000,The District,Y,Non profit - Corporation,69,37.8,NA,Medicare and Medicaid,N,THE ARMY DISTAFF FOUNDATION INC,1992-12-28,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,Y,N,Both,Yes,4,NA,3,NA,5,NA,4,NA,5,NA,4,NA,NA,NA,3.51563,1.15149,1.77507,2.92656,6.44219,5.42846,0.99674,0.22595,NA,26,NA,26,NA,26,1.40936,1.0127,2.36156,0.87124,0.68794,3.92075,3.47823,3.44731,1.12911,1.74057,6.31699,5.32296,2023-04-26,15,15,0,92,1,0,92,2021-06-02,14,9,5,104,1,0,104,95,NA,0,0,0,0,"6200 OREGON AVE NW,WASHINGTON,DC,20015",38.971,-77.053,NA,2026-06-01
095027,BRIDGEPOINT SUBACUTE AND REHAB CAPITOL HILL,223 7TH STREET NE,WASHINGTON,DC,20002,2025465700,000,The District,Y,For profit - Limited Liability company,117,108.2,NA,Medicare and Medicaid,Y,DCA CAPITOL HILL SNF LLC,1992-12-17,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,2,NA,1,NA,5,NA,5,NA,NA,2,3,NA,NA,NA,2.13754,0.73911,1.94773,2.68685,4.82438,4.42691,1.70836,0,50.7,NA,39.6,NA,0,NA,2.29289,1.64757,3.84203,1.41742,1.11922,6.37867,5.65873,1.28834,0.44548,1.17394,2.90775,2.66818,2025-05-05,31,31,31,329,2,165,494,2024-01-25,20,9,20,84,1,0,84,391.5,0,1,95118,0,1,"223 7TH STREET NE,WASHINGTON,DC,20002",38.8925,-76.996,NA,2026-06-01
095028,INGLESIDE AT ROCK CREEK,3050 MILITARY ROAD NW,WASHINGTON,DC,20015,2023638310,000,The District,Y,Non profit - Corporation,34,29.6,NA,Medicare and Medicaid,N,INGLESIDE AT ROCK CREEK INC,1993-11-17,INGLESIDE ENGAGED LIVING,284,3,5,3.7,5,5,Y,NA,N,N,N,Both,Yes,5,NA,3,NA,5,NA,4,NA,5,NA,5,NA,NA,NA,2.78887,0.35652,2.40231,2.75882,5.54769,4.97885,2.05646,0.17668,55.1,NA,41.2,NA,1,NA,1.37708,0.9895,2.30746,0.85128,0.67218,3.83093,3.39854,2.79879,0.35778,2.41085,5.56742,4.99656,2025-03-26,15,15,15,88,1,0,88,2023-12-08,16,16,16,68,2,34,102,91.5,NA,2,39419,0,2,"3050 MILITARY ROAD NW,WASHINGTON,DC,20015",38.961,-77.062,NA,2026-06-01
