cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
105001,LAKE EUSTIS HEALTHCARE AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,3523573565,340,Lake,Y,For profit - Individual,90,86.7,NA,Medicare and Medicaid,N,LAKE EUSTIS OPERATING INVESTMENTS LLC,1976-12-01,EXCELSIOR CARE GROUP,217,33,2.8,2.2,2.4,4.5,N,NA,N,N,N,Both,Yes,2,NA,1,NA,5,NA,5,NA,2,NA,3,NA,NA,NA,2.11069,0.78084,0.44268,1.22352,3.33421,3.39705,0.39364,0.1674,38.3,NA,25,NA,1,NA,1.35132,0.97099,2.2643,0.83536,0.65961,3.75927,3.33497,2.15857,0.79856,0.45272,3.40986,3.47412,2025-08-29,10,10,0,136,1,0,136,2024-05-31,4,4,0,20,1,0,20,107,NA,2,17345,0,2,"411 W WOODWARD AVE,EUSTIS,FL,32726",28.8474,-81.69,NA,2026-06-01
105002,BEACH STREET HEALTH AND REHABILITATION CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,3862583334,630,Volusia,Y,For profit - Corporation,99,88.3,NA,Medicare and Medicaid,N,DAYTONA BEACH FL OPCO LLC,1967-01-01,SIMCHA HYMAN & NAFTALI ZANZIPER,580,85,2.6,2.7,2.4,3.4,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,3,NA,4,NA,NA,NA,2.40043,0.88065,0.67147,1.55212,3.95254,3.50128,0.46374,0.02146,37.9,NA,41.7,NA,0,NA,1.18601,0.85221,1.9873,0.73317,0.57892,3.29939,2.927,2.79705,1.02616,0.78242,4.60563,4.0798,2024-09-25,8,8,0,44,1,0,44,2022-12-01,0,0,0,0,0,0,0,33,NA,0,0,0,0,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",29.1947,-81.011,NA,2026-06-01
105005,CORAL GABLES NURSING AND REHABILITATION CENTER,7060 SW 8TH STREET,MIAMI,FL,33144,3052611363,120,Miami-Dade,Y,For profit - Limited Liability company,87,76.2,NA,Medicare and Medicaid,N,CORAL GABLES HOLDINGS LLC,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,5,NA,5,NA,4,NA,5,NA,2,NA,5,NA,NA,NA,2.72701,0.07646,1.63374,1.7102,4.4372,3.94635,1.22649,0.0751,23.3,NA,12.5,NA,NA,26,1.48104,1.06421,2.48167,0.91555,0.72293,4.12016,3.65513,2.54459,0.07134,1.52445,4.14039,3.68237,2025-12-18,0,0,0,0,0,0,0,2024-07-11,2,2,0,8,1,0,8,2,NA,0,0,0,0,"7060 SW 8TH STREET,MIAMI,FL,33144",25.7629,-80.309,NA,2026-06-01
105008,BISCAYNE HEALTH AND REHABILITATION CENTER,12505 NE 16TH AVE,NORTH MIAMI,FL,33161,3058911710,120,Miami-Dade,Y,For profit - Limited Liability company,98,89.2,NA,Medicare and Medicaid,N,"ARCH REHAB OPERATIONS, LLC",1971-04-01,ONYX HEALTH,385,11,4.4,3.6,3.6,4.7,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,4,NA,NA,NA,2.24934,0.37681,0.93207,1.30887,3.55821,3.3854,0.74764,0.08502,25,NA,47.8,NA,0,NA,1.37272,0.98637,2.30017,0.84859,0.67006,3.81882,3.3878,2.2645,0.37935,0.93835,3.58219,3.40822,2024-10-31,4,4,0,20,1,0,20,2023-07-27,5,5,0,40,1,0,40,25,NA,0,0,0,0,"12505 NE 16TH AVE,NORTH MIAMI,FL,33161",25.8915,-80.166,NA,2026-06-01
105009,GOLFCREST NURSING CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,9549272531,050,Broward,Y,Non profit - Corporation,67,60.3,NA,Medicare and Medicaid,N,GOLFCREST NURSING CENTER LLC,1980-03-01,BENJAMIN LANDA,646,49,3.4,3.4,2.3,3.5,N,NA,N,N,N,None,Yes,3,NA,3,NA,4,NA,5,NA,4,NA,4,NA,NA,NA,2.29276,0.02803,1.39212,1.42015,3.71291,3.5175,1.14341,0.08728,35.4,NA,48,NA,1,NA,1.33119,0.95653,2.23058,0.82292,0.64979,3.70329,3.28531,2.38022,0.0291,1.44523,3.85455,3.65167,2025-04-10,8,8,0,48,1,0,48,2024-01-19,6,5,1,40,1,0,40,46,0,1,40755,0,1,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",26.0162,-80.142,NA,2026-06-01
105012,AVIATA AT THE SEA - PASADENA,1820 SHORE DR S,SOUTH PASADENA,FL,33707,7273849300,510,Pinellas,Y,For profit - Limited Liability company,58,NA,10,Medicare and Medicaid,N,SHORE DRIVE OPCO LLC,1979-03-01,AVIATA HEALTH GROUP,745,52,2.3,2,2.8,4,N,NA,N,Y,N,Resident,Yes,2,NA,2,NA,NA,2,NA,2,NA,2,NA,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,27,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-02,11,11,0,52,1,0,52,2021-06-23,8,8,0,36,1,0,36,48,NA,15,79797,0,15,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",27.7514,-82.738,NA,2026-06-01
105016,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258,9042601818,150,Duval,Y,Non profit - Corporation,180,166.7,NA,Medicare and Medicaid,N,RIVER GARDEN HEBREW HOME FOR THE AGED,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,5,NA,5,NA,4,NA,5,NA,2,NA,5,NA,NA,NA,2.87031,0.87579,0.87364,1.74943,4.61974,4.19433,0.60283,0,32,NA,29.3,NA,1,NA,1.20222,0.86386,2.01447,0.74319,0.58683,3.34449,2.96701,3.29947,1.00674,1.00426,5.31047,4.82145,2024-10-31,0,0,0,0,0,0,0,2022-12-07,0,0,0,0,0,0,0,0,NA,0,0,0,0,"11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258",30.1661,-81.602,NA,2026-06-01
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,8137543761,280,Hillsborough,Y,Non profit - Corporation,120,107,NA,Medicare and Medicaid,N,"LTCSP PLANT CITY, LLC",1967-01-01,SENIOR HEALTH SOUTH,729,8,2.1,1.9,3.1,3.9,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,5,NA,1,NA,2,NA,NA,NA,2.02087,0.64831,0.49429,1.1426,3.16347,3.07814,0.46732,0.11443,43.6,NA,58.3,NA,1,NA,1.2934,0.92938,2.16726,0.79956,0.63134,3.59815,3.19204,2.15926,0.6927,0.52814,3.3801,3.28893,2025-08-27,20,19,1,156,1,0,156,2023-07-19,15,3,12,272,1,0,272,185,NA,2,115719,0,2,"2202 W OAK AVE,PLANT CITY,FL,33563",28.0165,-82.146,NA,2026-06-01
105030,"MIAMI JEWISH HEALTH SYSTEMS, INC",5200 NE 2ND AVENUE,MIAMI,FL,33137,3057518626,120,Miami-Dade,Y,Non profit - Corporation,393,288.2,NA,Medicare and Medicaid,N,MIAMI JEWISH HEALTH SYSTEMS INC,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,4,NA,4,NA,3,NA,5,NA,NA,NA,4.59217,1.40212,0.94662,2.34874,6.94091,6.21607,0.65139,0.03532,26.1,NA,35.7,NA,0,NA,1.30671,0.93894,2.18956,0.80778,0.63784,3.63519,3.2249,4.85665,1.48288,1.00114,7.34066,6.57408,2025-09-19,6,4,2,40,1,0,40,2024-05-09,3,1,2,12,1,0,12,33,NA,0,0,1,1,"5200 NE 2ND AVENUE,MIAMI,FL,33137",25.8243,-80.192,NA,2026-06-01
105037,PALMS AT SEBRING NURSING AND REHABILITATION THE,725 S PINE ST,SEBRING,FL,33870,8633850161,270,Highlands,Y,For profit - Individual,120,107.4,NA,Medicare and Medicaid,N,PINE STREET SNF OPERATIONS LLC,1967-01-01,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,N,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,4,NA,2,NA,NA,NA,2.19437,0.99132,0.43257,1.42389,3.61825,3.26329,0.3058,0.11641,50,NA,52.6,NA,2,NA,1.36993,0.98436,2.29548,0.84686,0.66869,3.81104,3.3809,2.21367,1.00003,0.43637,3.65007,3.29198,2025-02-25,18,16,4,112,1,0,112,2023-01-12,8,6,2,44,1,0,44,95,NA,0,0,0,0,"725 S PINE ST,SEBRING,FL,33870",27.4923,-81.441,NA,2026-06-01
