cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
195136,PROGRESSIVE CARE CENTER,2550 Kings Hwy,SHREVEPORT,LA,71103,3182128200,080,Caddo,Y,Non profit - Corporation,48,22,NA,Medicare and Medicaid,N,VIRGINIA HALL NURSING HOME,1978-04-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Data Not Available,3,NA,4,NA,1,NA,1,NA,2,NA,NA,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-01,3,3,0,20,1,0,20,2025-02-26,7,4,3,48,1,0,48,27,NA,0,0,0,0,"2550 Kings Hwy,SHREVEPORT,LA,71103",32.4815,-93.778,NA,2026-06-01
195139,"BATON ROUGE GEN MED CTR, SNF",3600 FLORIDA BLVD.,BATON ROUGE,LA,70806,2253877161,160,E. Baton Rouge,Y,Non profit - Corporation,2,24.5,NA,Medicare,Y,BATON ROUGE GENERAL MEDICAL CENTER,1977-07-15,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,None,Yes,5,NA,5,NA,4,NA,NA,2,4,NA,4,NA,NA,NA,2.5843,1.52944,1.48624,3.01568,5.59998,5.6299,1.27672,0,NA,26,NA,26,NA,26,1.26653,0.91007,2.12222,0.78294,0.61822,3.52338,3.12571,2.81987,1.66885,1.62172,6.11043,6.14309,2025-03-19,4,4,0,20,1,0,20,2024-04-30,2,2,0,12,1,0,12,18,NA,0,0,0,0,"3600 FLORIDA BLVD.,BATON ROUGE,LA,70806",30.4507,-91.142,NA,2026-06-01
195150,Villa Feliciana Chronic Disease,5002 Highway 10,Jackson,LA,70748,2256344000,180,East Feliciana,Y,Government - State,299,157.3,NA,Medicare and Medicaid,N,VILLA FELICIANA MEDICAL COMPLEX,1978-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,3,NA,3,NA,NA,2,4,NA,NA,NA,1.37919,1.32229,0.76044,2.08273,3.46192,2.93662,0.44454,0.02844,NA,26,NA,26,1,NA,1.03069,0.74061,1.72705,0.63715,0.50311,2.86731,2.54369,1.84925,1.77295,1.01961,4.64181,3.93748,2026-01-22,7,5,2,84,1,0,84,2024-11-07,26,5,23,160,1,0,160,103,NA,3,456518,3,6,"5002 Highway 10,Jackson,LA,70748",30.8356,-91.137,NA,2026-06-01
195156,Willow Wood at Woldenberg Village,3701 BEHRMAN PLACE,NEW ORLEANS,LA,70114,5043675640,350,Orleans,Y,Non profit - Other,120,108.8,NA,Medicare and Medicaid,N,WOLDENBERG VILLAGE INC,1991-01-28,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,N,N,Resident,Yes,3,NA,3,NA,3,NA,4,NA,3,NA,4,NA,NA,NA,2.93459,1.57006,0.16793,1.73799,4.67258,3.90469,0.10353,0.0983,39.1,NA,0,NA,0,NA,1.3459,0.9671,2.25522,0.83201,0.65696,3.74419,3.3216,3.01325,1.61215,0.17243,4.79783,4.00935,2025-07-02,7,7,0,36,1,0,36,2024-07-10,8,2,6,60,1,0,60,42,NA,1,40248,0,1,"3701 BEHRMAN PLACE,NEW ORLEANS,LA,70114",29.916,-90.018,NA,2026-06-01
195177,Lakeshore Manor Nursing & Rehab,1400 Lindberg Drive,Slidell,LA,70458,9856414985,510,St. Tammany,Y,For profit - Limited Liability company,110,77,NA,Medicare and Medicaid,N,LAKESHORE MANOR NURSING AND REHAB LLC,1985-01-15,VOLARE HEALTH,628,16,1.9,1.6,3,3.4,N,SFF Candidate,N,N,N,Resident,Yes,1,NA,1,NA,1,NA,3,NA,1,NA,2,NA,NA,NA,2.20776,1.29649,0.33536,1.63185,3.83961,3.32356,0.22373,0.03653,52.1,NA,62.5,NA,NA,26,1.29627,0.93144,2.17207,0.80133,0.63274,3.60614,3.19913,2.35373,1.38221,0.35753,4.09346,3.54329,2025-12-10,8,6,2,357,1,0,357,2025-07-02,28,2,27,744,1,0,744,453.75,NA,4,507925,2,6,"1400 Lindberg Drive,Slidell,LA,70458",30.2836,-89.754,NA,2026-06-01
195180,OCHSNER MEDICAL CENTER SKILLED NURSING FACILITY,"2614 JEFFERSON HWY, 3RD FLOOR",JEFFERSON,LA,70121,5043144249,250,Jefferson,Y,Non profit - Corporation,30,30.5,NA,Medicare,Y,OCHSNER CLINIC FOUNDATION,1985-01-24,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,3,NA,NA,2,3,NA,5,NA,NA,NA,2.06549,2.87041,1.6632,4.53361,6.59911,5.91559,1.31663,0.35429,20,NA,10,NA,1,NA,1.31985,0.94838,2.21157,0.8159,0.64425,3.67172,3.25731,2.16272,3.00552,1.74149,6.90973,6.19403,2026-03-18,0,0,0,0,0,0,0,2025-03-10,5,3,2,40,1,0,40,10,NA,1,8186,0,1,"2614 JEFFERSON HWY, 3RD FLOOR,JEFFERSON,LA,70121",29.9642,-90.157,22,2026-06-01
195184,CHATEAU LIVING CENTER,716 VILLAGE ROAD,KENNER,LA,70065,5044640604,250,Jefferson,Y,For profit - Limited Liability company,215,178.7,NA,Medicare and Medicaid,N,"CHATEAU LIVING CENTER OF KENNER, LLC",1985-01-28,PLANTATION MANAGEMENT COMPANY,406,16,1.8,2.5,1.3,1.9,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1.62807,1.30729,0.10467,1.41196,3.04003,2.68288,0.16063,0,51.1,NA,40,NA,1,NA,1.43754,1.03295,2.40878,0.88866,0.7017,3.99914,3.54777,1.56514,1.25675,0.10063,2.92252,2.57917,2025-07-23,16,12,4,80,1,0,80,2024-07-24,29,6,23,265,1,0,265,126.25,NA,2,159972,0,2,"716 VILLAGE ROAD,KENNER,LA,70065",30.0235,-90.258,NA,2026-06-01
195185,TERREBONNE GENERAL MED CTR SNF,8166 MAIN STREET,HOUMA,LA,70360,9858734141,540,Terrebonne,Y,Non profit - Other,6,1.6,NA,Medicare,Y,TERREBONNE PARISH HOSPITAL SERVICE DISTRICT #1,1985-07-11,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,None,Yes,5,NA,5,NA,3,NA,NA,2,3,NA,NA,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-02-11,2,2,0,16,1,0,16,2025-02-05,3,3,0,12,1,0,12,15,NA,0,0,0,0,"8166 MAIN STREET,HOUMA,LA,70360",29.5985,-90.717,NA,2026-06-01
195199,EAST JEFFERSON GENERAL HOSPITAL - SNF,4200 HOUMA BLVD,METAIRIE,LA,70002,5045034699,250,Jefferson,Y,Non profit - Corporation,49,21.2,NA,Medicare,Y,"UNIVERSITY HEALTHCARE SYSTEM, L.C.",1986-06-03,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,None,Yes,5,NA,5,NA,2,NA,NA,2,2,NA,5,NA,NA,NA,2.22272,1.52357,4.54954,6.0731,8.29582,6.53978,2.8782,0.42098,25.6,NA,28,NA,NA,26,1.43455,1.0308,2.40377,0.88681,0.70024,3.99082,3.54039,2.14126,1.46773,4.3828,7.99178,6.30009,2026-02-25,3,3,0,12,1,0,12,2025-02-13,2,2,0,8,1,0,8,11,NA,0,0,0,0,"4200 HOUMA BLVD,METAIRIE,LA,70002",30.0144,-90.182,NA,2026-06-01
195201,THE OAKS OF HOUMA,1701 POLK STREET,HOUMA,LA,70360,9858765692,540,Terrebonne,Y,For profit - Limited Liability company,120,108.9,NA,Medicare and Medicaid,N,OAKS OF HOUMA COMMUNITY CARE CENTER LLC,1986-07-17,THE BEEBE FAMILY,779,49,2.7,3,3,2,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,2,NA,2,NA,2,NA,3,NA,NA,NA,2.34814,0.87153,0.37364000000000003,1.24517,3.59331,2.95198,0.22777,0.02697,37.9,NA,14.3,NA,0,NA,1.31651,0.94598,2.20598,0.81384,0.64262,3.66244,3.24907,2.4649,0.91487,0.39222,3.77199,3.09876,2026-03-26,1,1,0,8,1,0,8,2025-03-12,6,5,1,28,1,0,28,13,NA,0,0,0,0,"1701 POLK STREET,HOUMA,LA,70360",29.5857,-90.736,NA,2026-06-01
