cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
245012,GUARDIAN ANGELS CARE CENTER,400 EVANS AVENUE,ELK RIVER,MN,55330,7636355475,700,Sherburne,Y,Non profit - Corporation,120,99.7,NA,Medicare and Medicaid,N,"GUARDIAN ANGELS HEALTH SERVICES, INC.",1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,2,NA,2,NA,3,NA,3,NA,2,NA,4,NA,NA,NA,2.78641,0.60422,1.47841,2.08263,4.86904,4.21873,0.93735,0.0898,53.8,NA,59.5,NA,2,NA,1.3621,0.97874,2.28237,0.84202,0.66488,3.78927,3.36159,2.82706,0.61303,1.49997,4.94007,4.28027,2025-12-10,2,0,2,8,0,0,8,2025-01-24,12,7,5,301,1,0,301,81.25,NA,4,98353,1,5,"400 EVANS AVENUE,ELK RIVER,MN,55330",45.3056,-93.56,NA,2026-06-01
245018,CREST VIEW LUTHERAN HOME,4444 RESERVOIR BOULEVARD NORTHEAST,COLUMBIA HEIGHTS,MN,55421,7637821611,010,Anoka,Y,Non profit - Corporation,106,NA,10,Medicare and Medicaid,N,CREST VIEW CORPORATION,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,2,NA,2,NA,2,NA,NA,2,25,6,NA,NA,NA,NA,NA,NA,NA,NA,43.4,NA,33.3,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-26,23,20,6,152,1,0,152,2024-04-04,15,9,6,104,1,0,104,140,NA,1,16720,0,1,"4444 RESERVOIR BOULEVARD NORTHEAST,COLUMBIA HEIGHTS,MN,55421",45.0492,-93.235,NA,2026-06-01
245024,INTERFAITH CARE CENTER,811 THIRD STREET,CARLTON,MN,55718,2183844258,080,Carlton,Y,Non profit - Church related,96,72.1,NA,Medicare and Medicaid,N,INTER-FAITH CARE CENTER,1969-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,2,NA,1,NA,2,NA,4,NA,NA,NA,2.40703,0.54879,1.03725,1.58604,3.99306,3.5542,0.61764,0.03809,43.2,NA,33.3,NA,0,NA,1.2441,0.89395,2.08465,0.76908,0.60728,3.46101,3.07038,2.67377,0.6096,1.1522,4.43557,3.94807,2026-04-22,5,1,4,20,0,0,20,2025-02-06,2,1,1,8,1,0,8,17,NA,0,0,0,0,"811 THIRD STREET,CARLTON,MN,55718",46.6707,-92.424,NA,2026-06-01
245039,Neilson Place,1000 ANNE STREET NORTHWEST,BEMIDJI,MN,56601,2187510220,030,Beltrami,N,Non profit - Corporation,78,71.8,NA,Medicare and Medicaid,N,SANFORD HEALTH OF NORTHERN MINNESOTA,1979-01-01,SANFORD HEALTH,880,4,2.5,2.3,4.3,2.8,N,NA,Y,N,N,Both,Yes,1,NA,1,NA,3,NA,1,NA,5,NA,4,NA,NA,NA,2.23997,0.62131,1.11872,1.74003,3.98,3.31935,0.59921,0.14004,54.3,NA,33.3,NA,0,NA,1.2665,0.91005,2.12218,0.78292,0.61821,3.52331,3.12565,2.4442,0.67796,1.22072,4.34288,3.62199,2026-03-05,11,8,4,84,1,0,84,2024-12-05,28,10,18,208,1,0,208,115,NA,3,55255,0,3,"1000 ANNE STREET NORTHWEST,BEMIDJI,MN,56601",47.505,-94.895,NA,2026-06-01
245055,LAKEHOUSE HEALTHCARE & REHABILITATION CENTER,3737 BRYANT AVENUE SOUTH,MINNEAPOLIS,MN,55409,6128275931,260,Hennepin,Y,For profit - Limited Liability company,260,223.9,NA,Medicare and Medicaid,N,LAKE HARRIET OPERATOR LLC,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,1,NA,1,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,2.10235,0.71328,0.68785,1.40113,3.50348,3.23946,0.52444,0.13661,35.6,NA,21.9,NA,2,NA,1.27696,0.91757,2.13971,0.78939,0.62332,3.55242,3.15147,2.27523,0.77193,0.74442,3.79159,3.50585,2025-08-15,27,17,11,152,1,0,152,2024-08-01,37,23,21,200,1,0,200,164,NA,0,0,0,0,"3737 BRYANT AVENUE SOUTH,MINNEAPOLIS,MN,55409",44.9352,-93.291,NA,2026-06-01
245063,ST ANTHONY PARK HOME INC,2237 COMMONWEALTH AVENUE,SAINT PAUL,MN,55108,6516323503,610,Ramsey,Y,For profit - Corporation,84,67.2,NA,Medicare and Medicaid,N,ST ANTHONY PARK HOME INC,1967-01-04,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,2,NA,1,NA,4,NA,4,NA,3,NA,5,NA,NA,NA,2.94822,0.74798,1.09183,1.83981,4.78803,4.45903,0.87737,0.03855,30.6,NA,22.2,NA,0,NA,1.33375,0.95837,2.23486,0.8245,0.65104,3.71039,3.29162,3.05482,0.77502,1.13131,4.96115,4.62025,2025-05-29,17,16,1,116,1,0,116,2024-08-07,15,12,5,76,1,0,76,106,NA,1,8827,0,1,"2237 COMMONWEALTH AVENUE,SAINT PAUL,MN,55108",44.9803,-93.194,NA,2026-06-01
245067,The Emeralds at Faribault LLC,500 SOUTHEAST FIRST STREET,FARIBAULT,MN,55021,5073325100,650,Rice,N,For profit - Corporation,109,74.3,NA,Medicare and Medicaid,N,THE EMERALDS AT FARIBAULT LLC,1967-01-01,MONARCH HEALTHCARE MANAGEMENT,361,45,2.2,2.2,3.5,3.1,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,2,NA,2,NA,2,NA,3,NA,NA,NA,1.79559,0.74899,0.82235,1.57135,3.36694,3.07998,0.64319,0.0438,65.3,NA,66.7,NA,0,NA,1.25393,0.90102,2.10112,0.77516,0.61207,3.48835,3.09463,1.97895,0.82548,0.90632,3.71074,3.39448,2025-05-01,22,14,9,132,1,0,132,2024-02-08,24,12,13,104,1,0,104,125,NA,0,0,0,0,"500 SOUTHEAST FIRST STREET,FARIBAULT,MN,55021",44.2896,-93.261,NA,2026-06-01
245071,Mount Olivet Careview Home,5517 LYNDALE AVENUE SOUTH,MINNEAPOLIS,MN,55419,6128275677,260,Hennepin,Y,Non profit - Corporation,155,145.8,NA,Medicare and Medicaid,N,MOUNT OLIVET CAREVIEW HOME,1990-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,4,NA,3,NA,4,NA,3,NA,4,NA,5,NA,NA,NA,3.40927,0.54593,1.33851,1.88444,5.29371,4.9265,1.00034,0.07433,21.5,NA,28.1,NA,2,NA,1.3232,0.95079,2.21719,0.81798,0.64589,3.68106,3.26559,3.56069,0.57017,1.39796,5.52883,5.1453,2026-02-25,4,3,1,16,1,0,16,2025-01-16,15,8,7,143,1,0,143,47.75,NA,1,55043,0,1,"5517 LYNDALE AVENUE SOUTH,MINNEAPOLIS,MN,55419",44.903,-93.288,NA,2026-06-01
245083,THE VILLAS AT THE PARK,4415 WEST 36 1/2 STREET,SAINT LOUIS PARK,MN,55416,9529279717,260,Hennepin,Y,For profit - Corporation,52,46.9,NA,Medicare and Medicaid,N,VILLAS AT THE PARK LLC,1979-02-01,MONARCH HEALTHCARE MANAGEMENT,361,45,2.2,2.2,3.5,3.1,Y,NA,N,N,N,Both,Yes,2,NA,2,NA,4,NA,4,NA,NA,2,4,NA,NA,NA,2.17358,0.4445,0.64676,1.09125,3.26483,2.97615,0.53557,0.05823,43.2,NA,0,NA,2,NA,1.19348,0.85758,1.99983,0.73779,0.58257,3.32019,2.94545,2.51686,0.5147,0.7489,3.78046,3.44618,2025-11-20,8,8,0,52,1,0,52,2024-10-24,13,8,5,76,1,0,76,58,NA,18,166817,0,18,"4415 WEST 36 1/2 STREET,SAINT LOUIS PARK,MN,55416",44.9485,-93.344,22,2026-06-01
245102,Sauer Health Care,1635 WEST SERVICE DRIVE,WINONA,MN,55987,5074545540,840,Winona,N,Non profit - Corporation,61,45.5,NA,Medicare and Medicaid,N,SAUER HEALTH CARE,1967-01-19,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,1,NA,2,NA,1,NA,1,NA,NA,2,4,NA,NA,NA,2.50333,0.24689,0.73967,0.98657,3.4899,3.07198,0.3877,0.01775,32.7,NA,25,NA,0,NA,1.17065,0.84117,1.96157,0.72367,0.57142,3.25667,2.8891,2.95523,0.29146,0.8732,4.11989,3.62653,2026-01-07,12,7,5,72,1,0,72,2024-12-19,2,2,0,12,1,0,12,57,NA,0,0,0,0,"1635 WEST SERVICE DRIVE,WINONA,MN,55987",44.0516,-91.683,NA,2026-06-01
