cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
255050,JEFFERSON DAVIS COMMUNITY HOSPITAL ECF,1320 WINFIELD STREET,PRENTISS,MS,39474,6017921172,320,Jefferson Davis,N,Non profit - Corporation,55,45.4,NA,Medicare and Medicaid,Y,FORREST COUNTY GENERAL HOSPITAL,1970-01-20,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,5,NA,5,NA,2,NA,3,NA,1,NA,5,NA,NA,NA,2.54329,1.23278,0.95497,2.18775,4.73105,3.83538,0.27775,0.01024,32,NA,44.4,NA,1,NA,1.24961,0.89791,2.09388,0.77249,0.60997,3.47633,3.08397,2.81268,1.36336,1.05613,5.23216,4.24163,2024-11-21,1,1,0,4,1,0,4,2023-02-22,2,2,0,8,1,0,8,5,NA,0,0,0,0,"1320 WINFIELD STREET,PRENTISS,MS,39474",31.595,-89.873,NA,2026-06-01
255072,WINSTON COUNTY NURSING HOME,17560 EAST MAIN STREET,LOUISVILLE,MS,39339,6627795137,790,Winston,N,Non profit - Corporation,120,99.6,NA,Medicare and Medicaid,Y,WINSTON COUNTY MEDICAL FOUNDATION,1978-03-29,NA,NA,NA,NA,NA,NA,NA,N,NA,N,Y,N,Resident,Yes,4,NA,3,NA,2,NA,1,NA,3,NA,5,NA,NA,NA,2.53309,0.96525,1.66972,2.63497,5.16806,4.19013,0.97546,0.03993,41.7,NA,26.1,NA,1,NA,1.07035,0.76911,1.79351,0.66167,0.52247,2.97765,2.64157,3.27057,1.24627,2.15584,6.67267,5.41004,2024-03-28,4,4,0,32,1,0,32,2022-10-13,4,4,0,32,1,0,32,32,NA,0,0,0,0,"17560 EAST MAIN STREET,LOUISVILLE,MS,39339",33.1246,-89.037,NA,2026-06-01
255091,"LEXINGTON MANOR SENIOR CARE, LLC",56 ROCKPORT ROAD,LEXINGTON,MS,39095,6628343021,250,Holmes,Y,For profit - Corporation,60,57.9,NA,Medicare and Medicaid,N,LEXINGTON MANOR SENIOR CARE LLC,1984-08-09,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,3,NA,3,NA,NA,2,3,NA,NA,NA,2.40253,1.14683,0.42136,1.56819,3.97072,3.40817,0.1686,0.00797,43.6,NA,28.6,NA,NA,26,1.24758,0.89645,2.09048,0.77123,0.60898,3.47069,3.07896,2.66133,1.27036,0.46675,4.39845,3.7753,2024-10-17,3,3,0,20,1,0,20,2023-08-10,4,4,0,20,1,0,20,20,NA,0,0,0,0,"56 ROCKPORT ROAD,LEXINGTON,MS,39095",33.1093,-90.033,NA,2026-06-01
255092,COASTAL HEALTH AND REHABILITATION CENTER,1530 BROAD AVE,GULFPORT,MS,39501,2288646544,230,Harrison,Y,For profit - Limited Liability company,180,126.2,NA,Medicare and Medicaid,N,"1530 BROAD AVENUE OPERATIONS, LLC",1994-07-01,CONSULATE HEALTH CARE/INDEPENDENCE LIVING CENTERS/NSPIRE HEALTHCARE/RAYDIANT HEALTH CARE,158,11,2.6,2.7,3.4,2.9,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,2,NA,1,NA,2,NA,2,NA,NA,NA,1.83404,0.92758,0.48983,1.41741,3.25144,2.92979,0.2709,0.04264,65.9,NA,60,NA,1,NA,1.19235,0.85677,1.99793,0.73709,0.58201,3.31703,2.94265,2.12571,1.0751,0.56773,3.76854,3.39573,2025-08-07,17,17,4,104,1,0,104,2023-11-15,18,11,7,196,1,0,196,127,NA,5,76258,0,5,"1530 BROAD AVE,GULFPORT,MS,39501",30.369,-89.119,NA,2026-06-01
255093,THE PILLARS OF BILOXI,2279 ATKINSON ROAD,BILOXI,MS,39531,2283881805,230,Harrison,Y,For profit - Limited Liability company,180,149.7,NA,Medicare and Medicaid,N,CLC OF BILOXI LLC,1985-01-24,COMMUNITY ELDERCARE SERVICES,155,17,1.7,1.9,2.8,1.8,N,NA,N,N,N,None,Yes,1,NA,1,NA,2,NA,3,NA,2,NA,2,NA,NA,NA,2.18156,0.83686,0.39328,1.23014,3.4117,3.13554,0.24926,0.00988,59.2,NA,62.5,NA,3,NA,1.17498,0.84429,1.96883,0.72635,0.57354,3.26871,2.89979,2.56587,0.98429,0.46256,4.01273,3.68792,2025-08-21,10,7,3,64,1,0,64,2024-04-04,21,15,7,188,1,0,188,95,0,4,47692,0,4,"2279 ATKINSON ROAD,BILOXI,MS,39531",30.4098,-88.97,NA,2026-06-01
255095,CARE CENTER OF LAUREL,935 WEST DR,LAUREL,MS,39440,6016498006,330,Jones,N,For profit - Limited Liability company,120,81.8,NA,Medicare and Medicaid,N,COMMUNITY CARE CENTER OF LAUREL LLC,1987-06-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,2,NA,3,NA,1,NA,2,NA,1,NA,3,NA,NA,NA,2.09985,1.38905,0.37342,1.76247,3.86233,3.31567,0.12132,0.01943,43.6,NA,42.9,NA,1,NA,1.17741,0.84603,1.9729,0.72785,0.57472,3.27547,2.90578,2.46468,1.63039,0.4383,4.53337,3.89174,2025-08-07,5,5,0,28,1,0,28,2024-03-21,9,7,2,36,1,0,36,30,NA,0,0,0,0,"935 WEST DR,LAUREL,MS,39440",31.6764,-89.155,NA,2026-06-01
255096,LOUISVILLE HEALTHCARE LLC,543 EAST MAIN STREET,LOUISVILLE,MS,39339,6627738047,790,Winston,N,For profit - Limited Liability company,60,54.8,NA,Medicare and Medicaid,N,LOUISVILLE HEALTHCARE LLC,1987-11-01,TREND CONSULTANTS,522,16,3.3,3.3,3.9,2.1,N,NA,N,N,N,Both,Yes,3,NA,2,NA,2,NA,1,NA,4,NA,5,NA,NA,NA,2.8408,1.4259,0.50758,1.93349,4.77429,3.80179,0.22753,0,41.3,NA,28.6,NA,0,NA,1.11086,0.79821,1.86138,0.68671,0.54224000000000006,3.09033,2.74154,3.53412,1.7739,0.63146,5.93949,4.72965,2025-04-16,5,5,0,52,1,0,52,2023-09-14,5,5,0,24,1,0,24,45,NA,1,8788,0,1,"543 EAST MAIN STREET,LOUISVILLE,MS,39339",33.1235,-89.052,NA,2026-06-01
255097,CARE CENTER OF ABERDEEN,505 JACKSON ST,ABERDEEN,MS,39730,6623696431,470,Monroe,N,For profit - Limited Liability company,105,93.5,NA,Medicare and Medicaid,N,COMMUNITY CARE CENTER OF ABERDEEN,1987-12-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,2,NA,2,NA,3,NA,4,NA,NA,NA,2.30903,0.80146,0.62826,1.42972,3.73875,3.25854,0.33024,0.03279,41.4,NA,64.3,NA,0,NA,1.23832,0.8898,2.07496,0.76551,0.60446,3.44492,3.05611,2.57689,0.89443,0.70114,4.17246,3.63654,2025-05-15,9,7,2,64,1,0,64,2023-11-16,5,4,1,20,1,0,20,53,NA,1,10358,0,1,"505 JACKSON ST,ABERDEEN,MS,39730",33.8193,-88.541,NA,2026-06-01
255100,DIVERSICARE OF TYLERTOWN,200 MEDICAL CIRCLE,TYLERTOWN,MS,39667,6018762107,730,Walthall,N,For profit - Limited Liability company,60,47.9,NA,Medicare and Medicaid,N,DIVERSICARE OF TYLERTOWN LLC,1989-04-01,DIVERSICARE HEALTHCARE,185,46,2.5,2.4,2.9,3.5,N,NA,N,N,N,Both,Yes,5,NA,4,NA,3,NA,4,NA,2,NA,5,NA,NA,NA,2.20079,0.77419,0.91442,1.68861,3.88939,3.29607,0.48515,0.02475,37,NA,12.5,NA,0,NA,1.22349,0.87914,2.0501,0.75633,0.59721,3.40365,3.01949,2.48587,0.87447,1.03287,4.39321,3.72304,2026-01-14,4,4,0,20,1,0,20,2024-09-05,4,3,1,16,1,0,16,19,NA,0,0,0,0,"200 MEDICAL CIRCLE,TYLERTOWN,MS,39667",31.1212,-90.155,NA,2026-06-01
255101,MCCOMB COMMUNITY CARE CENTER,415 MARION AVE,MCCOMB,MS,39648,6016848700,400,Lee,N,For profit - Limited Liability company,140,105.3,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1989-04-01,NORBERT BENNETT & DONALD DENZ,771,27,1.8,2,2.6,2.3,N,NA,N,N,N,Resident,Yes,2,NA,3,NA,1,NA,2,NA,1,NA,3,NA,NA,NA,2.58428,1.45142,0.23446,1.68588,4.27015,3.6291,0.11762,0.05376,51.2,NA,40,NA,0,NA,1.16859,0.83969,1.95811,0.7224,0.57042,3.25093,2.88401,3.05617,1.71646,0.27727,5.04989,4.29178,2024-09-13,7,6,1,44,1,0,44,2022-12-08,6,3,3,24,1,0,24,39,NA,1,12740,0,1,"415 MARION AVE,MCCOMB,MS,39648",31.2534,-90.472,NA,2026-06-01
