cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
265001,ATHENE NURSING AND REHABILITATION,13995 CLAYTON ROAD,TOWN AND COUNTRY,MO,63017,6362275070,940,St. Louis,Y,For profit - Limited Liability company,282,163.6,NA,Medicare and Medicaid,N,CLAYTON ROAD HEALTHCARE LLC,1969-11-01,VERTICAL HEALTH SERVICES,636,16,1.9,2.3,1.6,3.5,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,2,NA,4,NA,1,NA,1,NA,NA,NA,2.12788,0.51869,0.27221,0.7909,2.91878,2.62809,0.16845,0.08307,63.6,NA,83.3,NA,0,NA,1.58433,1.13842,2.65474,0.9794,0.77335,4.40749,3.91003,1.8561,0.45244,0.23744,2.54598,2.29242,2026-01-13,35,24,21,283,1,0,283,2024-02-15,54,30,33,431,2,216,647,374,NA,9,150369,2,11,"13995 CLAYTON ROAD,TOWN AND COUNTRY,MO,63017",38.6279,-90.509,NA,2026-06-01
265055,KABUL NURSING HOMES INC,1000 MAIN STREET,CABOOL,MO,65689,4179623713,989,Texas,N,Non profit - Corporation,99,45,NA,Medicare and Medicaid,N,KABUL NURSING HOMES INC,1967-01-09,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,2.19606,0.66075,0.50238,1.16313,3.35919,3.10694,0.27279,0.00491,37.5,NA,NA,27,0,NA,1.19068,0.85557,1.99514,0.73606,0.5812,3.3124,2.93854,2.54887,0.7669,0.58309,3.89886,3.60608,2025-08-14,5,5,1,20,1,0,20,2024-06-28,5,5,0,20,1,0,20,20,NA,0,0,0,0,"1000 MAIN STREET,CABOOL,MO,65689",37.1221,-92.099,NA,2026-06-01
265071,MASON POINTE CARE CENTER,13190 SOUTH OUTER 40 ROAD,CHESTERFIELD,MO,63017,4179328040,940,St. Louis,Y,Non profit - Corporation,63,45,NA,Medicare and Medicaid,N,LUTHERAN SENIOR SERVICES,1995-05-19,EVERTRUE,785,5,4.8,4.6,4.8,4.6,Y,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,2.5305,0.70305,0.86332,1.56637,4.09687,3.45513,0.39237,0,42.3,NA,36.4,NA,1,NA,1.16321,0.83583,1.9491,0.71907,0.56779,3.23596,2.87073,3.00641,0.83528,1.02569,4.86738,4.10494,2024-08-22,1,1,0,4,1,0,4,2023-07-12,0,0,0,0,0,0,0,3,NA,0,0,0,0,"13190 SOUTH OUTER 40 ROAD,CHESTERFIELD,MO,63017",38.6459,-90.527,NA,2026-06-01
265091,CAMDENTON WINDSOR ESTATES,2042 N BUSINESS ROUTE 5,CAMDENTON,MO,65020,5733465654,140,Camden,N,For profit - Corporation,82,55.7,NA,Medicare and Medicaid,N,"N & R OF CAMDENTON, INC",1970-01-19,JAMES & JUDY LINCOLN,290,56,2.4,2.7,2.1,2.6,N,NA,N,N,N,Resident,Yes,1,NA,2,NA,1,NA,1,NA,NA,2,1,NA,NA,NA,1.56553,0.26194,0.51766,0.77961,2.34514,1.9807,0.39793,0.00834,74.5,NA,100,NA,1,NA,1.0524,0.7562,1.76342,0.65057,0.5137,2.92769,2.59725,2.05581,0.34398,0.67978,3.07957,2.601,2025-04-10,15,14,1,88,2,44,132,2024-03-21,15,10,5,132,1,0,132,132,NA,0,0,0,0,"2042 N BUSINESS ROUTE 5,CAMDENTON,MO,65020",37.9919,-92.972,NA,2026-06-01
265095,JOHN KNOX VILLAGE CARE CENTER,600 NW PRYOR ROAD,LEES SUMMIT,MO,64081,8162464343,470,Jackson,Y,Non profit - Corporation,324,115.5,NA,Medicare and Medicaid,N,JOHN KNOX VILLAGE,1974-07-01,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,N,N,Both,Yes,4,NA,4,NA,4,NA,3,NA,4,NA,4,NA,NA,NA,2.14119,1.01247,0.78534,1.79781,3.939,3.56638,0.42992,0.06766,42.4,NA,20.8,NA,0,NA,1.33659,0.96041,2.23962,0.82625,0.65242,3.7183,3.29863,2.2139,1.04685,0.81201,4.07275,3.68748,2025-01-14,4,4,0,20,1,0,20,2023-07-05,8,6,2,60,1,0,60,30,NA,0,0,0,0,"600 NW PRYOR ROAD,LEES SUMMIT,MO,64081",38.9234,-94.413,NA,2026-06-01
265105,DELMAR GARDENS WEST,13550 SOUTH OUTER 40 ROAD,TOWN AND COUNTRY,MO,63017,3148781330,940,St. Louis,Y,For profit - Corporation,321,183.2,NA,Medicare and Medicaid,N,"DELMAR GARDENS WEST OPERATING, LLC",1972-02-01,DELMAR GARDENS,180,12,2.9,3.1,2.9,2.4,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,2,NA,3,NA,1,NA,4,NA,NA,NA,2.41679,0.75205,0.42268,1.17474,3.59153,3.42656,0.3841,0.02744,41.4,NA,28.6,NA,0,NA,1.20582,0.86645,2.02051,0.74541,0.58859,3.35451,2.9759,2.76985,0.86192,0.48443,4.11619,3.92713,2025-04-11,8,8,1,56,1,0,56,2023-11-17,16,7,11,120,1,0,120,72,NA,2,22623,0,2,"13550 SOUTH OUTER 40 ROAD,TOWN AND COUNTRY,MO,63017",38.6459,-90.527,NA,2026-06-01
265108,BETH HAVEN NURSING HOME,2500 PLEASANT STREET,HANNIBAL,MO,63401,5732216000,630,Marion,N,For profit - Corporation,105,60.1,NA,Medicare and Medicaid,N,MENNONITE HOME ASSOCIATION INC.,1972-04-07,NA,NA,NA,NA,NA,NA,NA,Y,SFF Candidate,Y,N,N,Resident,Yes,1,NA,1,NA,1,NA,1,NA,1,NA,1,24,NA,NA,3.53742,0.90085,0.21629,1.11713,4.65456,4.28071,0.08743,0.01676,NA,26,NA,26,NA,26,1.09158,0.78436,1.82909,0.6748,0.53283,3.03671,2.69397,4.47847,1.14049,0.27382,5.89279,5.41948,2025-02-06,28,26,2,309,2,155,464,2023-05-02,37,26,11,436,2,218,654,511.5,NA,8,79917,2,10,"2500 PLEASANT STREET,HANNIBAL,MO,63401",39.7133,-91.383,NA,2026-06-01
265110,MOORE FEW CARE CENTER,901 SOUTH  ADAMS,NEVADA,MO,64772,4174483841,990,Vernon,N,Government - City,108,60.9,NA,Medicare and Medicaid,N,NEVADA CITY NURSING HOME,1972-06-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,3,NA,4,NA,1,NA,1,NA,1,NA,2,NA,NA,NA,2.36048,0.79666,0.43554,1.2322,3.59268,2.90272,0.28143,0.01045,NA,26,NA,26,0,NA,1.18243,0.84964,1.9813,0.73095,0.57717,3.28943,2.91816,2.75883,0.93111,0.50904,4.19898,3.39258,2024-07-31,5,5,0,24,1,0,24,2022-08-12,13,7,6,120,1,0,120,48,NA,1,13662,0,1,"901 SOUTH  ADAMS,NEVADA,MO,64772",37.8301,-94.361,NA,2026-06-01
265112,FLORISSANT VALLEY HEALTH & REHABILITATION CENTER,1200 GRAHAM ROAD,FLORISSANT,MO,63031,3148386555,940,St. Louis,Y,For profit - Corporation,98,75.6,NA,Medicare and Medicaid,N,"FLORISSANT HEALTHCARE, LLC",1983-08-01,MGM HEALTHCARE,348,32,2.4,2.2,1.7,3.9,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,4,NA,1,NA,1,NA,NA,NA,2.40161,0.86732,0.28541,1.15273,3.55434,2.91259,0.17722,0.10312,69.5,NA,NA,27,0,NA,1.54601,1.11089,2.5905300000000002,0.95571,0.75464,4.30089,3.81546,2.14679,0.77529,0.25513,3.17721,2.60356,2024-11-22,22,19,12,132,2,66,198,2023-06-09,24,14,14,144,1,0,144,184.5,NA,0,0,0,0,"1200 GRAHAM ROAD,FLORISSANT,MO,63031",38.7776,-90.335,NA,2026-06-01
265118,ASPEN POINT HEALTH AND REHABILITATION,2840 WEST CLAY ST,SAINT CHARLES,MO,63301,6369466100,910,St. Charles,Y,For profit - Limited Liability company,180,54.8,NA,Medicare and Medicaid,N,CLAY STREET HEALTHCARE LLC,1975-01-27,VERTICAL HEALTH SERVICES,636,16,1.9,2.3,1.6,3.5,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,5,NA,2,NA,1,NA,NA,NA,1.61491,0.72135,0.6399,1.36125,2.97616,2.68677,0.58421,0.11934,57.8,NA,53.3,NA,0,NA,1.71962,1.23564,2.88144,1.06303,0.83939,4.78386,4.24392,1.29782,0.57972,0.51425,2.39179,2.15923,2026-02-11,3,3,0,16,1,0,16,2025-08-14,64,2,62,1252,1,0,1252,325,NA,10,469221,2,12,"2840 WEST CLAY ST,SAINT CHARLES,MO,63301",38.7859,-90.527,NA,2026-06-01
