cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
295000,PERSHING GENERAL HOSPITAL SNF,855 6TH STREET,LOVELOCK,NV,89419,7752732621,130,Pershing,N,Government - Hospital district,25,24.8,NA,Medicare and Medicaid,Y,PERSHING GENERAL HOSPITAL,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,4,NA,4,NA,NA,2,4,NA,NA,NA,2.22122,0.47651,1.03277,1.50928,3.7305,3.1241,0.58711,0.04844,55.6,NA,45.5,NA,0,NA,1.10214,0.79195,1.84678,0.68132,0.53798,3.06608,2.72002,2.78518,0.59749,1.29499,4.67766,3.9173,2025-04-17,3,3,0,12,1,0,12,2024-10-18,22,9,13,92,1,0,92,32,NA,1,9258,0,1,"855 6TH STREET,LOVELOCK,NV,89419",40.1766,-118.48,NA,2026-06-01
295001,LEFA SERAN SNF,1ST AND A ST,HAWTHORNE,NV,89415,7759452461,100,Mineral,N,Government - Hospital district,24,20,NA,Medicare and Medicaid,Y,MT GRANT GENERAL HOSPITAL,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,2,NA,2,NA,NA,2,4,NA,NA,NA,3.71705,1.05052,1.09423,2.14474,5.86179,5.14817,0.69643,0,84.8,NA,85.7,NA,NA,26,1.16633,0.83807,1.95434,0.721,0.56932,3.24465,2.87844,4.40429,1.24475,1.29654,6.94557,6.1,2025-04-10,18,18,0,100,1,0,100,2024-05-23,10,10,0,56,1,0,56,89,NA,0,0,0,0,"1ST AND A ST,HAWTHORNE,NV,89415",38.5997,-118.68,22,2026-06-01
295006,LAS VEGAS POST ACUTE & REHABILITATION,2832 S. MARYLAND PARKWAY,LAS VEGAS,NV,89109,7027355848,010,Clark,Y,For profit - Partnership,79,79,NA,Medicare and Medicaid,N,LAS VEGAS POST ACUTE & REHABILITATION LLC,1967-01-01,DAVID JOHNSON,851,46,3.1,2.6,3.1,4.4,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,2,NA,2,NA,1,NA,4,NA,NA,NA,1.77835,0.80678,0.61685,1.42362,3.20197,2.96006,0.481,0.09717,41.3,NA,37.5,NA,0,NA,1.12537,0.80864,1.8857,0.69568,0.54932,3.13071,2.77736,2.18384,0.99073,0.7575,3.93206,3.635,2025-07-18,5,3,2,20,1,0,20,2024-06-28,10,6,4,40,1,0,40,25,NA,0,0,0,0,"2832 S. MARYLAND PARKWAY,LAS VEGAS,NV,89109",36.1383,-115.14,NA,2026-06-01
295008,EL JEN SKILLED CARE,5538 W DUNCAN DR,LAS VEGAS,NV,89130,7026452606,010,Clark,Y,For profit - Limited Liability company,144,136.8,NA,Medicare and Medicaid,N,EL JEN SNF OPERATIONS LLC,1969-10-01,EVERGREEN HEALTHCARE GROUP,846,43,2.4,2.3,3.3,3,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,2,NA,3,NA,1,NA,1,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-01,9,6,5,80,1,0,80,2023-08-31,24,16,9,104,1,0,104,86,NA,1,34684,0,1,"5538 W DUNCAN DR,LAS VEGAS,NV,89130",36.2289,-115.22,NA,2026-06-01
295011,SOUTH LYON MEDICAL CENTER,213 WHITACRE ST,YERINGTON,NV,89447,7754632301,090,Lyon,Y,Non profit - Corporation,49,30,NA,Medicare and Medicaid,Y,SOUTH LYON HEALTH CENTER INC,1967-01-15,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,1,NA,2,NA,1,NA,1,NA,NA,2,4,NA,NA,NA,2.84523,0.57828,1.16176,1.74004,4.58528,3.72558,0.82272,0.00706,54.3,NA,66.7,NA,NA,26,1.15401,0.82922,1.93369,0.71339,0.5633,3.21038,2.84804,3.40727,0.69251,1.39125,5.49103,4.46151,2025-07-24,11,11,0,48,1,0,48,2024-07-23,27,24,3,188,1,0,188,83,NA,0,0,0,0,"213 WHITACRE ST,YERINGTON,NV,89447",38.9831,-119.17,NA,2026-06-01
295017,HORIZON HEALTH AND REHABILITATION CENTER,660 MARTIN LUTHER KING BLVD,LAS VEGAS,NV,89106,7023825580,010,Clark,Y,For profit - Corporation,138,124.4,NA,Medicare and Medicaid,N,"THI OF NEVADA II AT DESERT LANE, LLC",1970-01-28,FUNDAMENTAL HEALTHCARE,231,68,2.4,2.5,2.2,3.6,N,NA,N,N,N,Both,Yes,2,NA,2,NA,4,NA,4,NA,NA,2,3,NA,NA,NA,1.79956,1.08844,0.43077,1.51921,3.31877,2.90735,0.21702,0.03807,27.1,NA,28.6,NA,0,NA,1.26773,0.91093,2.12424,0.78368,0.61881,3.52673,3.12868,1.96173,1.18652,0.46959,3.61785,3.16935,2025-06-13,14,14,0,68,1,0,68,2024-07-12,8,8,0,56,1,0,56,65,NA,0,0,0,0,"660 MARTIN LUTHER KING BLVD,LAS VEGAS,NV,89106",36.1777,-115.16,NA,2026-06-01
295020,ROSEWOOD REHABILITATION CENTER,2045 SILVERADA BLVD,RENO,NV,89512,7753593161,150,Washoe,Y,For profit - Corporation,99,84.6,NA,Medicare and Medicaid,N,"WILDCREEK HEALTHCARE, INC.",1970-06-01,THE ENSIGN GROUP,507,342,3.2,2.9,2.4,4.4,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,4,NA,2,NA,1,NA,NA,NA,1.76178,1.28563,0.28561,1.57124,3.33301,2.74421,0.20378,0.10487,49.4,NA,90,NA,0,NA,1.40222,1.00757,2.3496,0.86682,0.68446,3.90088,3.4606,1.73634,1.26706,0.28148,3.28488,2.70459,2025-12-11,23,23,9,120,1,0,120,2024-10-10,26,10,16,116,1,0,116,119,NA,0,0,0,0,"2045 SILVERADA BLVD,RENO,NV,89512",39.5489,-119.78,NA,2026-06-01
295021,"PREMIER HEALTH & REHABILITATION CENTER OF LV, LP",2945 CASA VEGAS STREET,LAS VEGAS,NV,89169,7027357179,010,Clark,Y,For profit - Limited Liability company,100,85.8,NA,Medicare and Medicaid,N,"PREMIER HEALTH AND REHABILITATION CENTER OF LAS VEGAS, LP",1973-12-01,PURSUE HEALTH,878,7,2.1,2.1,3.1,3.9,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,5,NA,3,NA,3,NA,NA,NA,1.89389,1.27354,0.48593,1.75947,3.65335,3.26191,0.31217,0.06623,51.8,NA,53.8,NA,0,NA,1.16498,0.8371,1.95207,0.72017,0.56866,3.2409,2.87511,2.24664,1.51075,0.57644,4.33383,3.86948,2025-08-29,4,3,1,16,1,0,16,2024-09-17,12,5,7,76,1,0,76,31,NA,1,29395,0,1,"2945 CASA VEGAS STREET,LAS VEGAS,NV,89169",36.1363,-115.13,NA,2026-06-01
295023,NORTHSTAR POST ACUTE,2898 HIGHWAY 50 EAST,CARSON CITY,NV,89701,7758823301,120,Carson City,Y,For profit - Corporation,73,58,NA,Medicare and Medicaid,N,"CARSON CITY COMMUNITY HEALTHCARE, LLC",1973-01-01,PACS GROUP,690,280,3,2.5,2.4,4.3,N,SFF Candidate,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,4,NA,2,NA,NA,NA,1.89124,0.80979,0.60552,1.41532,3.30656,2.88936,0.50087,0.0031,59.2,NA,71.4,NA,1,NA,1.34574,0.96698,2.25495,0.83191,0.65689,3.74374,3.3212,1.94217,0.8316,0.62183,3.39559,2.96716,2026-02-02,30,30,4,164,1,0,164,2024-12-19,11,7,4,48,1,0,48,135,NA,1,70296,0,1,"2898 HIGHWAY 50 EAST,CARSON CITY,NV,89701",39.1761,-119.74,NA,2026-06-01
295024,HARMONY MANOR SKILLED NURSING FACILITY,118 EAST HASKELL ST,WINNEMUCCA,NV,89445,7756235222,060,Humboldt,N,Government - Hospital district,42,34.3,NA,Medicare and Medicaid,Y,HUMBOLDT GENERAL HOSPITAL,1974-03-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,NA,2,5,NA,NA,NA,3.79402,0.53758,1.42167,1.95925,5.75327,4.97863,0.9502,0,38,NA,46.2,NA,NA,26,1.04886,0.75366,1.7575,0.64838,0.51197,2.91786,2.58853,4.99898,0.70831,1.87319,7.58048,6.55982,2026-04-23,8,8,0,32,1,0,32,2025-02-06,6,6,0,16,1,0,16,28,NA,0,0,0,0,"118 EAST HASKELL ST,WINNEMUCCA,NV,89445",40.9716,-117.73,NA,2026-06-01
