cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
315001,"MERWICK CARE & REHAB CENTER, LLC",100 PLAINSBORO ROAD,PLAINSBORO,NJ,08536,6097596000,270,Middlesex,Y,For profit - Corporation,200,158.4,NA,Medicare and Medicaid,N,"MERWICK CARE & REHABILITATION CENTER, LLC",1967-01-01,MARQUIS HEALTH SERVICES,336,88,3,2.5,2.5,4.3,N,NA,N,N,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,1.83701,0.64322,0.75549,1.39871,3.23572,2.76813,0.6257,0.03664,33,NA,50,NA,NA,26,1.32627,0.95299,2.22233,0.81987,0.64738,3.68958,3.27315,1.91417,0.67023,0.78722,3.37162,2.8844,2025-04-25,9,8,1,56,1,0,56,2023-11-22,17,8,12,428,1,0,428,149,0,0,0,0,0,"100 PLAINSBORO ROAD,PLAINSBORO,NJ,08536",40.3374,-74.623,NA,2026-06-01
315002,CAREONE AT SOMERSET VALLEY,1621 ROUTE 22 WEST,BOUND BROOK,NJ,08805,7324692000,350,Somerset,Y,For profit - Corporation,64,53.6,NA,Medicare,N,"1621 ROUTE 22 WEST OPERATING COMPANY, LLC",1967-01-01,CAREONE,109,37,3.4,2.9,3.3,4.6,N,NA,N,N,N,None,Yes,4,NA,3,NA,5,NA,NA,2,5,NA,3,NA,NA,NA,1.65825,0.69776,1.46148,2.15924,3.81749,3.24519,0.99822,0.37142,30,NA,25,NA,2,NA,1.93847,1.39289,3.24815,1.19832,0.94621,5.39269,4.78403,1.1822,0.49745,1.04192,2.72156,2.31356,2024-11-07,7,7,3,60,1,0,60,2023-09-21,2,2,1,8,1,0,8,47,NA,0,0,0,0,"1621 ROUTE 22 WEST,BOUND BROOK,NJ,08805",40.5838,-74.514,NA,2026-06-01
315005,SPRING GROVE REHABILITATION AND HEALTHCARE CENTER,144 GALES DRIVE,NEW PROVIDENCE,NJ,07974,9084648600,370,Union,Y,For profit - Limited Liability company,106,91.9,NA,Medicare and Medicaid,N,SPRING GROVE OPERATOR LLC,1967-01-01,MARQUIS HEALTH SERVICES,336,88,3,2.5,2.5,4.3,N,NA,N,N,N,Resident,Yes,3,NA,2,NA,5,NA,5,NA,5,NA,4,NA,NA,NA,2.12993,0.6556,0.8047,1.4603,3.59023,3.41457,0.60702,0.03714,27.5,NA,37.5,NA,0,NA,1.43766,1.03303,2.40898,0.88873,0.70176,3.99946,3.54806,2.04743,0.63021,0.77353,3.45116,3.28231,2026-03-30,15,14,1,64,1,0,64,2024-10-29,10,7,5,76,1,0,76,67,0,1,10527,0,1,"144 GALES DRIVE,NEW PROVIDENCE,NJ,07974",40.7032,-74.404,NA,2026-06-01
315008,LAUREL MANOR HEALTHCARE AND REHABILITATION CENTER,18 W LAUREL ROAD,STRATFORD,NJ,08084,8567842400,160,Camden,Y,For profit - Limited Liability company,106,95.9,NA,Medicare and Medicaid,N,LAUREL HEALTHCARE LLC,1969-01-01,MB HEALTHCARE,341,12,3.7,2.9,3.1,4.8,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,3,NA,3,NA,NA,NA,1.92001,0.92165,0.64933,1.57098,3.49099,3.13262,0.422,0.19292,47.6,NA,35.7,NA,0,NA,1.44255,1.03655,2.41718,0.89176,0.70415,4.01308,3.56014,1.83938,0.88294,0.62206,3.34439,3.00106,2025-08-28,7,6,1,32,1,0,32,2024-04-17,10,9,5,40,1,0,40,34,NA,0,0,0,0,"18 W LAUREL ROAD,STRATFORD,NJ,08084",39.8249,-75.011,NA,2026-06-01
315009,RUNNELLS CENTER FOR REHABILITATION & HEALTHCARE,40 WATCHUNG WAY,BERKELEY HEIGHTS,NJ,07922,9087715700,370,Union,Y,For profit - Corporation,300,253.5,NA,Medicare and Medicaid,N,RUNNELLS OPERATING LLC,1967-01-01,THE ROSENBERG FAMILY,685,15,2.5,1.9,3.9,4.1,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,3,NA,5,NA,NA,NA,2.64138,0.93207,0.56365,1.49573,4.1371,3.53398,0.35352,0.05864,33,NA,26.5,NA,0,NA,1.10068,0.7909,1.84433,0.68042,0.53727,3.06202,2.71642,3.31641,1.17028,0.7077,5.19439,4.43713,2025-08-14,9,4,5,40,1,0,40,2024-04-09,4,3,1,32,1,0,32,38,NA,2,28085,0,2,"40 WATCHUNG WAY,BERKELEY HEIGHTS,NJ,07922",40.6681,-74.423,NA,2026-06-01
315010,ELMORA HILLS HEALTH & REHABILITATION CENTER,225 W JERSEY STREET,ELIZABETH,NJ,07202,9083531220,370,Union,Y,For profit - Corporation,200,184.7,NA,Medicare and Medicaid,N,"ELMORA HILLS HEALTH & REHABILITATION CENTER,LLC",1967-01-01,OCEAN HEALTHCARE,381,11,3.1,2.5,2.8,4.5,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.19641,0.87547,0.39654,1.27201,3.46842,3.12537,0.31414,0.0497,32,NA,29.4,NA,1,NA,1.41347,1.01565,2.36845,0.87378,0.68995,3.93218,3.48837,2.14746,0.85596,0.3877,3.39113,3.05572,2025-12-12,3,3,0,12,1,0,12,2024-08-23,18,18,0,96,1,0,96,33,NA,0,0,0,0,"225 W JERSEY STREET,ELIZABETH,NJ,07202",40.6635,-74.223,NA,2026-06-01
315013,BARCLAYS REHABILITATION AND HEALTHCARE CENTER,1412 MARLTON PIKE EAST,CHERRY HILL,NJ,08034,8564286100,160,Camden,Y,For profit - Partnership,108,90.9,NA,Medicare and Medicaid,N,BARCLAYS REHABILITATION AND HEALTHCARE CENTER LLC,1967-01-09,MB HEALTHCARE,341,12,3.7,2.9,3.1,4.8,N,NA,N,N,N,None,Yes,4,NA,3,NA,5,NA,5,NA,4,NA,2,NA,NA,NA,2.1667,1.13593,0.43247,1.5684,3.7351,3.30278,0.1946,0.04041,57.3,NA,53.8,NA,0,NA,1.5086,1.08401,2.52785,0.93259,0.73638,4.19682,3.72314,1.98484,1.04058,0.39617,3.42159,3.02556,2025-08-20,7,7,0,36,1,0,36,2024-02-23,12,12,1,72,1,0,72,45,NA,0,0,0,0,"1412 MARLTON PIKE EAST,CHERRY HILL,NJ,08034",39.9109,-74.994,NA,2026-06-01
315014,BIG OAK REHABILITATION AND HEALTHCARE CENTER,849 BIG OAK ROAD,PITTSGROVE,NJ,08318,8564515000,340,Salem,Y,For profit - Individual,84,73.5,NA,Medicare and Medicaid,N,GARDENS OPERATOR LLC,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,4,NA,5,NA,2,NA,2,NA,NA,NA,2.12089,1.15402,0.28656,1.44057,3.56146,3.30804,0.13569,0.09245,55.4,NA,87.5,NA,1,NA,1.21965,0.87638,2.04367,0.75396,0.59534,3.39298,3.01003,2.40316,1.3076,0.3247,4.03546,3.74831,2026-03-26,4,4,1,36,1,0,36,2024-12-11,21,17,6,128,1,0,128,59,NA,0,0,0,0,"849 BIG OAK ROAD,PITTSGROVE,NJ,08318",39.4869,-75.122,NA,2026-06-01
315015,"COMPLETE CARE AT MADISON, LLC",625 STATE HIGHWAY 34,MATAWAN,NJ,07747,7325666400,270,Middlesex,Y,For profit - Limited Liability company,167,126.5,NA,Medicare and Medicaid,N,COMPLETE CARE AT MADISON LLC,1967-01-01,COMPLETE CARE,157,85,3.2,2.8,2.5,4.4,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,4,NA,NA,NA,2.16861,0.97795,0.53052,1.50848,3.67709,3.43648,0.47013,0.03553,32.7,NA,41.2,NA,0,NA,1.27673,0.9174,2.13932,0.78925,0.6232,3.55178,3.1509,2.34737,1.05857,0.57425,3.98019,3.71975,2026-03-03,7,7,0,32,1,0,32,2024-08-27,9,8,5,44,1,0,44,35,0,0,0,0,0,"625 STATE HIGHWAY 34,MATAWAN,NJ,07747",40.4164,-74.249,NA,2026-06-01
315017,BERGEN NEW BRIDGE MEDICAL CENTER,230 E RIDGEWOOD AVE,PARAMUS,NJ,07652,2019674000,100,Bergen,Y,Non profit - Corporation,574,357.1,NA,Medicare and Medicaid,Y,BERGEN COUNTY IMPROVEMENT AUTHORITY,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Both,Yes,5,NA,3,NA,5,NA,5,NA,4,NA,5,NA,NA,NA,2.18686,0.36911,1.01823,1.38735,3.5742,3.33839,0.91646,0.01527,19,NA,13.5,NA,0,NA,1.25806,0.90398,2.10804,0.77771,0.61409,3.49983,3.10482,2.40225,0.40547,1.11852,3.92624,3.66721,2025-05-16,10,9,2,64,1,0,64,2023-04-06,3,3,0,32,1,0,32,56,0,0,0,0,0,"230 E RIDGEWOOD AVE,PARAMUS,NJ,07652",40.972,-74.091,NA,2026-06-01
