cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
325030,Santa Fe Care Center,635 Harkle Road,Santa Fe,NM,87505,5059822574,240,Santa Fe,Y,For profit - Corporation,120,93.1,NA,Medicare and Medicaid,N,DIAMOND CARE SANTA FE LLC,1980-09-04,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,1,NA,2,NA,3,NA,2,NA,4,NA,1,24,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-11,17,13,4,112,1,0,112,2023-05-26,33,18,15,401,1,0,401,184.25,NA,2,25562,0,2,"635 Harkle Road,Santa Fe,NM,87505",35.6593,-105.95,NA,2026-06-01
325032,Sandia Ridge Center,2216 Lester Drive NE,Albuquerque,NM,87112,5052964808,000,Bernalillo,Y,For profit - Corporation,140,126.6,NA,Medicare and Medicaid,N,"ST. JOHN HEALTHCARE AND REHABILITATION CENTER, LLC",1981-12-01,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,SFF Candidate,N,Y,N,Resident,Yes,1,NA,1,NA,1,NA,2,NA,1,NA,3,NA,NA,NA,2.15505,0.56885,0.64397,1.21281,3.36786,2.96525,0.48173,0.00917,51.4,NA,59.1,NA,1,NA,1.19149,0.85615,1.99648,0.73655,0.58159,3.31463,2.94052,2.49958,0.65979,0.74692,3.90629,3.43931,2023-01-13,20,8,12,620,1,0,620,2021-11-23,27,15,12,180,2,90,270,532.5,NA,1,114001,0,1,"2216 Lester Drive NE,Albuquerque,NM,87112",35.1078,-106.55,NA,2026-06-01
325033,Rio Rancho Center,4210 Sabana Grande SE,Rio Rancho,NM,87124,5058926603,210,Sandoval,Y,For profit - Limited Liability company,120,109.2,NA,Medicare and Medicaid,N,PEAK MEDICAL NEW MEXICO NO 3 LLC,1982-11-04,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,3,NA,4,NA,1,NA,NA,NA,1.88984,0.99353,0.34807,1.3416,3.23144,2.85484,0.16023,0.05197,59.8,NA,76.5,NA,2,NA,1.24462,0.89432,2.08551,0.7694,0.60753,3.46244,3.07165,2.0984,1.10317,0.38649,3.58806,3.16989,2025-02-25,28,17,11,176,1,0,176,2024-02-19,38,25,14,465,1,0,465,248.25,NA,0,0,0,0,"4210 Sabana Grande SE,Rio Rancho,NM,87124",35.2431,-106.65,NA,2026-06-01
325034,The Rehabilitation Center of Albuquerque,5900 Forest Hills Drive NE,Albuquerque,NM,87109,5058226000,000,Bernalillo,Y,For profit - Corporation,120,112,NA,Medicare and Medicaid,N,"THE REHABILITATION CENTER OF ALBUQUERQUE, LLC",1983-04-06,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,NA,N,N,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,5,NA,2,NA,NA,NA,1.72589,0.79736,0.88871,1.68607,3.41196,3.24237,0.73373,0.08608,54.5,NA,54.5,NA,0,NA,1.502,1.07927,2.51679,0.92851,0.73316,4.17846,3.70685,1.58798,0.73364,0.81769,3.13931,2.98327,2025-06-27,19,9,11,274,1,0,274,2024-03-29,13,9,7,128,1,0,128,237.5,NA,2,40999,0,2,"5900 Forest Hills Drive NE,Albuquerque,NM,87109",35.1573,-106.59,NA,2026-06-01
325035,La Vida Llena,10501 Lagrima De Oro NE,Albuquerque,NM,87111,5052966700,000,Bernalillo,Y,Non profit - Other,50,45.1,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1983-03-28,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,N,N,Resident,Yes,4,NA,4,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,2.49468,0.67579,0.89446,1.57025,4.06492,3.38157,0.76471,0.16879,66,NA,64.3,NA,2,NA,1.33118,0.95652,2.23056,0.82291,0.64978,3.70325,3.28527,2.58987,0.70157,0.92859,4.22003,3.51061,2025-12-22,11,11,1,76,1,0,76,2024-09-12,3,2,1,24,1,0,24,63,0,0,0,0,0,"10501 Lagrima De Oro NE,Albuquerque,NM,87111",35.132,-106.52,NA,2026-06-01
325036,Las Palomas Center,8100 Palomas Avenue Ne,Albuquerque,NM,87109,5058214200,000,Bernalillo,Y,For profit - Limited Liability company,120,106.7,NA,Medicare and Medicaid,N,PEAK MEDICAL NEW MEXICO NO 3 LLC,1983-03-22,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,SFF Candidate,Y,N,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,3,NA,3,NA,NA,NA,1.59792,1.01948,0.66251,1.682,3.27992,2.76748,0.43499,0.05167,73.5,NA,52.9,NA,0,NA,1.24944,0.89779,2.09359,0.77238,0.60988,3.47585,3.08354,1.76742,1.12763,0.73279,3.62783,3.06104,2024-07-19,33,20,13,579,1,0,579,2023-08-17,48,16,32,483,1,0,483,555,NA,3,432246,0,3,"8100 Palomas Avenue Ne,Albuquerque,NM,87109",35.1728,-106.56,NA,2026-06-01
325037,Ladera Center,5901 Ouray Road Nw,Albuquerque,NM,87120,5058360023,000,Bernalillo,Y,For profit - Corporation,120,111.8,NA,Medicare and Medicaid,N,PEAK MEDICAL NEW MEXICO NO 3 LLC,1983-05-24,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,2,NA,4,NA,3,NA,NA,NA,1.81081,0.76059,0.55847,1.31906,3.12987,2.79555,0.39859,0.01657,38.5,NA,43.8,NA,0,NA,1.21647,0.8741,2.03834,0.75199,0.59379,3.38412,3.00217,2.05718,0.86407,0.63445,3.5557,3.1759,2026-01-28,16,16,3,104,1,0,104,2024-10-28,20,7,14,453,1,0,453,191.25,NA,2,106581,1,3,"5901 Ouray Road Nw,Albuquerque,NM,87120",35.1125,-106.71,NA,2026-06-01
325039,"Calibre Post Acute, LLC",2029 Sagecrest Ave,Las Cruces,NM,88011,5755227000,060,Dona Ana,Y,For profit - Corporation,120,100.6,NA,Medicare and Medicaid,N,CALIBRE POST ACUTE LLC,1984-09-27,NA,NA,NA,NA,NA,NA,NA,N,SFF Candidate,N,N,N,None,Yes,2,NA,1,NA,5,NA,5,NA,5,NA,2,NA,NA,NA,2.39528,0.98231,0.22439,1.2067,3.60198,3.11461,0.2094,0.05083,64.2,NA,77.8,NA,1,NA,1.20511,0.86594,2.01932,0.74498,0.58825,3.35254,2.97415,2.7468,1.12647,0.25732,4.13059,3.57171,2024-11-06,35,18,17,240,1,0,240,2023-08-03,34,20,17,280,2,140,420,285,NA,0,0,1,1,"2029 Sagecrest Ave,Las Cruces,NM,88011",32.3261,-106.75,NA,2026-06-01
325040,White Sands Healthcare,5715 North Lovington Highway,Hobbs,NM,88240,5753926845,120,Lea,N,For profit - Corporation,118,108.8,NA,Medicare and Medicaid,N,WHITE SANDS HEALTHCARE LLC,1985-04-17,OPCO SKILLED MANAGEMENT,773,66,2.3,2.3,1.8,4.3,N,NA,Y,N,N,Resident,Yes,2,NA,2,NA,3,NA,5,NA,1,NA,2,NA,NA,NA,1.96229,0.66085,0.55913,1.21998,3.18227,2.79256,0.38487,0.01909,46.4,NA,25,NA,2,NA,1.36721,0.98241,2.29093,0.84518,0.66737,3.80348,3.37419,1.98348,0.66799,0.56517,3.21663,2.82271,2026-03-12,15,11,4,136,1,0,136,2025-01-13,13,10,3,96,1,0,96,126,NA,2,28663,0,2,"5715 North Lovington Highway,Hobbs,NM,88240",32.7644,-103.18,NA,2026-06-01
325042,Uptown Rehabilitation Center,7900 Constitution Avenue NE,Albuquerque,NM,87110,5052965565,000,Bernalillo,Y,For profit - Corporation,134,113.8,NA,Medicare and Medicaid,N,"ST. THERESA HEALTHCARE AND REHABILITATION CENTER, LLC",1985-08-30,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,5,NA,3,NA,2,NA,NA,NA,1.83952,0.7452,0.70338,1.44858,3.2881,2.87895,0.4784,0.05115,57.7,NA,68.8,NA,0,NA,1.32004,0.94852,2.21189,0.81602,0.64434,3.67226,3.25778,1.92582,0.78016,0.73638,3.44237,3.01403,2025-05-05,21,14,7,184,1,0,184,2024-02-16,33,10,24,236,1,0,236,197,0,0,0,0,0,"7900 Constitution Avenue NE,Albuquerque,NM,87110",35.0946,-106.56,NA,2026-06-01
