cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
375094,EMERALD CARE CENTER TULSA,2425 SOUTH MEMORIAL,TULSA,OK,74129,9186280932,710,Tulsa,Y,For profit - Limited Liability company,118,58.2,NA,Medicare and Medicaid,N,GARDEN MANOR REHAB AND NURSING OF TULSA LLC,1989-04-12,EMERALD HEALTHCARE,630,14,1.5,1.6,1.9,1.9,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,2,NA,3,NA,1,NA,2,NA,NA,NA,2.33221,0.83646,0.34662,1.18308,3.51529,3.4129,0.27454,0.01859,75.6,NA,88.9,NA,0,NA,1.26985,0.91245,2.12779,0.78499,0.61984,3.53263,3.13391,2.53814,0.91031,0.37723,3.82569,3.71425,2025-11-25,4,4,0,16,1,0,16,2024-04-11,41,25,18,268,2,134,402,112.5,NA,10,91783,1,11,"2425 SOUTH MEMORIAL,TULSA,OK,74129",36.1281,-95.887,NA,2026-06-01
375098,EMERALD CARE CENTER MIDWEST,2900 PARKLAWN DRIVE,MIDWEST CITY,OK,73110,4057376601,540,Oklahoma,Y,For profit - Limited Liability company,116,61.1,NA,Medicare and Medicaid,N,GARDEN MANOR REHAB AND NURSING OF MIDWEST CITY LLC,1989-06-02,EMERALD HEALTHCARE,630,14,1.5,1.6,1.9,1.9,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,2,NA,3,NA,1,NA,2,NA,NA,NA,2.33831,1.04634,0.32586,1.3722,3.71052,3.4496000000000002,0.21701,0.07103,71.1,NA,70,NA,0,NA,1.24611,0.89539,2.08801,0.77032,0.60826,3.46658,3.07532,2.59326,1.16042,0.36139,4.11508,3.82571,2025-04-10,7,7,0,56,1,0,56,2023-12-13,17,7,10,100,1,0,100,67,NA,1,4017,0,1,"2900 PARKLAWN DRIVE,MIDWEST CITY,OK,73110",35.465,-97.393,NA,2026-06-01
375102,CIMARRON NURSING CENTER,905 BEALL ROAD,KINGFISHER,OK,73750,4053756857,360,Kingfisher,N,For profit - Corporation,92,52.6,NA,Medicare and Medicaid,N,"GREAT PLAINS CARE CENTER, INC.",1989-12-14,BGM ESTATE,78,15,1.9,2.3,1.9,2.5,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,4,NA,4,NA,5,NA,4,NA,NA,NA,2.90576,0.78013,0.49094,1.27107,4.17683,3.67958,0.50308,0.01848,33.3,NA,14.3,NA,2,NA,1.12082,0.80537,1.87808,0.69287,0.5471,3.11805,2.76613,3.58279,0.9619,0.60533,5.15001,4.53691,2025-02-05,2,2,0,16,1,0,16,2023-11-16,0,0,0,0,0,0,0,12,NA,0,0,0,0,"905 BEALL ROAD,KINGFISHER,OK,73750",35.8482,-97.936,22,2026-06-01
375106,Brookwood Skilled Nursing and Therapy,940 Southwest 84th Street,Oklahoma City,OK,73139,4056360626,540,Oklahoma,Y,For profit - Corporation,137,115.6,NA,Medicare and Medicaid,N,BROOKWOOD NURSING CENTER LLC,1990-05-30,BRIDGES HEALTH,91,34,3.5,3.5,3.3,3.1,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,4,NA,2,NA,3,NA,NA,NA,1.96286,1.20608,0.41277,1.61885,3.58171,3.24958,0.3022,0.05208,61.4,NA,53.3,NA,1,NA,1.12531,0.80859,1.8856,0.69564,0.54929,3.13053,2.7772,2.41056,1.48117,0.50691,4.39864,3.99075,2025-09-17,6,5,1,56,2,28,84,2024-05-07,19,11,11,225,1,0,225,119.25,1,3,39328,1,4,"940 Southwest 84th Street,Oklahoma City,OK,73139",35.3819,-97.531,NA,2026-06-01
375107,THE GRAND AT BETHANY SKILLED NURSING AND THERAPY,7000 NORTHWEST 32ND STREET,BETHANY,OK,73008,4057897242,540,Oklahoma,Y,For profit - Partnership,161,110.8,NA,Medicare and Medicaid,N,"PUTNAM CITY CONVALESCENT CENTER, LLC",1990-10-19,BRIDGES HEALTH,91,34,3.5,3.5,3.3,3.1,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,2,NA,3,NA,1,NA,3,NA,NA,NA,2.33285,1.12813,0.29002,1.41815,3.751,3.32618,0.2867,0.01539,54.3,NA,14.3,NA,1,NA,1.12521,0.80852,1.88542,0.69558,0.54924,3.13024,2.77695,2.8652,1.38556,0.3562,4.60696,4.0852,2026-01-07,5,4,1,20,1,0,20,2024-09-03,24,16,8,294,1,0,294,88.5,0,2,22919,0,2,"7000 NORTHWEST 32ND STREET,BETHANY,OK,73008",35.5042,-97.634,NA,2026-06-01
375109,HERITAGE VILLA CARE & REHAB CENTER,1244 WOODLAND LOOP DRIVE,BARTLESVILLE,OK,74006,9183353222,730,Washington,N,For profit - Limited Liability company,100,82.8,NA,Medicare and Medicaid,N,HERITAGE VILLA HEALTHCARE LLC,1991-04-01,MGM HEALTHCARE,348,32,2.4,2.2,1.7,3.9,N,NA,N,N,N,Resident,Yes,3,NA,2,NA,5,NA,5,NA,3,NA,2,NA,NA,NA,2.64607,0.85378,0.20751,1.06129,3.70736,3.3283,0.25287,0.01507,59,NA,NA,27,0,NA,1.23306,0.88602,2.06615,0.76225,0.60189,3.4303,3.04313,2.96562,0.95688,0.23257,4.15507,3.7302399999999998,2025-01-14,10,5,5,60,1,0,60,2023-09-22,14,14,9,80,1,0,80,65,NA,1,8278,0,1,"1244 WOODLAND LOOP DRIVE,BARTLESVILLE,OK,74006",36.7381,-95.933,22,2026-06-01
375110,Bartlesville Health and Rehabilitation Community,3434 Kentucky Place,Bartlesville,OK,74006,9183339545,730,Washington,N,For profit - Corporation,119,78.5,NA,Medicare and Medicaid,N,BARTLESVILLE CARE CENTER INC.,1991-04-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,1,NA,2,NA,2,NA,2,NA,3,NA,1,24,NA,NA,3.15202,1.06327,0.0804,1.14366,4.29568,4.19041,0.09894,0.00223,NA,26,NA,26,NA,26,1.12117,0.80562,1.87866,0.69308,0.54727,3.11902,2.76698,3.88524,1.3106,0.0991,5.29493,5.16517,2024-12-04,7,7,0,40,1,0,40,2023-08-28,13,10,4,136,2,68,204,81,NA,2,75816,1,3,"3434 Kentucky Place,Bartlesville,OK,74006",36.7543,-95.939,NA,2026-06-01
375113,RIVER OAKS SKILLED NURSING AND THERAPY,1901 PARKVIEW DRIVE,EL RENO,OK,73036,4052622833,080,Canadian,Y,For profit - Partnership,120,77.5,NA,Medicare and Medicaid,N,EL RENO NURSING CENTER LLC,1991-10-11,BRIDGES HEALTH,91,34,3.5,3.5,3.3,3.1,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,2,NA,4,NA,1,NA,4,NA,NA,NA,2.09477,1.15142,0.22684000000000001,1.37826,3.47303,3.10916,0.22212,0.01427,31.3,NA,20,NA,0,NA,1.02455,0.73619,1.71676,0.63335,0.50011,2.85022,2.52852,2.82556,1.55311,0.30597,4.68464,4.19383,2025-04-18,1,1,0,4,1,0,4,2023-12-15,0,0,0,0,0,0,0,3,NA,0,0,0,0,"1901 PARKVIEW DRIVE,EL RENO,OK,73036",35.5306,-97.975,NA,2026-06-01
375116,GRAND LAKE VILLA,103 HAR-BER ROAD,GROVE,OK,74344,9187862276,200,Delaware,N,For profit - Limited Liability company,100,64.2,NA,Medicare and Medicaid,N,"OAK LAKE, LLC",1992-01-07,MARSH POINTE MANAGEMENT,337,6,3,2.8,4,3,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,4,NA,4,NA,3,NA,5,NA,NA,NA,2.99772,0.30982,0.71622,1.02603,4.02375,3.58411,0.7516,0.01236,41.5,NA,25,NA,1,NA,1.04806,0.75309,1.75616,0.64789,0.51158,2.91563,2.58656,3.95279,0.40852,0.9444,5.30571,4.72601,2024-06-12,1,0,1,4,0,0,4,2023-05-05,5,4,1,24,1,0,24,9,NA,1,8496,0,1,"103 HAR-BER ROAD,GROVE,OK,74344",36.583,-94.771,NA,2026-06-01
375117,Oak Hills Living Center,1100 West Georgia,Jones,OK,73049,4054002295,540,Oklahoma,Y,For profit - Limited Liability company,160,115.2,NA,Medicare and Medicaid,N,"OAK HILLS CARE CENTER RECEIVERSHIP, LLC",1992-02-10,NA,NA,NA,NA,NA,NA,NA,N,SFF Candidate,Y,N,N,Resident,Yes,1,NA,1,NA,1,NA,2,NA,1,NA,2,NA,NA,NA,2.30449,0.86541,0.19493,1.06035,3.36483,3.17522,0.15736,0,75.9,NA,90,NA,NA,26,1.03255,0.74194,1.73017,0.6383,0.50401,2.87249,2.54828,3.08433,1.15827,0.2609,4.5035,4.24972,2025-01-21,17,13,10,223,2,112,335,2023-11-06,19,5,15,88,2,44,132,284.25,NA,3,137245,2,5,"1100 West Georgia,Jones,OK,73049",35.5629,-97.296,NA,2026-06-01
