cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
385010,LAURELHURST POST ACUTE & REHABILITATION,3060 SE STARK STREET,PORTLAND,OR,97214,5035354700,250,Multnomah,Y,For profit - Corporation,159,91.5,NA,Medicare and Medicaid,N,LAURELHURST SNF OPERATIONS LLC,1967-01-01,HILL VALLEY HEALTHCARE,270,44,1.9,1.8,1.8,3.9,Y,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,3.27678,0.72196,0.77811,1.50007,4.77685,4.3849,0.67062,0.07108,46.5,NA,50,NA,1,NA,1.38387,0.99438,2.31884,0.85548,0.6755,3.84982,3.4153,3.2723,0.72097,0.77704,4.77031,4.3789,2025-03-14,8,5,3,44,1,0,44,2023-11-06,28,25,28,196,1,0,196,82,0,1,33319,0,1,"3060 SE STARK STREET,PORTLAND,OR,97214",45.5193,-122.63,NA,2026-06-01
385015,REGENCY GRESHAM NURSING & REHABILITATION CENTER,5905 SE POWELL VALLEY RD,GRESHAM,OR,97080,5036651151,250,Multnomah,Y,For profit - Limited Liability company,128,89,NA,Medicare and Medicaid,N,"REGENCY GRESHAM NURSING & REHABILITATION CENTER, LLC",1967-01-01,REGENCY PACIFIC MANAGEMENT,442,27,4,3.7,3.9,3.7,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,5,NA,3,NA,4,NA,NA,NA,3.8401,0.94964,0.5554,1.50504,5.34514,4.78937,0.47214,0.06519,32.2,NA,35.7,NA,0,NA,1.40031,1.0062,2.3464,0.86564,0.68353,3.89556,3.45589,3.78981,0.93721,0.54813,5.27515,4.72666,2025-09-19,6,6,0,32,1,0,32,2024-07-01,7,7,2,44,1,0,44,35,NA,0,0,0,0,"5905 SE POWELL VALLEY RD,GRESHAM,OR,97080",45.4882,-122.37,NA,2026-06-01
385018,MT ANGEL HEALTH AND REHABILITATION,540 SOUTH MAIN STREET,MOUNT ANGEL,OR,97362,5038456841,230,Marion,Y,Non profit - Corporation,93,71.9,NA,Medicare and Medicaid,N,REX ROAD HEALTHCARE LLC,1967-01-01,THE ENSIGN GROUP,507,342,3.2,2.9,2.4,4.4,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,3.55132,0.91908,0.84125,1.76034,5.31165,4.79084,0.56479,0.24835,63.4,NA,80.6,NA,0,NA,1.38568,0.99569,2.32189,0.8566,0.67639,3.85488,3.41979,3.54181,0.91662,0.839,5.29743,4.77801,2025-02-14,3,2,1,8,1,0,8,2023-09-22,14,9,7,104,1,0,104,32,0,2,27967,0,2,"540 SOUTH MAIN STREET,MOUNT ANGEL,OR,97362",45.0649,-122.8,NA,2026-06-01
385024,AVAMERE HEALTH SERVICES OF ROGUE VALLEY,625 STEVENS STREET,MEDFORD,OR,97504,5417793551,140,Jackson,Y,For profit - Corporation,91,60.3,NA,Medicare and Medicaid,N,"MEDFORD OPERATIONS, LLC",1967-01-01,AVAMERE,58,29,3.1,2.7,4.1,3.7,N,NA,N,N,N,Both,Yes,2,NA,2,NA,3,NA,2,NA,3,NA,4,NA,NA,NA,3.08786,1.13219,0.33748,1.46966,4.55752,4.12004,0.22919,0.1713,27.6,NA,60,NA,0,NA,1.28376,0.92245,2.1511,0.79359,0.62663,3.57133,3.16824,3.32409,1.2188,0.3633,4.90619,4.43525,2025-08-22,12,12,1,60,1,0,60,2024-04-19,28,21,15,140,1,0,140,80,0,0,0,0,0,"625 STEVENS STREET,MEDFORD,OR,97504",42.3346,-122.87,NA,2026-06-01
385031,AVAMERE CRESTVIEW OF PORTLAND,6530 SW 30TH AVENUE,PORTLAND,OR,97239,5032447533,250,Multnomah,Y,For profit - Corporation,127,63.8,NA,Medicare and Medicaid,N,CRESTVIEW OPERATIONS LLC,1967-01-01,AVAMERE,58,29,3.1,2.7,4.1,3.7,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,2,NA,3,NA,1,NA,4,NA,NA,NA,3.5525,0.846,0.77049,1.61649,5.16899,4.59256,0.59153,0.08122,41,NA,62.5,NA,0,NA,1.25967,0.90514,2.11074,0.77871,0.61488,3.50433,3.10881,3.8974,0.92814,0.84529,5.67083,5.03844,2026-02-13,9,9,0,40,1,0,40,2024-09-13,35,23,16,276,1,0,276,99,NA,0,0,0,0,"6530 SW 30TH AVENUE,PORTLAND,OR,97239",45.4767,-122.71,NA,2026-06-01
385044,MENLO PARK POST ACUTE,745 NE 122ND AVENUE,PORTLAND,OR,97230,5032520241,250,Multnomah,Y,For profit - Corporation,83,71.6,NA,Medicare and Medicaid,N,MENLO PARK SNF HEALTHCARE LLC,1967-01-01,PACS GROUP,690,280,3,2.5,2.4,4.3,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,3,NA,4,NA,4,NA,NA,NA,3.35125,0.81285,0.40718,1.22003,4.57128,4.00495,0.24393,0.01113,39.2,NA,55.6,NA,0,NA,1.11565,0.80166,1.86942,0.68968,0.54458,3.10367,2.75337,4.15123,1.00689,0.50438,5.6625,4.96098,2026-02-13,13,13,0,88,1,0,88,2024-11-08,24,12,12,148,1,0,148,103,2,0,0,0,0,"745 NE 122ND AVENUE,PORTLAND,OR,97230",45.5281,-122.54,NA,2026-06-01
385045,PORTHAVEN POST ACUTE,5330 NE PRESCOTT STREET,PORTLAND,OR,97218,5032886585,250,Multnomah,Y,For profit - Limited Liability company,99,81,NA,Medicare and Medicaid,N,PORTHAVEN SNF HEALTHCARE LLC,1967-01-01,PACS GROUP,690,280,3,2.5,2.4,4.3,N,NA,N,N,N,None,Yes,3,NA,2,NA,5,NA,5,NA,5,NA,4,NA,NA,NA,3.5154,0.88024,0.41793,1.29817,4.81357,4.26533,0.31162,0.0635,46.3,NA,66.7,NA,0,NA,1.30269,0.93605,2.18282,0.8053,0.63588,3.624,3.21497,3.72935,0.93381,0.44337,5.10652,4.52492,2025-12-08,8,7,1,40,1,0,40,2024-08-16,29,12,18,243,1,0,243,90.75,NA,3,43788,0,3,"5330 NE PRESCOTT STREET,PORTLAND,OR,97218",45.5555,-122.61,NA,2026-06-01
385046,HILLSIDE HEIGHTS REHABILITATION CENTER,1201 MCLEAN BLVD.,EUGENE,OR,97405,5416832155,190,Lane,Y,For profit - Limited Liability company,83,56.3,NA,Medicare and Medicaid,N,COLLEGE HILL REHAB CENTER LLC,1967-01-01,VOLARE HEALTH,628,16,1.9,1.6,3,3.4,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,3,NA,4,NA,2,NA,4,NA,NA,NA,3.19292,1.368,0.58207,1.95006,5.14298,4.52992,0.47069,0.05872,44.9,NA,66.7,NA,0,NA,1.31075,0.94184,2.19632,0.81028,0.63981,3.6464,3.23485,3.36643,1.44234,0.6137,5.42246,4.77608,2026-01-30,13,7,6,56,1,0,56,2024-08-30,13,11,3,92,1,0,92,65,NA,0,0,0,0,"1201 MCLEAN BLVD.,EUGENE,OR,97405",44.0262,-123.11,NA,2026-06-01
385049,COLUMBIA BASIN CARE FACILITY,1015 WEBBER STREET,THE DALLES,OR,97058,5412962156,320,Wasco,N,Government - City/county,90,45.7,NA,Medicare and Medicaid,N,"WASCO COUNTY NURSING CARE, INC.",1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,2,NA,1,NA,3,NA,4,NA,NA,NA,3.45712,0.54081,0.86167,1.40249,4.85961,4.45558,0.36506,0.01035,68.9,NA,55.6,NA,1,NA,1.2131,0.87167,2.03269,0.74991,0.59214,3.37475,2.99385,3.9384,0.6161,0.98163,5.53613,5.07585,2026-02-02,8,8,1,148,1,0,148,2024-08-30,16,15,1,88,1,0,88,133,NA,0,0,0,0,"1015 WEBBER STREET,THE DALLES,OR,97058",45.6075,-121.21,NA,2026-06-01
385053,Avamere Rehabilitation Of Eugene,2360 CHAMBERS STREET,EUGENE,OR,97405,5416871310,190,Lane,Y,For profit - Limited Liability company,92,62.3,NA,Medicare and Medicaid,N,"EUGENE REHABILITATION, LLC",1980-11-01,AVAMERE,58,29,3.1,2.7,4.1,3.7,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,3.44072,1.25621,0.35315,1.60936,5.05008,4.5338,0.15798,0.14484,36.1,NA,55.6,NA,4,NA,1.27948,0.91938,2.14393,0.79095,0.62455,3.55943,3.15769,3.71634,1.35684,0.38144,5.45461,4.89698,2026-01-20,14,12,5,72,1,0,72,2024-08-05,36,31,13,256,2,128,384,150,NA,1,36472,1,2,"2360 CHAMBERS STREET,EUGENE,OR,97405",44.0335,-123.12,NA,2026-06-01
