cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,4014341520,030,Providence,Y,Non profit - Corporation,69,68,NA,Medicare and Medicaid,N,HATTIE IDE CHAFFEE NURSING HOME INC,1981-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,4,NA,4,NA,4,NA,5,NA,NA,NA,3.6624,0.44366,1.20335,1.64701,5.30941,4.58065,0.72673,0.07494,35.1,NA,28.6,NA,0,NA,1.26116,0.90621,2.11323,0.77962,0.6156,3.50846,3.11247,4.01325,0.48616,1.31863,5.81803,5.01945,2025-06-20,5,5,0,32,1,0,32,2024-06-17,11,9,3,159,1,0,159,63.75,NA,1,40295,1,2,"200 Wampanoag Trail,East Providence,RI,02915",41.7961,-71.355,NA,2026-06-01
415004,Royal of Westerly Nursing Center,79 Beach Street,Westerly,RI,02891,4015964925,050,Washington,Y,For profit - Partnership,66,60.8,NA,Medicare and Medicaid,N,ROYAL WESTERLY LLC,1967-01-01,ROYAL HEALTH GROUP,457,12,2.8,3,2,3.2,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,3,NA,3,NA,4,NA,3,NA,NA,NA,1.72525,0.6251,0.87399,1.4991,3.22434,2.82747,0.58105,0.05679,35.1,NA,43.8,NA,0,NA,1.39754,1.00421,2.34176,0.86393,0.68217,3.88786,3.44905,1.70603,0.61814,0.86426,3.18843,2.79597,2026-02-19,9,9,0,64,1,0,64,2024-12-05,8,3,5,48,1,0,48,60,NA,1,8647,0,1,"79 Beach Street,Westerly,RI,02891",41.362,-71.829,NA,2026-06-01
415008,Greenwood Operations DBA Greenwood Center,1139 Main Avenue,Warwick,RI,02886,4017396600,010,Kent,Y,For profit - Corporation,130,106.4,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1967-01-01,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,SFF Candidate,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,5,NA,3,NA,4,NA,NA,NA,2.06291,0.66787,0.91121,1.57908,3.64198,3.27955,0.72751999999999994,0.01771,39,NA,39.3,NA,0,NA,1.43808,1.03334,2.40968,0.88899,0.70196,4.00064,3.5491,1.98242,0.64181,0.87566,3.49989,3.15159,2025-03-06,21,11,21,307,1,0,307,2024-03-22,15,13,2,229,1,0,229,287.5,NA,4,225416,0,4,"1139 Main Avenue,Warwick,RI,02886",41.7163,-71.461,NA,2026-06-01
415009,Kent Regency Center,660 Commonwealth Avenue,Warwick,RI,02886,4017394241,010,Kent,Y,For profit - Corporation,153,144.1,NA,Medicare and Medicaid,N,660 COMMONWEALTH AVENUE OPERATIONS LLC,1967-01-03,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA,NA,NA,2.17349,0.31506,1.02415,1.33921,3.5127,3.09575,0.66381,0.067780000000000007,32.1,NA,39.4,NA,0,NA,1.66526,1.19658,2.79035,1.02943,0.81285,4.63264,4.10977,1.80375,0.26146,0.84993,2.91513,2.56912,2025-09-05,4,4,0,24,1,0,24,2024-08-21,10,4,7,80,1,0,80,38,NA,0,0,0,0,"660 Commonwealth Avenue,Warwick,RI,02886",41.7014,-71.48,NA,2026-06-01
415010,Saint Elizabeth Home East Greenwich,1 Saint Elizabeth Way,East Greenwich,RI,02818,4014716060,010,Kent,Y,Non profit - Corporation,168,148.6,NA,Medicare and Medicaid,N,SAINT ELIZABETH HOME EAST GREENWICH,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,Y,N,N,Resident,Yes,3,NA,2,NA,3,NA,2,NA,4,NA,5,NA,NA,NA,3.58861,0.30033,1.09203,1.39236,4.98096,4.48351,0.73954,0.06159,34.9,NA,35.6,NA,0,NA,1.26325,0.90771,2.11673,0.78091,0.61662,3.51427,3.11763,3.92588,0.32856,1.19466,5.44909,4.90488,2025-02-20,4,2,2,32,1,0,32,2024-03-06,16,5,13,263,1,0,263,89.75,NA,2,64230,0,2,"1 Saint Elizabeth Way,East Greenwich,RI,02818",41.6394,-71.472,NA,2026-06-01
415012,Briarcliffe Manor,49 Old Pocasset Road,Johnston,RI,02919,4019442450,030,Providence,Y,For profit - Corporation,122,110.7,NA,Medicare and Medicaid,N,MEDICAL HOMES OF RHODE ISLAND INC,1967-02-06,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,3.19109,0.51989,0.72051,1.2404,4.43149,3.95645,0.5493,0.10132,23.7,NA,12.5,NA,0,NA,1.16852,0.83964,1.95799,0.72235,0.57038,3.25073,2.88383,3.77402,0.61486,0.85213,5.24101,4.67919,2025-02-19,0,0,0,0,0,0,0,2024-02-16,1,1,0,4,1,0,4,1,NA,0,0,0,0,"49 Old Pocasset Road,Johnston,RI,02919",41.8155,-71.515,NA,2026-06-01
415014,Grace Barker Nursing Center,54 Barker Avenue,Warren,RI,02885,4012459100,000,Bristol,Y,For profit - Corporation,86,82.3,NA,Medicare and Medicaid,N,"GRACE BARKER NURSING CENTER, INC.",1967-03-28,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,2,NA,3,NA,4,NA,3,NA,4,NA,1,25,25,6,NA,NA,NA,NA,NA,NA,NA,NA,42.5,NA,25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-02-05,4,4,0,20,1,0,20,2024-02-23,9,3,6,222,1,0,222,70.5,NA,1,114806,0,1,"54 Barker Avenue,Warren,RI,02885",41.7277,-71.264,NA,2026-06-01
415020,Grandview Center,100 Chambers Street,Cumberland,RI,02864,4017247500,030,Providence,Y,For profit - Limited Liability company,72,66,NA,Medicare and Medicaid,N,100 CHAMBERS STREET OPERATIONS LLC,1968-01-02,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,4,NA,3,NA,NA,NA,2.16335,0.25553,1.30797,1.5635,3.72685,3.23819,1.01845,0.04187,35.1,NA,32,NA,1,NA,1.57691,1.13309,2.64231,0.97481,0.76973,4.38685,3.89172,1.89592,0.22394,1.14628,3.26614,2.83789,2025-08-21,6,5,1,44,1,0,44,2024-08-01,13,10,3,76,1,0,76,52,NA,0,0,0,0,"100 Chambers Street,Cumberland,RI,02864",41.9069,-71.397,NA,2026-06-01
415023,Sunny View Nursing Home,83 Corona Street,Warwick,RI,02886,4017379193,010,Kent,Y,For profit - Limited Liability company,57,49.5,NA,Medicare and Medicaid,N,83 CORONA STREET EDEN OPERATIONS LLC,1968-04-02,EDEN HEALTHCARE,191,7,2.9,2.9,3.4,2.7,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,2,NA,4,NA,3,NA,NA,NA,1.98941,0.99684,0.70509,1.70194,3.69134,3.37623,0.60762,0.10697,72.3,NA,71.4,NA,1,NA,1.24675,0.89585,2.08908,0.77071,0.60857000000000006,3.46836,3.0769,2.20519,1.10496,0.78157,4.09172,3.74243,2025-03-12,13,10,3,197,1,0,197,2024-03-25,11,6,5,227,1,0,227,204.5,NA,2,74833,1,3,"83 Corona Street,Warwick,RI,02886",41.7232,-71.459,NA,2026-06-01
415027,"Adviniacare Pawtucket Pleasant Rehab Center, LLC",544 Pleasant Street,Pawtucket,RI,02860,4017258888,030,Providence,Y,For profit - Limited Liability company,129,122.5,NA,Medicare and Medicaid,N,ADVINIACARE PAWTUCKET PLEASANT REHAB CENTER LLC,1969-06-01,ADVINIACARE,16,10,2.3,2.4,2.1,2.9,N,NA,N,N,N,Resident,Yes,2,NA,3,NA,4,NA,4,NA,NA,2,1,NA,NA,NA,2.12535,0.72429,0.30375,1.02804,3.1534,2.9253,0.22256,0.01521,44,NA,64.3,NA,1,NA,1.70161,1.2227,2.85127,1.0519,0.8306,4.73377,4.19949,1.72612,0.58824,0.24669,2.56104,2.37579,2025-08-15,6,5,1,60,1,0,60,2024-07-19,15,8,8,112,1,0,112,73,NA,2,21964,0,2,"544 Pleasant Street,Pawtucket,RI,02860",41.8639,-71.383,NA,2026-06-01
