cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
445002,"NHC HEALTHCARE, OAKWOOD",244 OAKWOOD DR,LEWISBURG,TN,37091,9313593563,580,Marshall,N,For profit - Corporation,60,54.2,NA,Medicare and Medicaid,N,"NHC HEALTHCARE-OAKWOOD, LLC",1973-06-11,NATIONAL HEALTHCARE CORPORATION,364,69,3.9,3.4,3.3,4.5,N,NA,N,N,N,None,Yes,4,NA,3,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,1.7997,0.89038,0.71864,1.60902,3.40872,2.99095,0.58925,0.0272,50,NA,33.3,NA,0,NA,1.2818,0.92104,2.14782,0.79239,0.62568,3.56589,3.16342,1.94034,0.95996,0.7748,3.6751,3.22469,2026-01-22,3,3,0,24,1,0,24,2025-02-14,6,3,3,24,1,0,24,24,NA,0,0,0,0,"244 OAKWOOD DR,LEWISBURG,TN,37091",35.4498,-86.809,NA,2026-06-01
445004,"NHC HEALTHCARE, DICKSON",812 CHARLOTTE ST,DICKSON,TN,37055,6154468046,210,Dickson,Y,For profit - Corporation,191,181.8,NA,Medicare and Medicaid,N,NHC HEALTHCARE-DICKSON LLC,1967-01-01,NATIONAL HEALTHCARE CORPORATION,364,69,3.9,3.4,3.3,4.5,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,4,NA,NA,NA,2.34486,0.86262,0.62966,1.49229,3.83715,3.36311,0.42126,0.08626,44.6,NA,15.4,NA,0,NA,1.3577,0.97558,2.275,0.83931,0.66273,3.77704,3.35074,2.38677,0.87804,0.64092,3.90573,3.42323,2026-04-22,2,2,0,8,1,0,8,2022-01-21,3,3,0,24,1,0,24,12,NA,0,0,0,0,"812 CHARLOTTE ST,DICKSON,TN,37055",36.0849,-87.381,NA,2026-06-01
445008,SISKIN SUBACUTE WEST,1 SISKEN PLAZA,CHATTANOOGA,TN,37403,4238474100,320,Hamilton,Y,Non profit - Corporation,108,35.6,NA,Medicare and Medicaid,Y,SISKIN HOSPITAL FOR PHYSICAL REHABILITATION,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,2,NA,1,NA,5,NA,NA,2,5,NA,5,NA,NA,NA,2.91532,1.26229,1.8233,3.0856,6.00092,5.68342,1.31875,0.32758,16,NA,27.8,NA,1,NA,1.36672,0.98206,2.29012,0.84488,0.66713,3.80213,3.373,2.94785,1.27638,1.84365,6.06787,5.74684,2025-04-16,0,0,0,0,0,0,0,2023-10-29,15,15,0,593,1,0,593,148.25,NA,1,93919,0,1,"1 SISKEN PLAZA,CHATTANOOGA,TN,37403",35.045,-85.296,22,2026-06-01
445013,"NHC HEALTHCARE, CHATTANOOGA",2700 PARKWOOD AVE,CHATTANOOGA,TN,37404,4236241533,320,Hamilton,Y,For profit - Corporation,200,181.8,NA,Medicare and Medicaid,N,NHC HEALTHCARE-CHATTANOOGA LLC,1967-01-01,NATIONAL HEALTHCARE CORPORATION,364,69,3.9,3.4,3.3,4.5,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,5,NA,5,NA,5,NA,1,NA,NA,NA,2.08165,1.0753,0.37575,1.45104,3.53269,3.06408,0.39208,0.07017,57.7,NA,38.9,NA,0,NA,1.495,1.07424,2.50506,0.92418,0.72975,4.15899,3.68958,1.92427,0.994,0.34734,3.26561,2.83242,2024-10-16,4,4,0,16,1,0,16,2022-01-12,6,6,0,44,1,0,44,23,NA,0,0,0,0,"2700 PARKWOOD AVE,CHATTANOOGA,TN,37404",35.0397,-85.26,NA,2026-06-01
445017,ASBURY PLACE AT MARYVILLE,936 EPWORTH ROAD,MARYVILLE,TN,37804,8659841660,040,Blount,Y,For profit - Limited Liability company,181,102.4,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1967-01-01,ASBURY COMMUNITIES,47,7,4.4,4,4,4.7,N,NA,Y,N,N,Both,Yes,1,NA,2,NA,4,NA,5,NA,3,NA,1,NA,NA,NA,2.00713,0.93044,0.4761,1.40654,3.41368,3.11718,0.39489,0.03491,68.6,NA,63.2,NA,1,NA,1.60186,1.15102,2.68411,0.99024,0.78191,4.45625,3.95329,1.73162,0.80272,0.41075,2.94509,2.68929,2026-01-14,8,7,1,64,1,0,64,2022-09-14,13,11,2,64,1,0,64,64,NA,0,0,0,0,"936 EPWORTH ROAD,MARYVILLE,TN,37804",35.7657,-83.925,NA,2026-06-01
445024,"NHC HEALTHCARE, JOHNSON CITY",3209 BRISTOL HWY,JOHNSON CITY,TN,37601,4232823311,890,Washington,Y,For profit - Limited Liability company,167,156.3,NA,Medicare and Medicaid,N,NHC HEALTHCARE-JOHNSON CITY LLC,1967-01-01,NATIONAL HEALTHCARE CORPORATION,364,69,3.9,3.4,3.3,4.5,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.38628,0.95516,0.47217,1.42733,3.81361,3.29602,0.22662,0.08882,29.4,NA,36.8,NA,0,NA,1.55722,1.11894,2.60931,0.96264,0.76012,4.33207,3.84312,2.11774,0.84767,0.41903,3.38444,2.9251,2026-01-07,0,0,0,0,0,0,0,2022-05-11,1,1,0,4,1,0,4,1,NA,0,0,0,0,"3209 BRISTOL HWY,JOHNSON CITY,TN,37601",36.3651,-82.381,NA,2026-06-01
445030,NHC-MAURY REGIONAL TRANSITIONAL CARE CENTER,5010 TROTWOOD AVE,COLUMBIA,TN,38401,9313986300,590,Maury,Y,For profit - Corporation,112,100.7,NA,Medicare,N,NHC-MAURY REGIONAL TRANSITIONAL CARE CENTER LLC,1967-02-02,NATIONAL HEALTHCARE CORPORATION,364,69,3.9,3.4,3.3,4.5,N,NA,N,Y,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.20457,1.49817,0.58502,2.08319,4.28776,3.82097,0.34618,0.206,52.6,NA,23.1,NA,0,NA,1.51945,1.0918,2.54602,0.93929,0.74168,4.22699,3.74991,2.00511,1.36262,0.53209,3.89983,3.47526,2023-09-15,0,0,0,0,0,0,0,2019-06-05,3,3,0,12,1,0,12,3,NA,0,0,0,0,"5010 TROTWOOD AVE,COLUMBIA,TN,38401",35.5902,-87.097,NA,2026-06-01
445069,"NHC HEALTHCARE, MILAN",8017 DOGWOOD LANE,MILAN,TN,38358,7316868373,260,Gibson,Y,For profit - Limited Liability company,117,97.8,NA,Medicare and Medicaid,N,NHC HEALTHCARE-MILAN LLC,1986-12-31,NATIONAL HEALTHCARE CORPORATION,364,69,3.9,3.4,3.3,4.5,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.16196,0.63467,0.89632,1.53099,3.69295,3.35434,0.62219,0.0222,56.3,NA,40,NA,0,NA,1.4854,1.06734,2.48897,0.91824,0.72506,4.13227,3.66588,2.01143,0.59048,0.83391,3.43582,3.12078,2025-08-27,7,7,0,32,1,0,32,2021-06-30,5,3,2,28,1,0,28,31,NA,0,0,0,0,"8017 DOGWOOD LANE,MILAN,TN,38358",35.8989,-88.756,NA,2026-06-01
445071,CLAIBORNE HEALTH AND REHABILITATION CENTER,1850 OLD KNOXVILLE ROAD,TAZEWELL,TN,37879,4235262348,120,Claiborne,N,Non profit - Corporation,100,63.5,NA,Medicare and Medicaid,Y,CLAIBORNE MEDICAL CENTER,1968-12-22,COVENANT HEALTH,167,11,3,2.8,4.3,2.8,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,3,NA,5,NA,1,NA,4,NA,NA,NA,2.65187,0.74068,1.26404,2.00471,4.65659,4.01469,1.00224,0.04807,NA,26,NA,26,1,NA,1.27206,0.91404,2.13149,0.78636,0.62092,3.53877,3.13936,2.88102,0.80468,1.37326,5.05896,4.3616,2025-11-20,8,5,3,32,1,0,32,2023-08-09,3,3,0,12,1,0,12,27,NA,0,0,0,0,"1850 OLD KNOXVILLE ROAD,TAZEWELL,TN,37879",36.4538,-83.573,NA,2026-06-01
445076,"NHC HEALTHCARE, MCMINNVILLE",928 OLD SMITHVILLE RD PO BOX 528,MCMINNVILLE,TN,37110,9314738431,880,Warren,N,For profit - Limited Liability company,115,108.9,NA,Medicare and Medicaid,N,NHC HEALTHCARE-MCMINNVILLE LLC,1969-09-04,NATIONAL HEALTHCARE CORPORATION,364,69,3.9,3.4,3.3,4.5,N,NA,N,Y,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.26884,0.96926,0.61493,1.58419,3.85303,3.55473,0.38629,0.0902,37.7,NA,26.7,NA,2,NA,1.41941,1.01992,2.37839,0.87745,0.69285,3.94869,3.50301,2.20901,0.9437,0.59871,3.75142,3.46098,2023-12-13,2,2,0,20,1,0,20,2020-02-05,1,1,0,16,1,0,16,19,NA,0,0,0,0,"928 OLD SMITHVILLE RD PO BOX 528,MCMINNVILLE,TN,37110",35.6836,-85.776,22,2026-06-01
