cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
475003,Birchwood Terrace Rehab & Healthcare,43 Starr Farm Rd,Burlington,VT,05408,8028636384,030,Chittenden,Y,For profit - Individual,160,137.4,NA,Medicare and Medicaid,N,BIRCHWOOD OPERATIONS LLC,1969-01-01,STELLAR HEALTH GROUP,694,7,2.6,2.6,2.9,3.1,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,3,NA,2,NA,4,NA,2,NA,NA,NA,2.09411,1.21503,0.38814,1.60316,3.69727,3.16784,0.15644,0.1104,60.2,NA,43.8,NA,NA,26,1.36571,0.98134,2.28842,0.84425,0.66664,3.79931,3.3705,2.11904,1.22949,0.39276,3.7413,3.20556,2025-08-20,2,2,0,24,1,0,24,2024-09-03,13,11,2,238,1,0,238,77.5,NA,1,127834,0,1,"43 Starr Farm Rd,Burlington,VT,05408",44.5162,-73.26,NA,2026-06-01
475008,Vernon Green Nursing Home,61 Greenway Drive,Vernon,VT,05354,8022546041,120,Windham,N,Non profit - Corporation,60,54.3,NA,Medicare and Medicaid,N,"VERNON ADVENT CHRISTIAN HOME, INC.",1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,Y,N,N,Resident,Yes,3,NA,2,NA,2,NA,2,NA,NA,2,5,NA,NA,NA,3.14491,0.66581,0.76693,1.43274,4.57765,4.15418,0.68082,0.01742,39.7,NA,36.4,NA,0,NA,1.18718,0.85305,1.98927,0.73389,0.57949,3.30265,2.9299,3.66093,0.77505,0.89277,5.32875,4.83579,2026-01-14,12,12,1,84,1,0,84,2024-10-30,11,6,5,48,1,0,48,75,NA,1,87896,1,2,"61 Greenway Drive,Vernon,VT,05354",42.7628,-72.508,NA,2026-06-01
475012,Mountain View Center Genesis Healthcare,9 Haywood Avenue,Rutland,VT,05701,8027750007,100,Rutland,N,For profit - Limited Liability company,158,130.6,NA,Medicare and Medicaid,N,NINE HAYWOOD AVENUE OPERATIONS LLC,1970-06-01,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,NA,N,Y,N,Both,Yes,3,NA,2,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,1.90764,0.99826,0.76489,1.76315,3.67079,3.26477,0.50446,0.08767,46.7,NA,30,NA,0,NA,1.4549,1.04542,2.43787,0.89939,0.71017,4.04743,3.59061,1.81202,0.94822,0.72655,3.48679,3.10113,2024-04-11,17,13,6,148,1,0,148,2023-04-05,10,8,2,80,1,0,80,131,NA,1,9620,0,1,"9 Haywood Avenue,Rutland,VT,05701",43.5939,-72.961,NA,2026-06-01
475014,Premier Rehab and Healthcare at Burlington,300 Pearl Street,Burlington,VT,05401,8026584200,030,Chittenden,Y,For profit - Limited Liability company,164,114.7,NA,Medicare and Medicaid,N,300 PEARL STREET OPCO LLC,1970-02-11,STELLAR HEALTH GROUP,694,7,2.6,2.6,2.9,3.1,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,4,NA,4,NA,2,NA,NA,NA,2.46783,1.0794,0.62744,1.70684,4.17467,3.77658,0.43033,0.1629,79.1,NA,55.6,NA,3,NA,1.53138,1.10038,2.56602,0.94667,0.74751,4.2602,3.77937,2.22706,0.97409,0.56622,3.76737,3.40811,2025-12-17,10,8,4,96,1,0,96,2024-12-04,21,8,17,196,1,0,196,121,NA,3,136184,0,3,"300 Pearl Street,Burlington,VT,05401",44.4806,-73.207,NA,2026-06-01
475017,Helen Porter Healthcare & Rehab,30 Porter Drive,Middlebury,VT,05753,8023884001,000,Addison,N,Non profit - Corporation,98,93.9,NA,Medicare and Medicaid,N,"HELEN PORTER NURSING HOME, INC.",1970-06-26,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,3,NA,2,NA,4,NA,4,NA,NA,NA,2.36797,0.78045,0.88423,1.66469,4.03265,3.41783,0.36832,0.20519,40,NA,42.3,NA,NA,26,1.26787,0.91103,2.12447,0.78377,0.61888,3.52712,3.12903,2.58108,0.85069,0.96380999999999994,4.39558,3.72543,2025-08-27,5,4,1,32,1,0,32,2024-06-05,4,4,0,36,1,0,36,33,NA,0,0,0,0,"30 Porter Drive,Middlebury,VT,05753",43.9994,-73.17,NA,2026-06-01
475018,The Pines at Rutland Center for Nursing & Rehabili,99 Allen Street,Rutland,VT,05701,8027752331,100,Rutland,N,For profit - Partnership,125,110.8,NA,Medicare and Medicaid,N,RUTLAND CROSSINGS LLC,1971-09-10,NATIONAL HEALTH CARE ASSOCIATES,363,43,3.2,2.8,3,4.3,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA,NA,NA,2.16353,0.83711,0.88553,1.72264,3.88617,3.25347,0.51319,0.0735,52,NA,26.1,NA,1,NA,1.54283,1.10861,2.58521,0.95375,0.75309,4.29205,3.80762,1.93795,0.74983,0.7932,3.48099,2.91426,2025-12-17,6,6,0,24,1,0,24,2024-09-18,7,6,2,52,1,0,52,31,NA,1,8512,0,1,"99 Allen Street,Rutland,VT,05701",43.598,-72.961,NA,2026-06-01
475019,St. Johnsbury Health & Rehab,1248 Hospital Drive,Saint Johnsbury,VT,05819,8027488757,020,Caledonia,N,For profit - Limited Liability company,99,65.5,NA,Medicare and Medicaid,N,1248 HOSPITAL DRIVE OPCO LLC,1971-10-04,ALLAIRE HEALTH SERVICES,21,20,2.7,2.3,2.8,4.2,N,SFF Candidate,Y,N,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,4,NA,2,NA,NA,NA,2.62374,1.35972,0.66383,2.02355,4.64728,4.16768,0.55534,0.13597,78.4,NA,72.2,NA,1,NA,1.57319,1.13042,2.63607,0.97251,0.76791,4.37649,3.88253,2.30483,1.19445,0.58314,4.08243,3.66112,2026-01-28,25,8,17,529,1,0,529,2024-12-11,36,7,29,417,1,0,417,501,NA,2,314323,2,4,"1248 Hospital Drive,Saint Johnsbury,VT,05819",44.4453,-72.012,NA,2026-06-01
475020,Premier Rehab and Healthcare at Berlin,98 Hospitality Drive,Barre,VT,05641,8022290308,110,Washington,N,For profit - Limited Liability company,115,76,NA,Medicare and Medicaid,N,BERLIN OPERATIONS LLC,1979-08-01,STELLAR HEALTH GROUP,694,7,2.6,2.6,2.9,3.1,N,NA,N,N,N,Both,Yes,1,NA,2,NA,1,NA,2,NA,1,NA,2,NA,NA,NA,2.22566,1.10735,0.5645,1.67185,3.89751,3.11327,0.23095,0.21162,81.3,NA,78.9,NA,2,NA,1.38458,0.99489,2.32004,0.85592,0.67585,3.8518,3.41706,2.22147,1.10526,0.56344,3.89017,3.10741,2026-02-04,2,2,0,20,1,0,20,2025-08-06,52,5,48,495,1,0,495,138.75,NA,3,307847,0,3,"98 Hospitality Drive,Barre,VT,05641",44.2174,-72.555,NA,2026-06-01
475021,Saint Albans Healthcare and Rehabilitation Center,596 Sheldon Road,Saint Albans,VT,05478,8025246534,050,Franklin,Y,For profit - Corporation,115,83.3,NA,Medicare and Medicaid,N,FIVE NINETY SIX SHELDON ROAD OPERATIONS LLC,1972-05-16,GENESIS HEALTHCARE,237,187,2.4,2.3,2.5,3.6,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,2,NA,3,NA,4,NA,NA,NA,1.94278,0.76952,0.80571,1.57523,3.51801,3.17491,0.69479,0.12344,50.6,NA,7.1,NA,0,NA,1.38723,0.9968,2.32449,0.85756,0.67714,3.85919,3.42362,1.93541,0.7666,0.80266,3.50466,3.16287,2026-02-25,4,1,3,162,1,0,162,2025-01-28,11,6,5,92,1,0,92,144.5,NA,2,148714,0,2,"596 Sheldon Road,Saint Albans,VT,05478",44.8271,-73.069,NA,2026-06-01
475023,Pine Heights at Brattleboro Center for Nursing & R,187 Oak Grove Avenue,Brattleboro,VT,05301,8022570307,120,Windham,N,For profit - Corporation,80,78.5,NA,Medicare and Medicaid,N,BRATTLEBORO CROSSINGS LLC,1972-06-19,NATIONAL HEALTH CARE ASSOCIATES,363,43,3.2,2.8,3,4.3,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.23221,0.82269,0.66097,1.48366,3.71587,3.41052,0.44641,0.07453,33.3,NA,33.3,NA,0,NA,1.51869,1.09126,2.54475,0.93882,0.74131,4.22488,3.74804,2.03126,0.74863,0.60147,3.38136,3.1035,2025-09-17,6,6,0,44,1,0,44,2024-09-11,4,4,1,24,1,0,24,39,NA,0,0,0,0,"187 Oak Grove Avenue,Brattleboro,VT,05301",42.8421,-72.563,NA,2026-06-01
