cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,5403444325,801,Roanoke City,Y,For profit - Corporation,98,88.1,NA,Medicare and Medicaid,N,SOUTH ROANOKE LIFE CARE LLC,1967-01-01,HERITAGE HALL,265,16,3.8,3.6,2.3,3.8,N,NA,N,N,N,Both,Yes,3,NA,2,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,1.9061,0.78607,0.45308,1.23915,3.14525,2.84245,0.32056,0.05866,42.3,NA,10,NA,0,NA,1.29635,0.93149,2.17219,0.80138,0.63278,3.60635,3.19931,2.032,0.83799,0.48301,3.353,3.03019,2025-04-24,11,11,0,80,1,0,80,2022-03-24,14,14,0,104,1,0,104,86,NA,0,0,0,0,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",37.2335,-79.972,NA,2026-06-01
495011,GEORGE WASHINGTON HEALTH & REHABILITATION,1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,7037656107,290,Fairfax,Y,For profit - Limited Liability company,96,85.2,NA,Medicare and Medicaid,N,ALEXANDRIA SNF OPERATIONS LLC,1967-01-01,HILL VALLEY HEALTHCARE,270,44,1.9,1.8,1.8,3.9,N,NA,N,Y,N,Resident,Yes,3,NA,3,NA,5,NA,5,NA,4,NA,1,NA,NA,NA,1.90253,1.10377,0.35572,1.45949,3.36202,3.04844,0.21649,0.09831,33.8,NA,72.7,NA,1,NA,1.45166,1.0431,2.43244,0.89739,0.70859,4.03842,3.58262,1.8112,1.05078,0.33864,3.20062,2.9021,2023-06-14,11,11,1,64,1,0,64,2022-01-20,22,11,11,100,1,0,100,73,NA,0,0,0,0,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",38.734,-77.058,NA,2026-06-01
495013,RICHFIELD HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,5403804500,838,Salem City,Y,Non profit - Corporation,112,101.6,NA,Medicare and Medicaid,N,FRIENDSHIP RL LLC,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,Y,N,Resident,Yes,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,2.42219,1.19391,0.63024,1.82415,4.24635,3.62733,0.36191,0.10994,49.6,NA,56.3,NA,1,NA,1.34908,0.96939,2.26056,0.83398,0.65852,3.75306,3.32946,2.48124,1.22302,0.6456,4.34987,3.71576,2024-05-15,10,10,0,40,1,0,40,2023-02-08,11,7,4,68,1,0,68,47,NA,1,15465,0,1,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",37.2799,-80.128,NA,2026-06-01
495015,ROMAN EAGLE REHABILITATION AND HEALTH CARE CENTER,2526 NORTH MAIN STREET,DANVILLE,VA,24540,4348369510,241,Danville City,N,Non profit - Corporation,312,207.1,NA,Medicare and Medicaid,N,ROMAN EAGLE REHABILITATION AND HEALTH CARE CENTER INC,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,Y,N,Resident,Yes,4,NA,4,NA,2,NA,1,NA,2,NA,4,NA,NA,NA,2.6083,1.15063,0.66732,1.81795,4.42625,4.15105,0.39221,0.02459,40.4,NA,17.6,NA,NA,26,1.34591,0.96711,2.25525,0.83202,0.65697,3.74424,3.32164,2.67818,1.18145,0.6852,4.54483,4.26226,2023-03-08,6,6,0,28,1,0,28,2021-12-02,4,4,0,16,1,0,16,25,NA,0,0,0,0,"2526 NORTH MAIN STREET,DANVILLE,VA,24540",36.6204,-79.383,NA,2026-06-01
495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,7038368838,011,Alexandria City,Y,For profit - Limited Liability company,307,285.7,NA,Medicare and Medicaid,N,WOODBINE OPERATOR LLC,1967-01-01,MARQUIS HEALTH SERVICES,336,88,3,2.5,2.5,4.3,N,NA,N,Y,N,Both,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,1.97455,1.1096,0.93829,2.04789,4.02244,3.62483,0.61225,0.0402,27.3,NA,32.2,NA,1,NA,2.03705,1.46373,3.41333,1.25926,0.99433,5.66692,5.02732,1.33957,0.75277,0.63656,2.7289,2.45916,2023-05-05,2,2,0,8,1,0,8,2022-02-24,17,17,0,88,1,0,88,28,NA,0,0,0,0,"2729 KING ST,ALEXANDRIA,VA,22302",38.8156,-77.073,NA,2026-06-01
495034,KENDAL AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,5404631910,522,Lexington City,N,Non profit - Corporation,60,40.6,NA,Medicare and Medicaid,N,"LEXINGTON RETIREMENT COMMUNITY, INC",1967-01-01,KENDAL,653,7,4.4,3.9,4.7,3.7,Y,NA,N,Y,N,Resident,Yes,3,NA,2,NA,4,NA,2,NA,5,NA,5,NA,NA,NA,2.7521,0.61591,1.17746,1.79337,4.54548,4.07973,0.8043,0.05619,34.1,NA,28.6,NA,0,NA,1.21242,0.87119,2.03156,0.74949,0.59181,3.37287,2.99219,3.13697,0.70204,1.34213,5.18114,4.65026,2024-04-24,15,15,0,96,2,48,144,2021-11-17,4,4,0,16,1,0,16,112,NA,1,10033,0,1,"160 KENDAL DRIVE,LEXINGTON,VA,24450",37.7811,-79.46,NA,2026-06-01
495038,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,7032579770,563,Manassas City,Y,For profit - Corporation,120,114.1,NA,Medicare and Medicaid,N,MANASSAS HEALTH CARE LLC,1979-03-01,COMMONWEALTH CARE OF ROANOKE,152,12,3.7,3.3,2.6,4.4,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,4,NA,4,NA,NA,NA,1.94256,1.1383,0.49805,1.63635,3.57891,3.18409,0.25775,0.02493,29.9,NA,38.9,NA,1,NA,1.25756,0.90362,2.1072,0.7774,0.61384,3.49844,3.10358,2.13475,1.25092,0.54732,3.93299,3.4991,2026-01-22,9,9,1,60,1,0,60,2022-03-10,11,5,6,84,1,0,84,66,NA,2,16376,0,2,"8575 RIXLEW LANE,MANASSAS,VA,20109",38.7685,-77.506,NA,2026-06-01
495045,LAKESIDE HEALTH & REHABILITATION,2125 HILLIARD ROAD,RICHMOND,VA,23228,8042669666,430,Henrico,Y,For profit - Limited Liability company,194,180.5,NA,Medicare and Medicaid,N,LAKESIDE VA SNF OPERATIONS LLC,1967-05-15,HILL VALLEY HEALTHCARE,270,44,1.9,1.8,1.8,3.9,N,NA,N,Y,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,5,NA,2,NA,NA,NA,1.76907,0.97238,0.41775,1.39013,3.1592,2.82603,0.17419,0.05715,48.6,NA,52.2,NA,1,NA,1.42081,1.02092,2.38074,0.87831,0.69353,3.95258,3.50647,1.72072,0.94581,0.40633,3.07285,2.74879,2024-02-28,15,15,15,80,1,0,80,2022-05-23,33,27,6,244,2,122,366,151.5,NA,0,0,0,0,"2125 HILLIARD ROAD,RICHMOND,VA,23228",37.6168,-77.472,NA,2026-06-01
495046,OAKWOOD HEALTH AND REHAB CENTER,1613 OAKWOOD STREET,BEDFORD,VA,24523,5404257800,088,Bedford,Y,For profit - Corporation,111,101.7,NA,Medicare and Medicaid,N,BEDFORD SNF OPERATIONS LLC,1967-05-01,HILL VALLEY HEALTHCARE,270,44,1.9,1.8,1.8,3.9,N,NA,N,Y,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,4,NA,2,NA,NA,NA,1.85683,0.93345,0.7026,1.63605,3.49287,3.17021,0.5194,0.08688,59.2,NA,44.4,NA,0,NA,1.47675,1.06113,2.47449,0.9129,0.72084,4.10822,3.64454,1.73765,0.87354,0.6575,3.2687,2.96674,2023-07-26,9,7,2,48,1,0,48,2022-05-19,29,24,5,382,2,191,573,179.25,NA,2,15593,0,2,"1613 OAKWOOD STREET,BEDFORD,VA,24523",37.3523,-79.516,NA,2026-06-01
495057,GOODWIN HOUSE ALEXANDRIA,4800 FILLMORE AVE,ALEXANDRIA,VA,22311,7038241192,011,Alexandria City,Y,Non profit - Church related,80,76.6,NA,Medicare and Medicaid,N,GOODWIN HOUSE INCORPORATED,1968-07-03,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,Y,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,3.21733,0.97253,1.07022,2.04276,5.26009,4.9882,0.77409,0.11874,13.6,NA,5.6,NA,0,NA,1.19509,0.85874,2.00253,0.73878,0.58335,3.32467,2.94943,3.72043,1.12461,1.23758,6.08262,5.76821,2023-04-05,4,4,0,36,1,0,36,2021-10-14,1,1,0,8,1,0,8,29,NA,0,0,0,0,"4800 FILLMORE AVE,ALEXANDRIA,VA,22311",38.8365,-77.113,NA,2026-06-01
