cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
505004,AVAMERE REHABILITATION OF ISSAQUAH,805 FRONT STREET,ISSAQUAH,WA,98027,4253921271,160,King,For profit - Limited Liability company,140,82.8,NA,Medicare and Medicaid,N,ISSAQUAH OPERATIONS LLC,1967-01-01,AVAMERE,58,33,2.6,2.4,3.6,3.5,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,2,NA,5,NA,2,NA,NA,NA,2.66465,1.24594,0.54905,1.79499,4.45965,3.82264,0.32148,0.09922,54.6,NA,53.3,NA,1,NA,1.71047,1.23814,2.85153,1.0749,0.83913,4.76557,4.21463,2.14034,1.00078,0.44102,3.58215,3.07048,2025-03-27,12,12,1,56,1,0,56,2024-02-06,36,30,9,327,1,0,327,123.75,6,3,0,2,70648.75,0,2,"805 FRONT STREET,ISSAQUAH,WA,98027",47.5385,-122.04,NA,2025-07-01
505009,AVAMERE REHABILITATION OF SHORELINE,1250 NORTHEAST 145TH STREET,SEATTLE,WA,98155,2063635856,160,King,For profit - Limited Liability company,115,65.3,NA,Medicare and Medicaid,N,SHORELINE OPERATIONS LLC,1967-01-01,AVAMERE,58,33,2.6,2.4,3.6,3.5,N,NA,N,N,N,Resident,Yes,3,NA,2,NA,5,NA,5,NA,5,NA,4,NA,NA,NA,2.38811,0.92789,0.64613,1.57403,3.96214,3.41993,0.43313,0.13311,25.4,NA,41.7,NA,4,NA,1.38753,1.00438,2.31317,0.87196,0.6807,3.86583,3.41891,2.36466,0.91878,0.63979,3.92323,3.38635,2024-03-19,28,21,7,128,1,0,128,2022-12-22,24,16,8,136,1,0,136,130,7,3,NA,2,29185,1,3,"1250 NORTHEAST 145TH STREET,SEATTLE,WA,98155",47.734,-122.31,NA,2025-07-01
505010,GARDEN VILLAGE,206 SOUTH TENTH AVENUE,YAKIMA,WA,98902,5094534854,380,Yakima,Non profit - Corporation,101,82.2,NA,Medicare and Medicaid,N,GARDEN VILLAGE,1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2.78192,0.906,0.5221,1.4281,4.21002,3.57859,0.29753,0.01257,NA,26,NA,26,NA,26,1.26386,0.91486,2.10699,0.79424,0.62003,3.52126,3.11417,3.02416,0.98489,0.56756,4.57661,3.8902,2024-10-29,28,25,13,263,1,0,263,2023-08-31,25,16,13,293,1,0,293,270.5,16,25,2,3,102165.95,1,4,"206 SOUTH TENTH AVENUE,YAKIMA,WA,98902",46.5957,-120.52,NA,2025-07-01
505016,GRAYS HARBOR HEALTH & REHABILITATION CENTER,920 ANDERSON DRIVE,ABERDEEN,WA,98520,3605325122,130,Grays Harbor,For profit - Corporation,105,64.2,NA,Medicare and Medicaid,N,"AVALON CARE CENTER - ABERDEEN, LLC",1967-01-01,AVALON HEALTH CARE,57,15,3.1,2.8,3.8,3.8,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,4,NA,5,NA,4,NA,3,NA,NA,NA,2.70496,1.2177,0.41444,1.63214,4.3371,3.9982,0.22489,0.01929,50.6,NA,44.4,NA,1,NA,1.38081,0.99952,2.30196,0.86774,0.67741,3.84711,3.40235,2.69144,1.21161,0.41236,4.31542,3.97821,2025-03-19,6,6,0,24,1,0,24,2024-02-23,8,4,6,48,1,0,48,30,1,5,0,1,8190,0,1,"920 ANDERSON DRIVE,ABERDEEN,WA,98520",46.979,-123.85,NA,2025-07-01
505017,WASHINGTON CARE CENTER,2821 SOUTH WALDEN STREET,SEATTLE,WA,98144,2067252800,160,King,For profit - Limited Liability company,165,129.7,NA,Medicare and Medicaid,N,WCC OPERATOR LLC,1978-07-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,5,NA,2,NA,4,NA,NA,NA,2.35058,0.80802,0.74497,1.55298,3.90356,3.57706,0.68338,0.00591,44.4,NA,46.7,NA,2,NA,1.2892,0.93321,2.14924,0.81017,0.63246,3.59187,3.1766200000000002,2.50502,0.86111,0.79392,4.16004,3.81208,2024-08-21,15,14,1,100,1,0,100,2023-06-14,34,26,8,410,1,0,410,177.5,2,9,0,5,401060.71,0,5,"2821 SOUTH WALDEN STREET,SEATTLE,WA,98144",47.5722,-122.3,NA,2025-07-01
505024,SPOKANE FALLS CARE,6021 NORTH LIDGERWOOD,SPOKANE,WA,99207,5094893323,310,Spokane,For profit - Corporation,100,71.3,NA,Medicare and Medicaid,N,"FRANKLIN HILLS HEALTH - SPOKANE, LLC",1967-01-01,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,2,NA,4,NA,1,NA,2,NA,NA,NA,2.63726,1.08105,0.36217,1.44322,4.08048,3.64322,0.31087,0.08214,74.5,NA,90,NA,2,NA,1.3045,0.94428,2.17475,0.81978,0.63997,3.6345,3.21432,2.77758,1.13857,0.38143,4.29758,3.83705,2024-12-17,47,31,45,288,1,0,288,2023-08-03,41,18,28,292,1,0,292,289,17,48,0,3,184089.75,0,3,"6021 NORTH LIDGERWOOD,SPOKANE,WA,99207",47.7115,-117.41,NA,2025-07-01
505027,"HEARTHSTONE, THE",6720 EAST GREEN LAKE WAY NORTH,SEATTLE,WA,98103,2065259666,160,King,Non profit - Corporation,40,14.6,NA,Medicare and Medicaid,N,LUTHERAN RETIREMENT HOME OF GREATER SEATTLE INC,1981-08-18,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,N,N,Resident,Yes,4,NA,4,NA,5,NA,5,NA,5,NA,1,25,25,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-09,11,11,0,76,1,0,76,2022-10-31,10,10,0,56,1,0,56,71,0,0,NA,0,0,0,0,"6720 EAST GREEN LAKE WAY NORTH,SEATTLE,WA,98103",47.6783,-122.33,NA,2025-07-01
505033,ROCKWOOD SOUTH HILL,EAST 2903 25TH AVENUE,SPOKANE,WA,99223,5095366650,310,Spokane,Non profit - Church related,45,29.6,NA,Medicare,N,SPOKANE UNITED METHODIST HOMES,1967-01-01,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,N,N,Both,Yes,2,NA,3,NA,2,NA,1,NA,2,NA,1,25,25,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-12-09,21,21,0,104,1,0,104,2023-08-03,13,11,2,72,1,0,72,96,1,1,1,0,0,0,0,"EAST 2903 25TH AVENUE,SPOKANE,WA,99223",47.6844,-117.41,NA,2025-07-01
505042,BALLARD  CENTER,820 NORTHWEST 95TH STREET,SEATTLE,WA,98117,2067820100,160,King,For profit - Limited Liability company,142,102.7,NA,Medicare and Medicaid,N,820 NW 95TH STREET OPERATIONS LLC,1967-01-01,GENESIS HEALTHCARE,237,215,2.3,2.3,2.5,3.2,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,5,NA,1,NA,4,NA,NA,NA,1.8367,0.64908,1.00523,1.65431,3.49101,3.38022,0.73282,0.04627,51.3,NA,40,NA,1,NA,1.13739,0.82331,1.89615,0.71477,0.55799,3.16891,2.80256,2.21864,0.78405,1.21426,4.21695,4.08313,2025-01-08,26,19,9,128,1,0,128,2023-09-13,21,17,5,241,1,0,241,156.25,6,8,NA,1,91400.94,2,3,"820 NORTHWEST 95TH STREET,SEATTLE,WA,98117",47.6979,-122.37,NA,2025-07-01
505059,PANORAMA CITY CONV & REHAB CTR,1600 SLEATER KINNEY ROAD SE,LACEY,WA,98503,3604560111,330,Thurston,Non profit - Corporation,155,114.4,NA,Medicare and Medicaid,N,PANORAMA,1967-01-01,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,3.31799,1.01229,0.84467,1.85696,5.17495,4.3284,0.48445,0.04376,29.2,NA,11.8,NA,0,NA,1.56704,1.13432,2.61242,0.98477,0.76877,4.36596,3.86122,2.90906,0.88753,0.74057,4.53716,3.79495,2024-10-15,8,5,3,56,1,0,56,2023-11-13,12,8,4,92,1,0,92,65,3,2,0,1,7442.5,0,1,"1600 SLEATER KINNEY ROAD SE,LACEY,WA,98503",47.0314,-122.83,NA,2025-07-01
