NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,Operator
ANC24FA092,ACC,2024-09-14T09:30:00Z,Wasilla,Alaska,United States,N1202Y,Fatal,1,0,0,0,0,JON BERGSTEDT,JP FLYER,NA
DCA24FA300,INC,2024-09-12T04:00:00Z,Nashville,Tennessee,United States,"N919AK, N225WN",None,0,0,0,0,0,"BOEING, BOEING","737-9, 737-7H4","ALASKA AIRLINES INC,SOUTHWEST AIRLINES CO"
CEN24LA352,ACC,2024-09-11T16:00:00Z,Clarksdale,Mississippi,United States,N91ZS,None,0,0,0,34.296884,-90.511017,Just Aircraft,Highlander,NA
CEN24LA351,ACC,2024-09-11T10:46:00Z,Schaumburg,Illinois,United States,N1429T,None,0,0,0,0,0,PIPER,PA-28-140,NA
CEN24LA350,ACC,2024-09-11T09:40:00Z,Meridian,Colorado,United States,N20747,Minor,0,0,2,0,0,CESSNA,172,ATP Flight School
ERA24LA378,ACC,2024-09-10T16:12:00Z,Stratford,Connecticut,United States,N371WB,None,0,0,0,41.163481,-73.126176,BRANDT STIRLING D,WAIEX-B,NA
CEN24FA346,ACC,2024-09-10T13:45:00Z,Sulphur Springs,Indiana,United States,N966DP,NA,0,0,0,0,0,SONEX AIRCRAFT,SONEX,NA
CEN24LA348,ACC,2024-09-10T11:00:00Z,Amarillo,Texas,United States,N6931T,NA,0,0,0,0,0,BEECH,A36,NA
ERA24LA375,ACC,2024-09-10T09:43:00Z,Hickory Valley,Tennessee,United States,N802JF,None,0,0,0,0,0,AIR TRACTOR INC,AT-802,MILES FLYING SERVICE INC
CEN24LA344,ACC,2024-09-08T15:33:00Z,Rifle,Colorado,United States,N36008,Serious,0,1,0,0,0,BELLANCA,7GCAA,NA
CEN24LA341,ACC,2024-09-07T10:30:00Z,Trojan,South Dakota,United States,N95078,None,0,0,0,0,0,TAYLORCRAFT,BC12-D,NA
ANC24FA089,ACC,2024-09-07T09:24:00Z,King Salmon,Alaska,United States,N306FW,Fatal,1,0,4,58.658754,-156.6469,BELL,206B,EGLI AIR HAUL INC
WPR24FA298,ACC,2024-09-06T12:59:00Z,Yacolt,Washington,United States,N53466,Fatal,1,1,0,0,0,BOEING,A75L3,NA
WPR24FA295,ACC,2024-09-06T12:36:00Z,Hawthorne,California,United States,N588CP,NA,0,0,0,0,0,PIPER,PA-24-250,NA
