fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,Arizona,Apache,02,Community Facilities,Grant (CF),85920,Persistent Poverty Community,ALPINE FIRE DISTRICT,CDS FY26 - EMERGENCY RESPONSE,Grant Funds,Alpine,Not Applicable,FY22 CONGRESSIONALLY DIRECTED SPENDING,Public Administration,04001,92217,FIRE TRUCKS,Commercial,"This Rural Development investment will be used to purchase a new first responder vehicle and associated equipment and accessories to be installed on the new vehicle, that will be used in fire response. The Alpine Fire District is located in Alpine, Arizona, and serves parts of Apache and Greenlee counties. This project will enhance the Towns emergency preparedness and service reliability, directly benefiting approximately 146 residents and surrounding communities who rely on timely and effective fire and emergency services.",140000,1
2026,Arizona,Apache,02,Community Facilities,Grant (CF),85938,Persistent Poverty Community,FOUNDATION FOR LITTLE COLORADO REVITALIZATION,CDS FY23 - IRRIGATION EFFICIEN,Grant Funds,Springerville,Not Applicable,FY22 CONGRESSIONALLY DIRECTED SPENDING,Construction,04001,234992,DRAINAGE AND LEVEE DISTRICTS,Commercial,"Rural Development is investing in the Foundation for Little Colorado Revitalization to upgrade irrigation systems serving the Grover Hill Irrigation District and Pioneer Irrigation Company in Apache County. The funding will help replace open ditches with new piping that reduces debris, blockages, and significant water loss. These improvements will conserve water and ensure more reliable service for local producers. This project strengthens essential infrastructure and supports long-term agricultural resilience in rural Arizona.",2069000,1
2026,Arizona,Apache,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,ELKRIDGE APARTMENTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,04001,NA,Not Available,Residential,Detailed Project Description Not Available,219179,1
2026,Arizona,Apache,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,HILLCREST APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,04001,NA,Not Available,Residential,Detailed Project Description Not Available,187716,1
2026,Arizona,Apache,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,LENWOOD APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,04001,NA,Not Available,Residential,Detailed Project Description Not Available,252355,1
2026,Arizona,Apache,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,TSAILE II APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,04001,NA,Not Available,Residential,Detailed Project Description Not Available,257902,1
2026,Arizona,Apache,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,WHITE MESA APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,04001,NA,Not Available,Residential,Detailed Project Description Not Available,352469,1
2026,Arizona,Apache,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,04001,NA,Not Available,Residential,Detailed Project Description Not Available,316161,1
2026,Arizona,Apache,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,GUILD MORTGAGE COMPANY LLC,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,04001,NA,Not Available,Residential,Detailed Project Description Not Available,280808,1
2026,Arizona,Apache,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"VIP MORTGAGE, INC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,04001,NA,Not Available,Residential,Detailed Project Description Not Available,237714,1
