fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,California,Amador,05,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,JACKSON APARTMENTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,06005,NA,Not Available,Residential,Detailed Project Description Not Available,876024,1
2026,California,Amador,05,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,MEADOWS II APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,06005,NA,Not Available,Residential,Detailed Project Description Not Available,498192,1
2026,California,Amador,05,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,JOSES PLACE APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,06005,NA,Not Available,Residential,Detailed Project Description Not Available,746198,1
2026,California,Amador,05,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,SUTTER HILL PLACE,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,06005,NA,Not Available,Residential,Detailed Project Description Not Available,538695,1
2026,California,Amador,05,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"MORTGAGE RESEARCH CENTER, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,06005,NA,Not Available,Residential,Detailed Project Description Not Available,282828,1
2026,California,Butte,01,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,OROVILLE APARTMENTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,06007,NA,Not Available,Residential,Detailed Project Description Not Available,122802,1
2026,California,Butte,01,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,GRIDLEY OAKS APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,06007,NA,Not Available,Residential,Detailed Project Description Not Available,438154,1
2026,California,Butte,01,Single Family Housing,Direct Grant (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Grant Funds,City Name Withheld,Not Applicable,523 GRANT MUTUAL-SELF HELP TECHNICAL ASSISTANCE,Real Estate and Rental and Leasing,06007,NA,Not Available,Residential,This Rural Development Project will be used to provide technical assistance to build eighty eight single family homes through the Self Help Program. This project will provide homeownership to first time home buyers achieve home ownership through the 502 Direct Loan Program.,4206000,1
2026,California,Butte,01,Single Family Housing,Direct Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Direct,City Name Withheld,Not Applicable,502 LOAN - MSHH SET ASIDE SELF HELP SUBSIDY LOW & OTHER INCOME,Real Estate and Rental and Leasing,06007,NA,Not Available,Residential,Detailed Project Description Not Available,1399110,4
2026,California,Butte,01,Single Family Housing,Direct Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Direct,City Name Withheld,Not Applicable,502 LOAN - MSHH SET ASIDE SELF HELP SUBSIDY VERY LOW INCOME,Real Estate and Rental and Leasing,06007,NA,Not Available,Residential,Detailed Project Description Not Available,605020,2
2026,California,Butte,01,Single Family Housing,Direct Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Direct,City Name Withheld,Not Applicable,502 LOAN - SELF HELP SUBSIDY LOW & OTHER INCOME,Real Estate and Rental and Leasing,06007,NA,Not Available,Residential,Detailed Project Description Not Available,6628920,20
