fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,Connecticut,Capitol Planning Region,01,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,METACOMET VILLAGE,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,09110,NA,Not Available,Residential,Detailed Project Description Not Available,321663,1
2026,Connecticut,Capitol Planning Region,01,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,SALMON BROOK MJKH MANAGEMENT,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,09110,NA,Not Available,Residential,Detailed Project Description Not Available,211768,1
2026,Connecticut,Capitol Planning Region,02,Business Programs,Advanced Biofuel Payment Program,06238,Not Persistent Poverty Community,HYTONE AG-GRID LLC,NOT AVAILABLE,Grant Funds,Coventry,Not Applicable,GRANT FOR PROD OF ADV BIOFUEL,Other or Not Defined,09110,NA,Not Available,Commercial,Detailed Project Description Not Available,202,2
2026,Connecticut,Capitol Planning Region,02,Community Facilities,Grant (CF),06076,Not Persistent Poverty Community,TOWN OF STAFFORD,FY24 CDS ADA IMPROVEMENTS,Grant Funds,Stafford Springs,Not Applicable,CPF/CDS - CF,Public Administration,09110,92111,EXECUTIVE OFFICES,Commercial,"This project is a Congressionally Directed Spending Award in the amount of $500,000 for the ADA renovations and improvements to Warren Memorial Town Hall, an essential public facility in Stafford, CT. The scope of work includes replacing all existing entryway doors, installing a new ramp/stair system, installation of an elevator and construction of a bathroom at the Town Hall, located at 1 Main Street. The renovation improves a critical community facility, broadens citizen access to essential town services, activities, and programs, and promotes safety.",500000,1
2026,Connecticut,Capitol Planning Region,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,DARTMOUTH VILLAGE,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,09110,NA,Not Available,Residential,Detailed Project Description Not Available,252878,1
2026,Connecticut,Capitol Planning Region,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,JESSE SCHNEIDER,Grant Funds,City Name Withheld,Not Applicable,MFH REVITALIZATION - TENANT VOUCHERS,Real Estate and Rental and Leasing,09110,NA,Not Available,Residential,Detailed Project Description Not Available,13092,1
2026,Connecticut,Capitol Planning Region,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,PARK PLACE,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,09110,NA,Not Available,Residential,Detailed Project Description Not Available,263395,1
2026,Connecticut,Capitol Planning Region,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,RIVERSIDE APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,09110,NA,Not Available,Residential,Detailed Project Description Not Available,208673,1
2026,Connecticut,Capitol Planning Region,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,SCHNEIDER JESSE,Grant Funds,City Name Withheld,Not Applicable,MFH REVITALIZATION - TENANT VOUCHERS,Real Estate and Rental and Leasing,09110,NA,Not Available,Residential,Detailed Project Description Not Available,85428,8
2026,Connecticut,Capitol Planning Region,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,"SCHNEIDER, JESSE",Grant Funds,City Name Withheld,Not Applicable,MFH REVITALIZATION - TENANT VOUCHERS,Real Estate and Rental and Leasing,09110,NA,Not Available,Residential,Detailed Project Description Not Available,244248,21
