fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,Hawaii,Hawaii,02,Community Facilities,Grant (CF),96755,Not Persistent Poverty Community,HAWAII INSTITUTE OF PACIFIC AGRICULTURE,FY22 CDS CERTIFIED WASH PACK A,Grant Funds,Kapaau,Not Applicable,FY22 CONGRESSIONALLY DIRECTED SPENDING,Other or Not Defined,15001,9992,OTHER -  CULTURAL & EDUCATIONAL RELATED SERVICES,Commercial,"Hawaii Institute of Pacific Agriculture received a $435,000 Congressionally Designated Spending Grant in fiscal year 2022 to construct a new, state-of-the-art, Good Agricultural Practices (GAP) certified wash pack and kitchen facility located in Kapaau, Hawaii. The new facility will address critical bottlenecks in farm programs and the lack of adequate infrastructure to process and package produce for redistribution. Through the facility, the community has the opportunity to foster sustainable agriculture, enhance local food security, and provide invaluable educational opportunities, while meeting the immediate processing and storage needs of local farmers.",435000,1
2026,Hawaii,Hawaii,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,HUALALAI ELDLY HSG,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,405963,1
2026,Hawaii,Hawaii,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,KAMUELA SENIOR HOUSING,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,442669,1
2026,Hawaii,Hawaii,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,WAIKOLOA GARDENS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,296531,1
2026,Hawaii,Hawaii,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,KAUHALE OLU APARTMENTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,3170190,1
2026,Hawaii,Hawaii,02,Single Family Housing,Direct Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Direct,City Name Withheld,Not Applicable,502 LOAN - CERTIFIED PACKAGED VIA AN INTERMEDIARY LOW INCOME,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,330000,1
2026,Hawaii,Hawaii,02,Single Family Housing,Direct Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Direct,City Name Withheld,Not Applicable,502 LOAN - SELF HELP SUBSIDY LOW & OTHER INCOME,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,608812,2
2026,Hawaii,Hawaii,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"AMERICAN FINANCIAL NETWORK, INC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,747473,2
2026,Hawaii,Hawaii,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"CANOPY MORTGAGE, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,373737,1
2026,Hawaii,Hawaii,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"CLICK N' CLOSE, INC.",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,1056564,3
2026,Hawaii,Hawaii,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"CMG MORTGAGE, INC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,15001,NA,Not Available,Residential,Detailed Project Description Not Available,348484,1
