fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,Massachusetts,Barnstable,09,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,PINE OAKS VILLAGE 2,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,25001,NA,Not Available,Residential,Detailed Project Description Not Available,346950,1
2026,Massachusetts,Barnstable,09,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,WELLFLEET FAMILY HOUSING,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,25001,NA,Not Available,Residential,Detailed Project Description Not Available,100980,1
2026,Massachusetts,Barnstable,09,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,FIRST COMMUNITY MORTGAGE,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,25001,NA,Not Available,Residential,Detailed Project Description Not Available,313131,1
2026,Massachusetts,Barnstable,09,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"UNITED WHOLESALE MORTGAGE, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,25001,NA,Not Available,Residential,Detailed Project Description Not Available,505050,1
2026,Massachusetts,Barnstable,09,Single Family Housing,Repair Grant (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Grant Funds,City Name Withheld,Not Applicable,504 GRANT,Real Estate and Rental and Leasing,25001,NA,Not Available,Residential,Detailed Project Description Not Available,9650,1
2026,Massachusetts,Berkshire,01,Business Programs,Advanced Biofuel Payment Program,01257,Not Persistent Poverty Community,PINE ISLAND FARM,NOT AVAILABLE,Grant Funds,Sheffield,Not Applicable,GRANT FOR PROD OF ADV BIOFUEL,Other or Not Defined,25003,NA,Not Available,Commercial,Detailed Project Description Not Available,484,6
2026,Massachusetts,Berkshire,01,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,31 VEAZIE STREET,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,25003,NA,Not Available,Residential,Detailed Project Description Not Available,57435,1
2026,Massachusetts,Berkshire,01,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,BERKSHIRE LANDINGS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,25003,NA,Not Available,Residential,Detailed Project Description Not Available,96570,1
2026,Massachusetts,Berkshire,01,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,FRIEND STREET APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,25003,NA,Not Available,Residential,Detailed Project Description Not Available,82802,1
2026,Massachusetts,Berkshire,01,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,PROSPECT ST APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,25003,NA,Not Available,Residential,Detailed Project Description Not Available,21562,1
