fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,Nebraska,Adams,03,Business Programs,Advanced Biofuel Payment Program,68901,Not Persistent Poverty Community,"CHIEF ETHANOL FUELS, INC",NOT AVAILABLE,Grant Funds,Hastings,Not Applicable,GRANT FOR PROD OF ADV BIOFUEL,Other or Not Defined,31001,NA,Not Available,Commercial,Detailed Project Description Not Available,22295,6
2026,Nebraska,Antelope,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"CASTLE & COOKE MORTGAGE, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,31003,NA,Not Available,Residential,Detailed Project Description Not Available,138383,1
2026,Nebraska,Antelope,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,PINNACLE BANK,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,31003,NA,Not Available,Residential,Detailed Project Description Not Available,126262,1
2026,Nebraska,Antelope,03,Water and Environmental,SEARCH - Special Evaluation Assistance for Rural Communities and Households Grant (WEP),68764,Not Persistent Poverty Community,Village of Orchard,FY26 Search Grant,Grant Funds,Orchard,Not Applicable,(GRANT ONLY) SEARCH GRANTS WATER ONLY,Utilities,31003,NA,Not Available,Commercial,"This Rural Development investment will develop a Preliminary Engineering Report (PER) for the Village of Orchards municipal water system. The report will share the physical condition, capacity, reliability and existing deficiencies in the water system. The report will address the villages water infrastructure and the increased nitrate levels. The State of Nebraska will shut down the villages water system if the nitrate levels get too high. This report will allow them to evaluate this issue and the alternatives available. The Village of Orchard has a population of 363.",30000,1
2026,Nebraska,Box Butte,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,WHEATRIDGE COURT,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,31013,NA,Not Available,Residential,Detailed Project Description Not Available,84681,1
2026,Nebraska,Box Butte,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,PLATTE VALLEY BANK,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,31013,NA,Not Available,Residential,Detailed Project Description Not Available,576766,5
2026,Nebraska,Boyd,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,THE TRI-COUNTY BANK,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,31015,NA,Not Available,Residential,Detailed Project Description Not Available,202000,1
2026,Nebraska,Brown,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,COMMUNITY BANC MORTGAGE CORP,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,31017,NA,Not Available,Residential,Detailed Project Description Not Available,146464,1
2026,Nebraska,Brown,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,THE TRI-COUNTY BANK,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,31017,NA,Not Available,Residential,Detailed Project Description Not Available,116150,1
2026,Nebraska,Buffalo,03,Business Programs,Advanced Biofuel Payment Program,68869,Not Persistent Poverty Community,"KAAPA ETHANOL RAVENNA, LLC",NOT AVAILABLE,Grant Funds,Ravenna,Not Applicable,GRANT FOR PROD OF ADV BIOFUEL,Other or Not Defined,31019,NA,Not Available,Commercial,Detailed Project Description Not Available,18537,6
2026,Nebraska,Buffalo,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,PLAZA BOULEVARD APT,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,31019,NA,Not Available,Residential,Detailed Project Description Not Available,171307,1
2026,Nebraska,Buffalo,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,NEIGHBORS BANK,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,31019,NA,Not Available,Residential,Detailed Project Description Not Available,363635,2
2026,Nebraska,Buffalo,03,Single Family Housing,Repair Grant (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Grant Funds,City Name Withheld,Not Applicable,504 GRANT,Real Estate and Rental and Leasing,31019,NA,Not Available,Residential,Detailed Project Description Not Available,8113,1
2026,Nebraska,Burt,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,BEAR HOMES PC,Grant Funds,City Name Withheld,Not Applicable,MFH REVITALIZATION - TENANT VOUCHERS,Real Estate and Rental and Leasing,31021,NA,Not Available,Residential,Detailed Project Description Not Available,19428,2
2026,Nebraska,Burt,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,HV RENTALS LLC,Grant Funds,City Name Withheld,Not Applicable,MFH REVITALIZATION - TENANT VOUCHERS,Real Estate and Rental and Leasing,31021,NA,Not Available,Residential,Detailed Project Description Not Available,8292,1
2026,Nebraska,Burt,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,LYONS APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,31021,NA,Not Available,Residential,Detailed Project Description Not Available,83251,1
2026,Nebraska,Burt,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,"NOHRENBERG, TARIE",Grant Funds,City Name Withheld,Not Applicable,MFH REVITALIZATION - TENANT VOUCHERS,Real Estate and Rental and Leasing,31021,NA,Not Available,Residential,Detailed Project Description Not Available,6900,1
2026,Nebraska,Burt,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,PROGRESS CORP,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,31021,NA,Not Available,Residential,Detailed Project Description Not Available,114192,1
2026,Nebraska,Burt,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"CASTLE & COOKE MORTGAGE, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,31021,NA,Not Available,Residential,Detailed Project Description Not Available,740368,5
2026,Nebraska,Burt,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"CASTLE & COOKE MORTGAGE, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING REFINANCE LOANS WITH ANNUAL FEES,Real Estate and Rental and Leasing,31021,NA,Not Available,Residential,Detailed Project Description Not Available,158181,1
2026,Nebraska,Burt,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,CHURCHILL MORTGAGE CORPORATION,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,31021,NA,Not Available,Residential,Detailed Project Description Not Available,226767,1
