fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,New Jersey,Atlantic,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,ALOE VILLAGE APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,286049,1
2026,New Jersey,Atlantic,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,BUENA TERRACE,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,256781,1
2026,New Jersey,Atlantic,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,BUENA TERRACE II,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,99030,1
2026,New Jersey,Atlantic,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,BUENA TERRACE IV LIMITED PARTNERSHIP,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,134151,1
2026,New Jersey,Atlantic,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,GALLOWAY CREST LP,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,135959,1
2026,New Jersey,Atlantic,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,LIVERPOOL ESTATES LIMITED PARTNERSHIP,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,119921,1
2026,New Jersey,Atlantic,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,SILVER TERRACE,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,283463,1
2026,New Jersey,Atlantic,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"ADVISORS MORTGAGE GROUP, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,385150,2
2026,New Jersey,Atlantic,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"AFFORDABLE MORTGAGE ADVISORS, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,508080,2
2026,New Jersey,Atlantic,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,178585,1
2026,New Jersey,Atlantic,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,LOANDEPOT.COM LLC,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,279242,1
2026,New Jersey,Atlantic,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,NATION ONE MORTGAGE CORPORATION,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,252525,1
2026,New Jersey,Atlantic,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"PENNYMAC LOAN SERVICES, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,179797,1
2026,New Jersey,Atlantic,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,UNION HOME MORTGAGE CORPORATION,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,222222,1
2026,New Jersey,Atlantic,02,Single Family Housing,Repair Grant (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Grant Funds,City Name Withheld,Not Applicable,504 GRANT,Real Estate and Rental and Leasing,34001,NA,Not Available,Residential,Detailed Project Description Not Available,10000,1
2026,New Jersey,Burlington,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,MILLSTREAM APARTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,34005,NA,Not Available,Residential,Detailed Project Description Not Available,650081,1
2026,New Jersey,Burlington,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,PARADISE LANE ASSOC,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,34005,NA,Not Available,Residential,Detailed Project Description Not Available,366138,1
2026,New Jersey,Burlington,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,ROLLING PINES ASSOC,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,34005,NA,Not Available,Residential,Detailed Project Description Not Available,173447,1
2026,New Jersey,Burlington,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"ACRE MORTGAGE & FINANCIAL, INC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34005,NA,Not Available,Residential,Detailed Project Description Not Available,306060,1
2026,New Jersey,Burlington,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"AFFORDABLE MORTGAGE ADVISORS, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34005,NA,Not Available,Residential,Detailed Project Description Not Available,266464,1
2026,New Jersey,Burlington,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"ALLIED MORTGAGE GROUP, INC.",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34005,NA,Not Available,Residential,Detailed Project Description Not Available,212020,1
2026,New Jersey,Burlington,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,LOANDEPOT.COM LLC,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,34005,NA,Not Available,Residential,Detailed Project Description Not Available,262626,1
2026,New Jersey,Camden,01,Community Facilities,Grant (CF),08049,Not Persistent Poverty Community,"MAGNOLIA, BOROUGH OF",FY26 CDS FIRE ENGINE,Grant Funds,Magnolia,Not Applicable,FY22 CONGRESSIONALLY DIRECTED SPENDING,Public Administration,34007,92217,FIRE TRUCKS,Commercial,"These CDS funds will purchase one E-One Typhoon stainless-steel pumper fire truck. The apparatus will feature a Cummins X12 500-horsepower engine, a 1,500 GPM pump, and a 1,000-gallon water tank. It will be custom-built to meet Magnolia Borough's Fire Departments operational requirements and specifications, ensuring reliable, modern, and effective emergency response capabilities for the community. This investment will significantly enhance the safety and resilience of the community. The new pumper will improve response times, expand firefighting capacity, and ensure that the Boroughs first responders have the equipment needed to effectively protect residents, businesses, schools, and critical infrastructure. Replacing aging apparatus reduces maintenance downtime and increases operational reliability, ultimately strengthening the Boroughs ability to respond to fires, severe weather emergencies, hazardous materials incidents, and other lifesafety events. The upgraded equipment will support long-term public safety, safeguard property, and provide residents with greater confidence in their local emergency services.",822000,1
