fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,New Mexico,Bernalillo,02,Community Facilities,Grant (CF),87105,Not Persistent Poverty Community,"ISLETA, PUEBLO OF",FY24 CDS FIRE TRUCKS,Grant Funds,Albuquerque,Not Applicable,CPF/CDS - CF,Public Administration,35001,92217,FIRE TRUCKS,Commercial,"This Rural Development investment will be used to replace two forest fire protection vehicles. The Pueblo of Isleta will be purchasing a Type 6 Wildland Fire Brush Truck and Type 3 Wildland Engine to enhance their capacity to fight wildfires on their tribal lands. In recent years they continue to have forest threats and need to replace their fire protection vehicles. At this time, their fire trucks are deteriorating and have high mileage. By replacing the fire trucks, it will enable the fire department to improve their emergency response capabilities for the Pueblo. This investment will have a positive impact on approximately 800 residents who live on the tribal lands of Isleta Pueblo located in southern Bernalillo County.",900000,1
2026,New Mexico,Catron,02,Community Facilities,Grant (CF),87830,Not Persistent Poverty Community,"RESERVE, VILLAGE OF",2023 CDS-FIRE TRUCK BAY BUILDI,Grant Funds,Reserve,Not Applicable,FY22 CONGRESSIONALLY DIRECTED SPENDING,Other or Not Defined,35003,9999,OTHER,Commercial,"This Rural Development Investment will be used to construction a new fire hall to directly benefit the village of Reserve. The village as approximately 300 residents. The new building will house over half a dozen different fleet vehicles utilized by the Fire Department as well as provide ample storage for all firefighting equipment in one centralized location. The new building will also include concrete aprons and bay doors on both sides of the building, conducive to faster response times by allowing for easy access to situation specific vehicles as well as the ability for trucks to be driven straight though.",750000,1
2026,New Mexico,Cibola,02,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,NEW WEST INVESTMENT,Grant Funds,City Name Withheld,Not Applicable,MFH REVITALIZATION - TENANT VOUCHERS,Real Estate and Rental and Leasing,35006,NA,Not Available,Residential,Detailed Project Description Not Available,15396,4
2026,New Mexico,Cibola,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"MORTGAGE RESEARCH CENTER, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,35006,NA,Not Available,Residential,Detailed Project Description Not Available,251515,1
2026,New Mexico,Cibola,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,NEIGHBORS BANK,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,35006,NA,Not Available,Residential,Detailed Project Description Not Available,121212,1
2026,New Mexico,Cibola,02,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"SUNFLOWER BANK, N.A.",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,35006,NA,Not Available,Residential,Detailed Project Description Not Available,358585,2
2026,New Mexico,Colfax,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,ANGEL SKYE,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,35007,NA,Not Available,Residential,Detailed Project Description Not Available,218832,1
2026,New Mexico,Colfax,03,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,SOMMERSET APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,35007,NA,Not Available,Residential,Detailed Project Description Not Available,257954,1
2026,New Mexico,Colfax,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,GUILD MORTGAGE COMPANY LLC,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,35007,NA,Not Available,Residential,Detailed Project Description Not Available,519494,3
2026,New Mexico,Colfax,03,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,"NEW REZ, LLC",SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,35007,NA,Not Available,Residential,Detailed Project Description Not Available,260606,1
