fiscal_year,state_name,county,congressional_district,program_area,program,zip_code,persistent_poverty_community_status,borrower_name,project_name,investment_type,city,lender_name,funding_code,naics_industry_sector,county_fips,naics_national_industry_code,naics_national_industry,portfolio_type,project_announced_description,investment_dollars,number_of_investments
2026,New York,Albany,20,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,RAVENA SR HSG,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,36001,NA,Not Available,Residential,Detailed Project Description Not Available,8213,1
2026,New York,Albany,20,Single Family Housing,Repair Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Direct,City Name Withheld,Not Applicable,504 LOAN,Real Estate and Rental and Leasing,36001,NA,Not Available,Residential,Detailed Project Description Not Available,6991,1
2026,New York,Albany,20,Water and Environmental,Grant (WEP),12143,Not Persistent Poverty Community,"Coeymans, Town of",Town of Coeymans Sewer System Improvements,Grant Funds,Ravena,Not Applicable,(GRANT ONLY) CPF/CDS - WASTE DISPOSAL ONLY,Utilities,36001,NA,Not Available,Commercial,"This Rural Development (RD) investment will be used to install sewer lines and rebuild two pump stations in the Town of Coeymans, which is located in Albany County, New York. This project will benefit the town residents by improving wastewater collection and will improve the health, welfare, and safety of the residents. This project will also contribute to the long-term sustainability of the town's sewer infrastructure. The total project costs are $3,444,000, with $944,000 in a local bond, $2,000,000 in New York State Community Development Block Grant (CDBG) funds and $500,000 in Rural Development Congressionally Directed Spending (CDS) grant funds. No other funding sources have been identified for this project.",500000,1
2026,New York,Allegany,23,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,BELFAST MANOR APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,36003,NA,Not Available,Residential,Detailed Project Description Not Available,167216,1
2026,New York,Allegany,23,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,BROOKHAVEN APTS.,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,36003,NA,Not Available,Residential,Detailed Project Description Not Available,367374,1
2026,New York,Allegany,23,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,CARPENTER COMMONS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,36003,NA,Not Available,Residential,Detailed Project Description Not Available,90766,1
2026,New York,Allegany,23,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,COLONY PARK,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,36003,NA,Not Available,Residential,Detailed Project Description Not Available,245163,1
2026,New York,Allegany,23,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,ERIN'S ISLE APTS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL / REPLACEMENT -FAMILY,Real Estate and Rental and Leasing,36003,NA,Not Available,Residential,Detailed Project Description Not Available,283761,1
2026,New York,Allegany,23,Multifamily Housing,Rental Assistance (MFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,WELLSVILLE WOODS,Grant Funds,City Name Withheld,Not Applicable,RENEWAL  / REPLACEMENT - ELDERLY,Real Estate and Rental and Leasing,36003,NA,Not Available,Residential,Detailed Project Description Not Available,72899,1
2026,New York,Allegany,23,Single Family Housing,Guaranteed Loan (SFH),Zip Code Withheld,Not Persistent Poverty Community,Name Withheld,NOT AVAILABLE,Loan Funds - Guaranteed,City Name Withheld,ABSOLUTE HOME MORTGAGE CORPORATION,SEC 502 GUARANTEED SINGLE FAMILY HOUSING PURCHASE LOAN WITH ANNUAL FEES,Real Estate and Rental and Leasing,36003,NA,Not Available,Residential,Detailed Project Description Not Available,121212,1
