state,total_seats,total_senate,senate_dem,senate_rep,senate_other,senate_vacant,total_house,house_dem,house_rep,house_other,house_vacant,leg_control,gov_party,state_control
Alabama,140,35,8,27,0,0,105,28,76,0,1,Rep,Rep,Rep
Alaska,60,20,9,11,0,0,40,13,22,5,0,Rep,Rep,Rep
Arizona,90,30,14,16,0,0,60,28,32,0,0,Rep,Dem,Divided
Arkansas,135,35,6,29,0,0,100,18,82,0,0,Rep,Rep,Rep
California,120,40,32,8,0,0,80,62,17,0,1,Dem,Dem,Dem
Colorado,100,35,23,12,0,0,65,46,19,0,0,Dem,Dem,Dem
Connecticut,187,36,24,12,0,0,151,98,53,0,0,Dem,Dem,Dem
Delaware,62,21,15,6,0,0,41,26,15,0,0,Dem,Dem,Dem
Florida,160,40,12,28,0,0,120,36,83,0,1,Rep,Rep,Rep
Georgia,236,56,23,33,0,0,180,78,102,0,0,Rep,Rep,Rep
Hawaii,76,25,23,2,0,0,51,45,6,0,0,Dem,Dem,Dem
Idaho,105,35,7,28,0,0,70,11,59,0,0,Rep,Rep,Rep
Illinois,177,59,40,19,0,0,118,78,40,0,0,Dem,Dem,Dem
Indiana,150,50,10,40,0,0,100,30,70,0,0,Rep,Rep,Rep
Iowa,150,50,16,34,0,0,100,36,64,0,0,Rep,Rep,Rep
Kansas,165,40,11,29,0,0,125,40,85,0,0,Rep,Dem,Divided
Kentucky,138,38,7,31,0,0,100,20,80,0,0,Rep,Dem,Divided
Louisiana,144,39,11,28,0,0,105,32,73,0,0,Rep,Rep,Rep
Maine,186,35,22,13,0,0,151,79,67,2,3,Dem,Dem,Dem
Maryland,188,47,34,13,0,0,141,102,39,0,0,Dem,Dem,Dem
Massachusetts,200,40,36,4,0,0,160,133,25,2,0,Dem,Dem,Dem
Michigan,148,38,20,18,0,0,110,56,54,0,0,Dem,Dem,Dem
Minnesota,201,67,33,33,0,1,134,70,64,0,0,Divided,Dem,Divided
Mississippi,174,52,16,36,0,0,122,41,79,2,0,Rep,Rep,Rep
Missouri,197,34,7,23,0,4,163,51,111,1,0,Rep,Rep,Rep
Montana,150,50,16,34,0,0,100,32,68,0,0,Rep,Rep,Rep
Nebraska,49,49,15,33,1,0,0,0,0,0,0,N/A,Rep,N/A
Nevada,63,21,13,7,0,1,42,26,14,0,2,Dem,Rep,Divided
New Hampshire,424,24,10,14,0,0,400,193,198,2,7,Rep,Rep,Rep
New Jersey,120,40,25,15,0,0,80,52,28,0,0,Dem,Dem,Dem
New Mexico,112,42,27,15,0,0,70,45,25,0,0,Dem,Dem,Dem
New York,213,63,41,21,0,1,150,100,48,0,2,Dem,Dem,Dem
North Carolina,170,50,20,30,0,0,120,48,72,0,0,Rep,Dem,Divided
North Dakota,141,47,4,42,0,1,94,12,82,0,0,Rep,Rep,Rep
Ohio,132,33,7,26,0,0,99,32,67,0,0,Rep,Rep,Rep
Oklahoma,149,48,8,40,0,0,101,20,81,0,0,Rep,Rep,Rep
Oregon,90,30,17,12,1,0,60,35,24,1,0,Dem,Dem,Dem
Pennsylvania,253,50,22,28,0,0,203,100,101,0,2,Rep,Dem,Divided
Rhode Island,113,38,32,5,0,1,75,65,9,1,0,Dem,Dem,Dem
South Carolina,170,46,15,30,1,0,124,36,88,0,0,Rep,Rep,Rep
South Dakota,105,35,4,31,0,0,70,7,63,0,0,Rep,Rep,Rep
Tennessee,132,33,6,27,0,0,99,24,75,0,0,Rep,Rep,Rep
Texas,181,31,12,19,0,0,150,64,86,0,0,Rep,Rep,Rep
Utah,104,29,6,23,0,0,75,14,61,0,0,Rep,Rep,Rep
Vermont,180,30,22,7,1,0,150,105,37,8,0,Dem,Rep,Divided
Virginia,140,40,21,19,0,0,100,51,49,0,0,Dem,Rep,Divided
Washington,147,49,29,20,0,0,98,58,40,0,0,Dem,Dem,Dem
West Virginia,134,34,3,31,0,0,100,11,89,0,0,Rep,Rep,Rep
Wisconsin,132,33,10,22,0,1,99,34,64,0,1,Rep,Dem,Divided
Wyoming,93,31,2,29,0,0,62,5,57,0,0,Rep,Rep,Rep
