year,period,periodName,Unemployment_Rate,Location
2024,M08,August,4,Arizona
2024,M07,July,4.4,Arizona
2024,M06,June,3.9,Arizona
2024,M05,May,3.2,Arizona
2024,M04,April,2.6,Arizona
2024,M03,March,2.9,Arizona
2024,M02,February,3.6,Arizona
2024,M01,January,3.8,Arizona
2023,M12,December,3.8,Arizona
2023,M11,November,3.8,Arizona
2023,M10,October,4.2,Arizona
2023,M09,September,4.2,Arizona
2023,M08,August,4.5,Arizona
2023,M07,July,4.3,Arizona
2023,M06,June,4.2,Arizona
2023,M05,May,3.8,Arizona
2023,M04,April,3.4,Arizona
2023,M03,March,3.5,Arizona
2023,M02,February,3.6,Arizona
2023,M01,January,3.6,Arizona
2022,M12,December,3.3,Arizona
2022,M11,November,3.6,Arizona
2022,M10,October,3.9,Arizona
2022,M09,September,4,Arizona
2022,M08,August,4.4,Arizona
2022,M07,July,4.3,Arizona
2022,M06,June,4.3,Arizona
2022,M05,May,3.6,Arizona
2022,M04,April,3.5,Arizona
2022,M03,March,3.3,Arizona
2022,M02,February,3.6,Arizona
2022,M01,January,3.8,Arizona
2021,M12,December,3.2,Arizona
2021,M11,November,3.4,Arizona
2021,M10,October,3.8,Arizona
2021,M09,September,4.4,Arizona
2021,M08,August,4.9,Arizona
2021,M07,July,5.4,Arizona
2021,M06,June,6,Arizona
2021,M05,May,5.5,Arizona
2021,M04,April,5.7,Arizona
2021,M03,March,5.8,Arizona
2021,M02,February,6.2,Arizona
2021,M01,January,6.4,Arizona
2020,M12,December,6.4,Arizona
2020,M11,November,6.3,Arizona
2020,M10,October,6.6,Arizona
2020,M09,September,7.5,Arizona
2020,M08,August,8.1,Arizona
2020,M07,July,9.9,Arizona
2020,M06,June,10.2,Arizona
2020,M05,May,11.2,Arizona
2020,M04,April,13.3,Arizona
2020,M03,March,5.4,Arizona
2020,M02,February,4.5,Arizona
2020,M01,January,4.7,Arizona
2019,M12,December,4.3,Arizona
2019,M11,November,4.4,Arizona
2019,M10,October,4.6,Arizona
2019,M09,September,4.6,Arizona
2019,M08,August,5.2,Arizona
2019,M07,July,5.4,Arizona
2019,M06,June,5.2,Arizona
2019,M05,May,4.7,Arizona
2019,M04,April,4.5,Arizona
2019,M03,March,4.7,Arizona
2019,M02,February,4.8,Arizona
2019,M01,January,5.3,Arizona
