year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.4,Arkansas
2024,M07,July,3.9,Arkansas
2024,M06,June,3.7,Arkansas
2024,M05,May,3.3,Arkansas
2024,M04,April,3.1,Arkansas
2024,M03,March,3.3,Arkansas
2024,M02,February,3.5,Arkansas
2024,M01,January,3.9,Arkansas
2023,M12,December,3.4,Arkansas
2023,M11,November,3.2,Arkansas
2023,M10,October,3.1,Arkansas
2023,M09,September,3.5,Arkansas
2023,M08,August,3.6,Arkansas
2023,M07,July,3.7,Arkansas
2023,M06,June,3.5,Arkansas
2023,M05,May,2.9,Arkansas
2023,M04,April,2.5,Arkansas
2023,M03,March,2.9,Arkansas
2023,M02,February,3.3,Arkansas
2023,M01,January,3.4,Arkansas
2022,M12,December,2.7,Arkansas
2022,M11,November,2.7,Arkansas
2022,M10,October,2.6,Arkansas
2022,M09,September,3.1,Arkansas
2022,M08,August,3.4,Arkansas
2022,M07,July,3.8,Arkansas
2022,M06,June,3.7,Arkansas
2022,M05,May,3.1,Arkansas
2022,M04,April,2.9,Arkansas
2022,M03,March,3.1,Arkansas
2022,M02,February,3.7,Arkansas
2022,M01,January,3.8,Arkansas
2021,M12,December,2.8,Arkansas
2021,M11,November,2.6,Arkansas
2021,M10,October,2.7,Arkansas
2021,M09,September,3.3,Arkansas
2021,M08,August,3.8,Arkansas
2021,M07,July,4.5,Arkansas
2021,M06,June,4.8,Arkansas
2021,M05,May,4.2,Arkansas
2021,M04,April,4.3,Arkansas
2021,M03,March,4.7,Arkansas
2021,M02,February,5.3,Arkansas
2021,M01,January,5.4,Arkansas
2020,M12,December,4.8,Arkansas
2020,M11,November,4.5,Arkansas
2020,M10,October,4.6,Arkansas
2020,M09,September,5.8,Arkansas
2020,M08,August,6.3,Arkansas
2020,M07,July,8.1,Arkansas
2020,M06,June,8.2,Arkansas
2020,M05,May,8.8,Arkansas
2020,M04,April,9.6,Arkansas
2020,M03,March,5.3,Arkansas
2020,M02,February,3.8,Arkansas
2020,M01,January,4,Arkansas
2019,M12,December,3.2,Arkansas
2019,M11,November,3,Arkansas
2019,M10,October,2.9,Arkansas
2019,M09,September,3.2,Arkansas
2019,M08,August,3.6,Arkansas
2019,M07,July,4.1,Arkansas
2019,M06,June,3.8,Arkansas
2019,M05,May,3.2,Arkansas
2019,M04,April,3,Arkansas
2019,M03,March,3.5,Arkansas
2019,M02,February,4,Arkansas
2019,M01,January,4.4,Arkansas
