year,period,periodName,Unemployment_Rate,Location
2024,M08,August,5.9,California
2024,M07,July,5.8,California
2024,M06,June,5.3,California
2024,M05,May,4.6,California
2024,M04,April,4.9,California
2024,M03,March,5.4,California
2024,M02,February,5.6,California
2024,M01,January,5.7,California
2023,M12,December,5.1,California
2023,M11,November,4.9,California
2023,M10,October,5,California
2023,M09,September,4.9,California
2023,M08,August,5.2,California
2023,M07,July,4.8,California
2023,M06,June,4.7,California
2023,M05,May,4.3,California
2023,M04,April,4.1,California
2023,M03,March,4.7,California
2023,M02,February,4.8,California
2023,M01,January,4.7,California
2022,M12,December,4,California
2022,M11,November,4.1,California
2022,M10,October,4,California
2022,M09,September,3.8,California
2022,M08,August,4.2,California
2022,M07,July,4.2,California
2022,M06,June,4.2,California
2022,M05,May,3.7,California
2022,M04,April,4,California
2022,M03,March,4.5,California
2022,M02,February,5,California
2022,M01,January,5.6,California
2021,M12,December,5,California
2021,M11,November,5.4,California
2021,M10,October,5.9,California
2021,M09,September,6.2,California
2021,M08,August,7.3,California
2021,M07,July,7.7,California
2021,M06,June,8.2,California
2021,M05,May,7.6,California
2021,M04,April,8.3,California
2021,M03,March,8.5,California
2021,M02,February,8.8,California
2021,M01,January,9.1,California
2020,M12,December,8.9,California
2020,M11,November,8.7,California
2020,M10,October,8.8,California
2020,M09,September,9.9,California
2020,M08,August,11.8,California
2020,M07,July,13.7,California
2020,M06,June,14,California
2020,M05,May,15.7,California
2020,M04,April,15.7,California
2020,M03,March,6.3,California
2020,M02,February,4.4,California
2020,M01,January,4.5,California
2019,M12,December,3.9,California
2019,M11,November,3.8,California
2019,M10,October,3.8,California
2019,M09,September,3.7,California
2019,M08,August,4.2,California
2019,M07,July,4.4,California
2019,M06,June,4.2,California
2019,M05,May,3.6,California
2019,M04,April,3.8,California
2019,M03,March,4.5,California
2019,M02,February,4.4,California
2019,M01,January,4.9,California
