year,period,periodName,Unemployment_Rate,Location
2024,M08,August,4.3,Colorado
2024,M07,July,4.2,Colorado
2024,M06,June,4,Colorado
2024,M05,May,3.9,Colorado
2024,M04,April,3.4,Colorado
2024,M03,March,3.9,Colorado
2024,M02,February,4.2,Colorado
2024,M01,January,3.8,Colorado
2023,M12,December,3.3,Colorado
2023,M11,November,3.2,Colorado
2023,M10,October,3.2,Colorado
2023,M09,September,3.1,Colorado
2023,M08,August,3.4,Colorado
2023,M07,July,3.3,Colorado
2023,M06,June,3.5,Colorado
2023,M05,May,3,Colorado
2023,M04,April,2.7,Colorado
2023,M03,March,2.9,Colorado
2023,M02,February,3.4,Colorado
2023,M01,January,3.1,Colorado
2022,M12,December,2.7,Colorado
2022,M11,November,2.9,Colorado
2022,M10,October,2.8,Colorado
2022,M09,September,2.6,Colorado
2022,M08,August,2.8,Colorado
2022,M07,July,3,Colorado
2022,M06,June,3,Colorado
2022,M05,May,2.7,Colorado
2022,M04,April,2.9,Colorado
2022,M03,March,3.3,Colorado
2022,M02,February,3.9,Colorado
2022,M01,January,4.2,Colorado
2021,M12,December,3.9,Colorado
2021,M11,November,4.1,Colorado
2021,M10,October,4.6,Colorado
2021,M09,September,4.7,Colorado
2021,M08,August,5.3,Colorado
2021,M07,July,5.7,Colorado
2021,M06,June,6.3,Colorado
2021,M05,May,5.8,Colorado
2021,M04,April,6.1,Colorado
2021,M03,March,6.2,Colorado
2021,M02,February,6.3,Colorado
2021,M01,January,6.6,Colorado
2020,M12,December,6.4,Colorado
2020,M11,November,6.1,Colorado
2020,M10,October,5.8,Colorado
2020,M09,September,6.2,Colorado
2020,M08,August,6,Colorado
2020,M07,July,6.8,Colorado
2020,M06,June,11.3,Colorado
2020,M05,May,11.7,Colorado
2020,M04,April,10.9,Colorado
2020,M03,March,3.9,Colorado
2020,M02,February,3.3,Colorado
2020,M01,January,3.1,Colorado
2019,M12,December,2.6,Colorado
2019,M11,November,2.6,Colorado
2019,M10,October,2.4,Colorado
2019,M09,September,2.4,Colorado
2019,M08,August,2.6,Colorado
2019,M07,July,2.7,Colorado
2019,M06,June,2.7,Colorado
2019,M05,May,2.4,Colorado
2019,M04,April,2.5,Colorado
2019,M03,March,2.8,Colorado
2019,M02,February,3.1,Colorado
2019,M01,January,3.3,Colorado
