year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.4,Connecticut
2024,M07,July,3.5,Connecticut
2024,M06,June,2.8,Connecticut
2024,M05,May,4.1,Connecticut
2024,M04,April,3.5,Connecticut
2024,M03,March,4.2,Connecticut
2024,M02,February,5.4,Connecticut
2024,M01,January,5,Connecticut
2023,M12,December,4,Connecticut
2023,M11,November,3.9,Connecticut
2023,M10,October,4,Connecticut
2023,M09,September,3.7,Connecticut
2023,M08,August,3.9,Connecticut
2023,M07,July,3.8,Connecticut
2023,M06,June,3.7,Connecticut
2023,M05,May,3.4,Connecticut
2023,M04,April,2.9,Connecticut
2023,M03,March,3.7,Connecticut
2023,M02,February,4.1,Connecticut
2023,M01,January,4,Connecticut
2022,M12,December,3,Connecticut
2022,M11,November,3.2,Connecticut
2022,M10,October,3.6,Connecticut
2022,M09,September,3.5,Connecticut
2022,M08,August,4,Connecticut
2022,M07,July,4.2,Connecticut
2022,M06,June,4.3,Connecticut
2022,M05,May,4.2,Connecticut
2022,M04,April,4,Connecticut
2022,M03,March,4.6,Connecticut
2022,M02,February,5.2,Connecticut
2022,M01,January,5.4,Connecticut
2021,M12,December,4.4,Connecticut
2021,M11,November,4.7,Connecticut
2021,M10,October,5.4,Connecticut
2021,M09,September,5.6,Connecticut
2021,M08,August,6.3,Connecticut
2021,M07,July,6.9,Connecticut
2021,M06,June,7.2,Connecticut
2021,M05,May,6.9,Connecticut
2021,M04,April,6.8,Connecticut
2021,M03,March,7.4,Connecticut
2021,M02,February,7.7,Connecticut
2021,M01,January,7.7,Connecticut
2020,M12,December,6.8,Connecticut
2020,M11,November,6.9,Connecticut
2020,M10,October,7.4,Connecticut
2020,M09,September,8.5,Connecticut
2020,M08,August,9.4,Connecticut
2020,M07,July,12.1,Connecticut
2020,M06,June,11.6,Connecticut
2020,M05,May,12,Connecticut
2020,M04,April,7.8,Connecticut
2020,M03,March,4.7,Connecticut
2020,M02,February,4.2,Connecticut
2020,M01,January,4.3,Connecticut
2019,M12,December,3.1,Connecticut
2019,M11,November,3.1,Connecticut
2019,M10,October,3.4,Connecticut
2019,M09,September,3.3,Connecticut
2019,M08,August,3.7,Connecticut
2019,M07,July,3.9,Connecticut
2019,M06,June,3.7,Connecticut
2019,M05,May,3.5,Connecticut
2019,M04,April,3.1,Connecticut
2019,M03,March,3.9,Connecticut
2019,M02,February,4.1,Connecticut
2019,M01,January,4.4,Connecticut
