year,period,periodName,Unemployment_Rate,Location
2024,M08,August,4.7,Delaware
2024,M07,July,4.8,Delaware
2024,M06,June,4.6,Delaware
2024,M05,May,3.9,Delaware
2024,M04,April,3.7,Delaware
2024,M03,March,4,Delaware
2024,M02,February,4,Delaware
2024,M01,January,4.2,Delaware
2023,M12,December,3.7,Delaware
2023,M11,November,3.6,Delaware
2023,M10,October,4,Delaware
2023,M09,September,3.9,Delaware
2023,M08,August,4.4,Delaware
2023,M07,July,4.1,Delaware
2023,M06,June,4.2,Delaware
2023,M05,May,3.7,Delaware
2023,M04,April,3.6,Delaware
2023,M03,March,4.1,Delaware
2023,M02,February,4.3,Delaware
2023,M01,January,4.3,Delaware
2022,M12,December,3.6,Delaware
2022,M11,November,3.8,Delaware
2022,M10,October,4.1,Delaware
2022,M09,September,3.9,Delaware
2022,M08,August,4.5,Delaware
2022,M07,July,4.4,Delaware
2022,M06,June,4.6,Delaware
2022,M05,May,3.9,Delaware
2022,M04,April,4.1,Delaware
2022,M03,March,4.4,Delaware
2022,M02,February,4.7,Delaware
2022,M01,January,5.1,Delaware
2021,M12,December,4,Delaware
2021,M11,November,4.3,Delaware
2021,M10,October,4.8,Delaware
2021,M09,September,5,Delaware
2021,M08,August,5.7,Delaware
2021,M07,July,5.9,Delaware
2021,M06,June,6.2,Delaware
2021,M05,May,5.4,Delaware
2021,M04,April,5.9,Delaware
2021,M03,March,6.1,Delaware
2021,M02,February,6.2,Delaware
2021,M01,January,6.1,Delaware
2020,M12,December,5.2,Delaware
2020,M11,November,4.6,Delaware
2020,M10,October,4.8,Delaware
2020,M09,September,7.7,Delaware
2020,M08,August,7.4,Delaware
2020,M07,July,7.9,Delaware
2020,M06,June,12.8,Delaware
2020,M05,May,13.3,Delaware
2020,M04,April,12.7,Delaware
2020,M03,March,5.6,Delaware
2020,M02,February,3.7,Delaware
2020,M01,January,3.9,Delaware
2019,M12,December,3.1,Delaware
2019,M11,November,3.1,Delaware
2019,M10,October,3.5,Delaware
2019,M09,September,3.4,Delaware
2019,M08,August,4,Delaware
2019,M07,July,4,Delaware
2019,M06,June,3.8,Delaware
2019,M05,May,3.2,Delaware
2019,M04,April,3.3,Delaware
2019,M03,March,3.7,Delaware
2019,M02,February,3.8,Delaware
2019,M01,January,4.1,Delaware
