year,period,periodName,Unemployment_Rate,Location
2026,M06,June,6.1,District of Columbia
2026,M05,May,6,District of Columbia
2026,M04,April,5.5,District of Columbia
2026,M03,March,5.7,District of Columbia
2026,M02,February,6.1,District of Columbia
2026,M01,January,6.2,District of Columbia
2025,M12,December,6.4,District of Columbia
2025,M11,November,6.8,District of Columbia
2025,M10,October,NA,District of Columbia
2025,M09,September,6.8,District of Columbia
2025,M08,August,7.1,District of Columbia
2025,M07,July,6.8,District of Columbia
2025,M06,June,6.4,District of Columbia
2025,M05,May,5.8,District of Columbia
2025,M04,April,5.5,District of Columbia
2025,M03,March,6.1,District of Columbia
2025,M02,February,6,District of Columbia
2025,M01,January,5.8,District of Columbia
2024,M12,December,5.1,District of Columbia
2024,M11,November,5.2,District of Columbia
2024,M10,October,5.2,District of Columbia
2024,M09,September,5.3,District of Columbia
2024,M08,August,6.1,District of Columbia
2024,M07,July,6,District of Columbia
2024,M06,June,5.7,District of Columbia
2024,M05,May,5,District of Columbia
2024,M04,April,4.5,District of Columbia
2024,M03,March,5,District of Columbia
2024,M02,February,5.2,District of Columbia
2024,M01,January,5.2,District of Columbia
2023,M12,December,4.7,District of Columbia
2023,M11,November,4.6,District of Columbia
2023,M10,October,5,District of Columbia
2023,M09,September,5,District of Columbia
2023,M08,August,5.4,District of Columbia
2023,M07,July,5.1,District of Columbia
2023,M06,June,5.2,District of Columbia
2023,M05,May,4.6,District of Columbia
2023,M04,April,4.1,District of Columbia
2023,M03,March,4.9,District of Columbia
2023,M02,February,4.9,District of Columbia
2023,M01,January,4.8,District of Columbia
2022,M12,December,4.1,District of Columbia
2022,M11,November,4.2,District of Columbia
2022,M10,October,4.4,District of Columbia
2022,M09,September,4.2,District of Columbia
2022,M08,August,4.7,District of Columbia
2022,M07,July,4.7,District of Columbia
2022,M06,June,4.9,District of Columbia
2022,M05,May,4.3,District of Columbia
2022,M04,April,4.3,District of Columbia
2022,M03,March,5.1,District of Columbia
2022,M02,February,5.5,District of Columbia
2022,M01,January,6.1,District of Columbia
2021,M12,December,5.2,District of Columbia
2021,M11,November,6.2,District of Columbia
2021,M10,October,6.4,District of Columbia
2021,M09,September,6.8,District of Columbia
2021,M08,August,7.5,District of Columbia
2021,M07,July,7.5,District of Columbia
2021,M06,June,8,District of Columbia
2021,M05,May,6.7,District of Columbia
2021,M04,April,6.6,District of Columbia
2021,M03,March,6.9,District of Columbia
2021,M02,February,6.9,District of Columbia
2021,M01,January,6.6,District of Columbia
2020,M12,December,7.3,District of Columbia
2020,M11,November,8.2,District of Columbia
2020,M10,October,8.4,District of Columbia
2020,M09,September,9,District of Columbia
2020,M08,August,8.6,District of Columbia
2020,M07,July,9.3,District of Columbia
2020,M06,June,8.9,District of Columbia
2020,M05,May,8.8,District of Columbia
2020,M04,April,10.5,District of Columbia
2020,M03,March,6.5,District of Columbia
2020,M02,February,5.3,District of Columbia
2020,M01,January,5.5,District of Columbia
2019,M12,December,5,District of Columbia
2019,M11,November,4.9,District of Columbia
2019,M10,October,5.2,District of Columbia
2019,M09,September,5.2,District of Columbia
2019,M08,August,5.8,District of Columbia
2019,M07,July,6,District of Columbia
2019,M06,June,5.9,District of Columbia
2019,M05,May,5.3,District of Columbia
2019,M04,April,4.9,District of Columbia
2019,M03,March,5.8,District of Columbia
2019,M02,February,6,District of Columbia
2019,M01,January,6.6,District of Columbia
