year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.7,Florida
2024,M07,July,3.8,Florida
2024,M06,June,3.5,Florida
2024,M05,May,2.9,Florida
2024,M04,April,3.1,Florida
2024,M03,March,3.3,Florida
2024,M02,February,3.1,Florida
2024,M01,January,3.1,Florida
2023,M12,December,2.9,Florida
2023,M11,November,3,Florida
2023,M10,October,3.1,Florida
2023,M09,September,3.1,Florida
2023,M08,August,3.3,Florida
2023,M07,July,3.1,Florida
2023,M06,June,3.1,Florida
2023,M05,May,2.7,Florida
2023,M04,April,2.4,Florida
2023,M03,March,2.6,Florida
2023,M02,February,2.7,Florida
2023,M01,January,2.8,Florida
2022,M12,December,2.5,Florida
2022,M11,November,2.8,Florida
2022,M10,October,2.9,Florida
2022,M09,September,2.9,Florida
2022,M08,August,3.1,Florida
2022,M07,July,3.1,Florida
2022,M06,June,3.2,Florida
2022,M05,May,2.8,Florida
2022,M04,April,2.8,Florida
2022,M03,March,3,Florida
2022,M02,February,3.3,Florida
2022,M01,January,3.7,Florida
2021,M12,December,3.2,Florida
2021,M11,November,3.7,Florida
2021,M10,October,3.9,Florida
2021,M09,September,4.2,Florida
2021,M08,August,4.7,Florida
2021,M07,July,4.9,Florida
2021,M06,June,5.2,Florida
2021,M05,May,4.7,Florida
2021,M04,April,4.9,Florida
2021,M03,March,5.2,Florida
2021,M02,February,5.5,Florida
2021,M01,January,6,Florida
2020,M12,December,6.2,Florida
2020,M11,November,6.5,Florida
2020,M10,October,7,Florida
2020,M09,September,8.3,Florida
2020,M08,August,8.9,Florida
2020,M07,July,12.2,Florida
2020,M06,June,11.9,Florida
2020,M05,May,14.3,Florida
2020,M04,April,12.9,Florida
2020,M03,March,4.3,Florida
2020,M02,February,2.7,Florida
2020,M01,January,3.1,Florida
2019,M12,December,2.7,Florida
2019,M11,November,2.9,Florida
2019,M10,October,3.1,Florida
2019,M09,September,3.2,Florida
2019,M08,August,3.5,Florida
2019,M07,July,3.6,Florida
2019,M06,June,3.5,Florida
2019,M05,May,3.1,Florida
2019,M04,April,3,Florida
2019,M03,March,3.3,Florida
2019,M02,February,3.3,Florida
2019,M01,January,3.8,Florida
