year,period,periodName,Unemployment_Rate,Location
2026,M06,June,3.6,Georgia
2026,M05,May,3.2,Georgia
2026,M04,April,2.8,Georgia
2026,M03,March,3.3,Georgia
2026,M02,February,3.6,Georgia
2026,M01,January,3.6,Georgia
2025,M12,December,3.3,Georgia
2025,M11,November,3.6,Georgia
2025,M10,October,NA,Georgia
2025,M09,September,3.4,Georgia
2025,M08,August,3.6,Georgia
2025,M07,July,3.6,Georgia
2025,M06,June,3.6,Georgia
2025,M05,May,3.3,Georgia
2025,M04,April,2.9,Georgia
2025,M03,March,3.4,Georgia
2025,M02,February,3.5,Georgia
2025,M01,January,3.4,Georgia
2024,M12,December,3.2,Georgia
2024,M11,November,3.4,Georgia
2024,M10,October,3.4,Georgia
2024,M09,September,3.3,Georgia
2024,M08,August,3.9,Georgia
2024,M07,July,3.8,Georgia
2024,M06,June,3.9,Georgia
2024,M05,May,3.4,Georgia
2024,M04,April,2.9,Georgia
2024,M03,March,3.3,Georgia
2024,M02,February,3.3,Georgia
2024,M01,January,3.3,Georgia
2023,M12,December,3,Georgia
2023,M11,November,3,Georgia
2023,M10,October,3.3,Georgia
2023,M09,September,3.2,Georgia
2023,M08,August,3.7,Georgia
2023,M07,July,3.3,Georgia
2023,M06,June,3.5,Georgia
2023,M05,May,3.3,Georgia
2023,M04,April,2.7,Georgia
2023,M03,March,3.3,Georgia
2023,M02,February,3.4,Georgia
2023,M01,January,3.4,Georgia
2022,M12,December,2.9,Georgia
2022,M11,November,3.1,Georgia
2022,M10,October,3.3,Georgia
2022,M09,September,3,Georgia
2022,M08,August,3.5,Georgia
2022,M07,July,3.2,Georgia
2022,M06,June,3.5,Georgia
2022,M05,May,2.9,Georgia
2022,M04,April,2.6,Georgia
2022,M03,March,3,Georgia
2022,M02,February,3.2,Georgia
2022,M01,January,3.4,Georgia
2021,M12,December,2.8,Georgia
2021,M11,November,3,Georgia
2021,M10,October,3.3,Georgia
2021,M09,September,3.3,Georgia
2021,M08,August,3.9,Georgia
2021,M07,July,3.9,Georgia
2021,M06,June,4.5,Georgia
2021,M05,May,4.1,Georgia
2021,M04,April,4,Georgia
2021,M03,March,4.4,Georgia
2021,M02,February,4.7,Georgia
2021,M01,January,5.1,Georgia
2020,M12,December,5.1,Georgia
2020,M11,November,5,Georgia
2020,M10,October,5.4,Georgia
2020,M09,September,6.4,Georgia
2020,M08,August,6.9,Georgia
2020,M07,July,8,Georgia
2020,M06,June,8.7,Georgia
2020,M05,May,10,Georgia
2020,M04,April,11.9,Georgia
2020,M03,March,4.2,Georgia
2020,M02,February,3.5,Georgia
2020,M01,January,3.8,Georgia
2019,M12,December,3.3,Georgia
2019,M11,November,3.1,Georgia
2019,M10,October,3.3,Georgia
2019,M09,September,3.2,Georgia
2019,M08,August,3.9,Georgia
2019,M07,July,3.8,Georgia
2019,M06,June,3.9,Georgia
2019,M05,May,3.6,Georgia
2019,M04,April,3.2,Georgia
2019,M03,March,3.8,Georgia
2019,M02,February,3.8,Georgia
2019,M01,January,4.3,Georgia
