year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.2,Hawaii
2024,M07,July,3,Hawaii
2024,M06,June,3.2,Hawaii
2024,M05,May,2.3,Hawaii
2024,M04,April,2.8,Hawaii
2024,M03,March,2.8,Hawaii
2024,M02,February,3,Hawaii
2024,M01,January,3.1,Hawaii
2023,M12,December,2.9,Hawaii
2023,M11,November,3,Hawaii
2023,M10,October,3.1,Hawaii
2023,M09,September,3.3,Hawaii
2023,M08,August,3.1,Hawaii
2023,M07,July,2.8,Hawaii
2023,M06,June,3.4,Hawaii
2023,M05,May,2.7,Hawaii
2023,M04,April,2.5,Hawaii
2023,M03,March,2.8,Hawaii
2023,M02,February,2.9,Hawaii
2023,M01,January,3,Hawaii
2022,M12,December,2.9,Hawaii
2022,M11,November,3.4,Hawaii
2022,M10,October,3.4,Hawaii
2022,M09,September,3.5,Hawaii
2022,M08,August,3.5,Hawaii
2022,M07,July,3.4,Hawaii
2022,M06,June,3.9,Hawaii
2022,M05,May,3.1,Hawaii
2022,M04,April,3.1,Hawaii
2022,M03,March,3,Hawaii
2022,M02,February,3.1,Hawaii
2022,M01,January,3.2,Hawaii
2021,M12,December,2.7,Hawaii
2021,M11,November,3.1,Hawaii
2021,M10,October,3.4,Hawaii
2021,M09,September,4.2,Hawaii
2021,M08,August,4.9,Hawaii
2021,M07,July,5.5,Hawaii
2021,M06,June,7,Hawaii
2021,M05,May,6.6,Hawaii
2021,M04,April,7.6,Hawaii
2021,M03,March,8.2,Hawaii
2021,M02,February,8.9,Hawaii
2021,M01,January,9.4,Hawaii
2020,M12,December,10,Hawaii
2020,M11,November,10.5,Hawaii
2020,M10,October,11.4,Hawaii
2020,M09,September,13.9,Hawaii
2020,M08,August,13,Hawaii
2020,M07,July,15.8,Hawaii
2020,M06,June,17.8,Hawaii
2020,M05,May,20.9,Hawaii
2020,M04,April,22.1,Hawaii
2020,M03,March,2.1,Hawaii
2020,M02,February,2,Hawaii
2020,M01,January,2.3,Hawaii
2019,M12,December,2,Hawaii
2019,M11,November,2.3,Hawaii
2019,M10,October,2.4,Hawaii
2019,M09,September,2.5,Hawaii
2019,M08,August,2.5,Hawaii
2019,M07,July,2.6,Hawaii
2019,M06,June,3.1,Hawaii
2019,M05,May,2.4,Hawaii
2019,M04,April,2.4,Hawaii
2019,M03,March,2.6,Hawaii
2019,M02,February,2.6,Hawaii
2019,M01,January,2.9,Hawaii
