year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.6,Idaho
2024,M07,July,3.7,Idaho
2024,M06,June,3.5,Idaho
2024,M05,May,3.2,Idaho
2024,M04,April,3.2,Idaho
2024,M03,March,3.8,Idaho
2024,M02,February,4,Idaho
2024,M01,January,4,Idaho
2023,M12,December,3.1,Idaho
2023,M11,November,3.1,Idaho
2023,M10,October,2.9,Idaho
2023,M09,September,2.8,Idaho
2023,M08,August,3.1,Idaho
2023,M07,July,3.1,Idaho
2023,M06,June,2.9,Idaho
2023,M05,May,2.8,Idaho
2023,M04,April,2.8,Idaho
2023,M03,March,3.4,Idaho
2023,M02,February,3.5,Idaho
2023,M01,January,3.5,Idaho
2022,M12,December,2.7,Idaho
2022,M11,November,2.8,Idaho
2022,M10,October,2.5,Idaho
2022,M09,September,2.5,Idaho
2022,M08,August,2.8,Idaho
2022,M07,July,2.8,Idaho
2022,M06,June,2.8,Idaho
2022,M05,May,2.5,Idaho
2022,M04,April,2.6,Idaho
2022,M03,March,3.2,Idaho
2022,M02,February,3.4,Idaho
2022,M01,January,3.6,Idaho
2021,M12,December,2.6,Idaho
2021,M11,November,2.8,Idaho
2021,M10,October,2.6,Idaho
2021,M09,September,2.7,Idaho
2021,M08,August,3.2,Idaho
2021,M07,July,3.4,Idaho
2021,M06,June,3.7,Idaho
2021,M05,May,3.4,Idaho
2021,M04,April,3.9,Idaho
2021,M03,March,4.6,Idaho
2021,M02,February,5,Idaho
2021,M01,January,4.9,Idaho
2020,M12,December,4.2,Idaho
2020,M11,November,4,Idaho
2020,M10,October,3.7,Idaho
2020,M09,September,4.5,Idaho
2020,M08,August,4.8,Idaho
2020,M07,July,6.6,Idaho
2020,M06,June,7.5,Idaho
2020,M05,May,9.3,Idaho
2020,M04,April,11.5,Idaho
2020,M03,March,3.7,Idaho
2020,M02,February,3.3,Idaho
2020,M01,January,3.5,Idaho
2019,M12,December,2.7,Idaho
2019,M11,November,2.7,Idaho
2019,M10,October,2.4,Idaho
2019,M09,September,2.3,Idaho
2019,M08,August,2.6,Idaho
2019,M07,July,2.9,Idaho
2019,M06,June,2.7,Idaho
2019,M05,May,2.5,Idaho
2019,M04,April,2.8,Idaho
2019,M03,March,3.5,Idaho
2019,M02,February,3.6,Idaho
2019,M01,January,4,Idaho
