year,period,periodName,Unemployment_Rate,Location
2024,M08,August,5.5,Illinois
2024,M07,July,6.2,Illinois
2024,M06,June,6.1,Illinois
2024,M05,May,4.8,Illinois
2024,M04,April,4.4,Illinois
2024,M03,March,5,Illinois
2024,M02,February,5.3,Illinois
2024,M01,January,5.1,Illinois
2023,M12,December,4.2,Illinois
2023,M11,November,4.1,Illinois
2023,M10,October,4.5,Illinois
2023,M09,September,4.7,Illinois
2023,M08,August,5.1,Illinois
2023,M07,July,4.7,Illinois
2023,M06,June,4.8,Illinois
2023,M05,May,4,Illinois
2023,M04,April,3.8,Illinois
2023,M03,March,4.3,Illinois
2023,M02,February,4.7,Illinois
2023,M01,January,4.7,Illinois
2022,M12,December,4,Illinois
2022,M11,November,4.2,Illinois
2022,M10,October,4.3,Illinois
2022,M09,September,4.3,Illinois
2022,M08,August,4.9,Illinois
2022,M07,July,4.8,Illinois
2022,M06,June,4.9,Illinois
2022,M05,May,4.4,Illinois
2022,M04,April,4.3,Illinois
2022,M03,March,4.6,Illinois
2022,M02,February,5,Illinois
2022,M01,January,5.2,Illinois
2021,M12,December,4.2,Illinois
2021,M11,November,4.4,Illinois
2021,M10,October,4.9,Illinois
2021,M09,September,5.2,Illinois
2021,M08,August,6.2,Illinois
2021,M07,July,6.6,Illinois
2021,M06,June,7.3,Illinois
2021,M05,May,6.2,Illinois
2021,M04,April,6.5,Illinois
2021,M03,March,6.7,Illinois
2021,M02,February,7.3,Illinois
2021,M01,January,7.8,Illinois
2020,M12,December,7.7,Illinois
2020,M11,November,7.2,Illinois
2020,M10,October,7.4,Illinois
2020,M09,September,8.9,Illinois
2020,M08,August,9.6,Illinois
2020,M07,July,11.9,Illinois
2020,M06,June,13,Illinois
2020,M05,May,14.8,Illinois
2020,M04,April,17.8,Illinois
2020,M03,March,5.6,Illinois
2020,M02,February,3.9,Illinois
2020,M01,January,4,Illinois
2019,M12,December,3.3,Illinois
2019,M11,November,3.2,Illinois
2019,M10,October,3.5,Illinois
2019,M09,September,3.5,Illinois
2019,M08,August,3.9,Illinois
2019,M07,July,4.2,Illinois
2019,M06,June,4.1,Illinois
2019,M05,May,3.6,Illinois
2019,M04,April,3.9,Illinois
2019,M03,March,4.5,Illinois
2019,M02,February,4.8,Illinois
2019,M01,January,5.3,Illinois
