year,period,periodName,Unemployment_Rate,Location
2024,M08,August,4.4,Indiana
2024,M07,July,5,Indiana
2024,M06,June,4.4,Indiana
2024,M05,May,3.9,Indiana
2024,M04,April,3.4,Indiana
2024,M03,March,4.1,Indiana
2024,M02,February,4.2,Indiana
2024,M01,January,3.8,Indiana
2023,M12,December,2.9,Indiana
2023,M11,November,3.2,Indiana
2023,M10,October,3.1,Indiana
2023,M09,September,3,Indiana
2023,M08,August,3.5,Indiana
2023,M07,July,3.7,Indiana
2023,M06,June,3.5,Indiana
2023,M05,May,3.4,Indiana
2023,M04,April,2.7,Indiana
2023,M03,March,3.6,Indiana
2023,M02,February,3.8,Indiana
2023,M01,January,3.6,Indiana
2022,M12,December,2.7,Indiana
2022,M11,November,3.1,Indiana
2022,M10,October,3,Indiana
2022,M09,September,2.5,Indiana
2022,M08,August,3.2,Indiana
2022,M07,July,3.4,Indiana
2022,M06,June,3.3,Indiana
2022,M05,May,2.8,Indiana
2022,M04,April,2.5,Indiana
2022,M03,March,3.3,Indiana
2022,M02,February,3.5,Indiana
2022,M01,January,3.4,Indiana
2021,M12,December,2.5,Indiana
2021,M11,November,2.8,Indiana
2021,M10,October,2.9,Indiana
2021,M09,September,3.1,Indiana
2021,M08,August,3.6,Indiana
2021,M07,July,4.1,Indiana
2021,M06,June,4.5,Indiana
2021,M05,May,4.2,Indiana
2021,M04,April,4.1,Indiana
2021,M03,March,4.9,Indiana
2021,M02,February,5.1,Indiana
2021,M01,January,5.2,Indiana
2020,M12,December,4.6,Indiana
2020,M11,November,4.9,Indiana
2020,M10,October,5.2,Indiana
2020,M09,September,6,Indiana
2020,M08,August,6.8,Indiana
2020,M07,July,9.3,Indiana
2020,M06,June,10.3,Indiana
2020,M05,May,12.8,Indiana
2020,M04,April,16.4,Indiana
2020,M03,March,4.4,Indiana
2020,M02,February,3.6,Indiana
2020,M01,January,3.7,Indiana
2019,M12,December,2.9,Indiana
2019,M11,November,3.1,Indiana
2019,M10,October,3,Indiana
2019,M09,September,2.7,Indiana
2019,M08,August,3.2,Indiana
2019,M07,July,3.6,Indiana
2019,M06,June,3.4,Indiana
2019,M05,May,3,Indiana
2019,M04,April,2.8,Indiana
2019,M03,March,3.8,Indiana
2019,M02,February,4,Indiana
2019,M01,January,4.2,Indiana
