year,period,periodName,Unemployment_Rate,Location
2024,M08,August,5.1,Kentucky
2024,M07,July,5.4,Kentucky
2024,M06,June,5,Kentucky
2024,M05,May,4.5,Kentucky
2024,M04,April,4.4,Kentucky
2024,M03,March,5.1,Kentucky
2024,M02,February,5.1,Kentucky
2024,M01,January,4.8,Kentucky
2023,M12,December,3.9,Kentucky
2023,M11,November,3.8,Kentucky
2023,M10,October,3.9,Kentucky
2023,M09,September,4,Kentucky
2023,M08,August,4.1,Kentucky
2023,M07,July,4.6,Kentucky
2023,M06,June,4.7,Kentucky
2023,M05,May,4.1,Kentucky
2023,M04,April,3.5,Kentucky
2023,M03,March,4.3,Kentucky
2023,M02,February,4.7,Kentucky
2023,M01,January,4.5,Kentucky
2022,M12,December,3.6,Kentucky
2022,M11,November,3.7,Kentucky
2022,M10,October,3.9,Kentucky
2022,M09,September,3.7,Kentucky
2022,M08,August,4,Kentucky
2022,M07,July,4.5,Kentucky
2022,M06,June,4.5,Kentucky
2022,M05,May,3.9,Kentucky
2022,M04,April,3.5,Kentucky
2022,M03,March,4.4,Kentucky
2022,M02,February,4.4,Kentucky
2022,M01,January,4.5,Kentucky
2021,M12,December,3.6,Kentucky
2021,M11,November,3.7,Kentucky
2021,M10,October,4,Kentucky
2021,M09,September,4.1,Kentucky
2021,M08,August,4.2,Kentucky
2021,M07,July,5,Kentucky
2021,M06,June,5.5,Kentucky
2021,M05,May,4.2,Kentucky
2021,M04,April,4.2,Kentucky
2021,M03,March,4.9,Kentucky
2021,M02,February,5.1,Kentucky
2021,M01,January,5.1,Kentucky
2020,M12,December,4.6,Kentucky
2020,M11,November,4.1,Kentucky
2020,M10,October,4.3,Kentucky
2020,M09,September,4.8,Kentucky
2020,M08,August,4.8,Kentucky
2020,M07,July,6.1,Kentucky
2020,M06,June,5.8,Kentucky
2020,M05,May,13,Kentucky
2020,M04,April,16.2,Kentucky
2020,M03,March,5.2,Kentucky
2020,M02,February,4.4,Kentucky
2020,M01,January,4.5,Kentucky
2019,M12,December,3.6,Kentucky
2019,M11,November,3.5,Kentucky
2019,M10,October,3.6,Kentucky
2019,M09,September,3.6,Kentucky
2019,M08,August,3.9,Kentucky
2019,M07,July,4.7,Kentucky
2019,M06,June,4.6,Kentucky
2019,M05,May,4,Kentucky
2019,M04,April,3.7,Kentucky
2019,M03,March,4.7,Kentucky
2019,M02,February,4.7,Kentucky
2019,M01,January,4.7,Kentucky
