year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.4,Maryland
2024,M07,July,3.3,Maryland
2024,M06,June,3.2,Maryland
2024,M05,May,2.3,Maryland
2024,M04,April,2.7,Maryland
2024,M03,March,2.9,Maryland
2024,M02,February,2.9,Maryland
2024,M01,January,2.8,Maryland
2023,M12,December,2.1,Maryland
2023,M11,November,2.1,Maryland
2023,M10,October,2.3,Maryland
2023,M09,September,2.1,Maryland
2023,M08,August,2.3,Maryland
2023,M07,July,2.2,Maryland
2023,M06,June,2,Maryland
2023,M05,May,1.8,Maryland
2023,M04,April,1.5,Maryland
2023,M03,March,2.1,Maryland
2023,M02,February,2.5,Maryland
2023,M01,January,2.6,Maryland
2022,M12,December,2.2,Maryland
2022,M11,November,2.5,Maryland
2022,M10,October,2.8,Maryland
2022,M09,September,2.7,Maryland
2022,M08,August,3.2,Maryland
2022,M07,July,3.2,Maryland
2022,M06,June,3.4,Maryland
2022,M05,May,2.8,Maryland
2022,M04,April,2.7,Maryland
2022,M03,March,3.2,Maryland
2022,M02,February,3.6,Maryland
2022,M01,January,3.7,Maryland
2021,M12,December,3.1,Maryland
2021,M11,November,3.7,Maryland
2021,M10,October,4.2,Maryland
2021,M09,September,4.4,Maryland
2021,M08,August,5.2,Maryland
2021,M07,July,5.5,Maryland
2021,M06,June,6.1,Maryland
2021,M05,May,5.5,Maryland
2021,M04,April,5.6,Maryland
2021,M03,March,6.1,Maryland
2021,M02,February,6.5,Maryland
2021,M01,January,6.6,Maryland
2020,M12,December,6.3,Maryland
2020,M11,November,6.2,Maryland
2020,M10,October,6.4,Maryland
2020,M09,September,6.9,Maryland
2020,M08,August,7,Maryland
2020,M07,July,8,Maryland
2020,M06,June,8.2,Maryland
2020,M05,May,9.1,Maryland
2020,M04,April,8.6,Maryland
2020,M03,March,4.1,Maryland
2020,M02,February,3.4,Maryland
2020,M01,January,3.5,Maryland
2019,M12,December,2.9,Maryland
2019,M11,November,3,Maryland
2019,M10,October,3.1,Maryland
2019,M09,September,3,Maryland
2019,M08,August,3.5,Maryland
2019,M07,July,3.7,Maryland
2019,M06,June,3.6,Maryland
2019,M05,May,3.1,Maryland
2019,M04,April,3,Maryland
2019,M03,March,3.6,Maryland
2019,M02,February,3.8,Maryland
2019,M01,January,4.1,Maryland
