year,period,periodName,Unemployment_Rate,Location
2026,M06,June,4.2,Massachusetts
2026,M05,May,4.1,Massachusetts
2026,M04,April,4.1,Massachusetts
2026,M03,March,4.6,Massachusetts
2026,M02,February,5.1,Massachusetts
2026,M01,January,5.2,Massachusetts
2025,M12,December,4.6,Massachusetts
2025,M11,November,4.6,Massachusetts
2025,M10,October,NA,Massachusetts
2025,M09,September,4.4,Massachusetts
2025,M08,August,4.6,Massachusetts
2025,M07,July,4.7,Massachusetts
2025,M06,June,4.5,Massachusetts
2025,M05,May,4.4,Massachusetts
2025,M04,April,4,Massachusetts
2025,M03,March,4.5,Massachusetts
2025,M02,February,4.8,Massachusetts
2025,M01,January,4.6,Massachusetts
2024,M12,December,3.9,Massachusetts
2024,M11,November,3.8,Massachusetts
2024,M10,October,3.8,Massachusetts
2024,M09,September,3.7,Massachusetts
2024,M08,August,4.3,Massachusetts
2024,M07,July,4.5,Massachusetts
2024,M06,June,4.1,Massachusetts
2024,M05,May,3.9,Massachusetts
2024,M04,April,3.4,Massachusetts
2024,M03,March,4,Massachusetts
2024,M02,February,4.3,Massachusetts
2024,M01,January,4.1,Massachusetts
2023,M12,December,3.6,Massachusetts
2023,M11,November,3.2,Massachusetts
2023,M10,October,3.3,Massachusetts
2023,M09,September,3.2,Massachusetts
2023,M08,August,3.6,Massachusetts
2023,M07,July,3.6,Massachusetts
2023,M06,June,3.6,Massachusetts
2023,M05,May,3.3,Massachusetts
2023,M04,April,2.8,Massachusetts
2023,M03,March,3.7,Massachusetts
2023,M02,February,4,Massachusetts
2023,M01,January,4,Massachusetts
2022,M12,December,3.3,Massachusetts
2022,M11,November,3.2,Massachusetts
2022,M10,October,3.4,Massachusetts
2022,M09,September,3.3,Massachusetts
2022,M08,August,3.9,Massachusetts
2022,M07,July,3.9,Massachusetts
2022,M06,June,3.8,Massachusetts
2022,M05,May,3.5,Massachusetts
2022,M04,April,3.3,Massachusetts
2022,M03,March,3.8,Massachusetts
2022,M02,February,4.2,Massachusetts
2022,M01,January,4.4,Massachusetts
2021,M12,December,3.6,Massachusetts
2021,M11,November,3.7,Massachusetts
2021,M10,October,4.1,Massachusetts
2021,M09,September,4.4,Massachusetts
2021,M08,August,5.1,Massachusetts
2021,M07,July,5.6,Massachusetts
2021,M06,June,5.9,Massachusetts
2021,M05,May,5.4,Massachusetts
2021,M04,April,5.6,Massachusetts
2021,M03,March,6.3,Massachusetts
2021,M02,February,6.9,Massachusetts
2021,M01,January,7.2,Massachusetts
2020,M12,December,7.2,Massachusetts
2020,M11,November,7.3,Massachusetts
2020,M10,October,7.9,Massachusetts
2020,M09,September,9.5,Massachusetts
2020,M08,August,10.2,Massachusetts
2020,M07,July,12.8,Massachusetts
2020,M06,June,14.7,Massachusetts
2020,M05,May,14.5,Massachusetts
2020,M04,April,17.2,Massachusetts
2020,M03,March,3.8,Massachusetts
2020,M02,February,3.4,Massachusetts
2020,M01,January,3.5,Massachusetts
2019,M12,December,2.7,Massachusetts
2019,M11,November,2.5,Massachusetts
2019,M10,October,2.6,Massachusetts
2019,M09,September,2.7,Massachusetts
2019,M08,August,3.1,Massachusetts
2019,M07,July,3.3,Massachusetts
2019,M06,June,3.2,Massachusetts
2019,M05,May,2.9,Massachusetts
2019,M04,April,2.7,Massachusetts
2019,M03,March,3.4,Massachusetts
2019,M02,February,3.6,Massachusetts
2019,M01,January,3.9,Massachusetts
