year,period,periodName,Unemployment_Rate,Location
2024,M08,August,4.5,Michigan
2024,M07,July,5.8,Michigan
2024,M06,June,5,Michigan
2024,M05,May,4.1,Michigan
2024,M04,April,3.8,Michigan
2024,M03,March,3.9,Michigan
2024,M02,February,4.2,Michigan
2024,M01,January,4,Michigan
2023,M12,December,3.5,Michigan
2023,M11,November,3.3,Michigan
2023,M10,October,3.8,Michigan
2023,M09,September,3.8,Michigan
2023,M08,August,4.2,Michigan
2023,M07,July,4.3,Michigan
2023,M06,June,4.1,Michigan
2023,M05,May,3.8,Michigan
2023,M04,April,3.1,Michigan
2023,M03,March,4,Michigan
2023,M02,February,4.4,Michigan
2023,M01,January,4.5,Michigan
2022,M12,December,3.7,Michigan
2022,M11,November,3.4,Michigan
2022,M10,October,3.7,Michigan
2022,M09,September,3.7,Michigan
2022,M08,August,4.2,Michigan
2022,M07,July,4.4,Michigan
2022,M06,June,4.4,Michigan
2022,M05,May,4.2,Michigan
2022,M04,April,3.9,Michigan
2022,M03,March,4.4,Michigan
2022,M02,February,4.8,Michigan
2022,M01,January,5,Michigan
2021,M12,December,4,Michigan
2021,M11,November,3.8,Michigan
2021,M10,October,4.4,Michigan
2021,M09,September,5.1,Michigan
2021,M08,August,6,Michigan
2021,M07,July,6.6,Michigan
2021,M06,June,6.7,Michigan
2021,M05,May,6.2,Michigan
2021,M04,April,6.1,Michigan
2021,M03,March,6.5,Michigan
2021,M02,February,6.6,Michigan
2021,M01,January,7,Michigan
2020,M12,December,7,Michigan
2020,M11,November,6.4,Michigan
2020,M10,October,6.9,Michigan
2020,M09,September,8.7,Michigan
2020,M08,August,9.7,Michigan
2020,M07,July,12.9,Michigan
2020,M06,June,14.6,Michigan
2020,M05,May,19.6,Michigan
2020,M04,April,22.4,Michigan
2020,M03,March,4.5,Michigan
2020,M02,February,3.7,Michigan
2020,M01,January,4.1,Michigan
2019,M12,December,3.5,Michigan
2019,M11,November,3.2,Michigan
2019,M10,October,3.4,Michigan
2019,M09,September,3.6,Michigan
2019,M08,August,4.2,Michigan
2019,M07,July,4.9,Michigan
2019,M06,June,4.3,Michigan
2019,M05,May,4,Michigan
2019,M04,April,3.8,Michigan
2019,M03,March,4.7,Michigan
2019,M02,February,4.5,Michigan
2019,M01,January,4.7,Michigan
