year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.9,Minnesota
2024,M07,July,3.8,Minnesota
2024,M06,June,3.8,Minnesota
2024,M05,May,2.7,Minnesota
2024,M04,April,2.7,Minnesota
2024,M03,March,3.2,Minnesota
2024,M02,February,3.6,Minnesota
2024,M01,January,3.3,Minnesota
2023,M12,December,2.6,Minnesota
2023,M11,November,1.9,Minnesota
2023,M10,October,2.2,Minnesota
2023,M09,September,2.3,Minnesota
2023,M08,August,3.1,Minnesota
2023,M07,July,3,Minnesota
2023,M06,June,3.3,Minnesota
2023,M05,May,2.6,Minnesota
2023,M04,April,2.8,Minnesota
2023,M03,March,3.3,Minnesota
2023,M02,February,3.4,Minnesota
2023,M01,January,3.3,Minnesota
2022,M12,December,2.9,Minnesota
2022,M11,November,2.2,Minnesota
2022,M10,October,2.1,Minnesota
2022,M09,September,2.1,Minnesota
2022,M08,August,2.6,Minnesota
2022,M07,July,2.4,Minnesota
2022,M06,June,2.7,Minnesota
2022,M05,May,2.1,Minnesota
2022,M04,April,2.2,Minnesota
2022,M03,March,2.9,Minnesota
2022,M02,February,3.1,Minnesota
2022,M01,January,3.4,Minnesota
2021,M12,December,2.8,Minnesota
2021,M11,November,2.4,Minnesota
2021,M10,October,2.7,Minnesota
2021,M09,September,3.1,Minnesota
2021,M08,August,3.5,Minnesota
2021,M07,July,3.6,Minnesota
2021,M06,June,4.3,Minnesota
2021,M05,May,3.7,Minnesota
2021,M04,April,4,Minnesota
2021,M03,March,4.6,Minnesota
2021,M02,February,4.8,Minnesota
2021,M01,January,5.2,Minnesota
2020,M12,December,4.9,Minnesota
2020,M11,November,4.2,Minnesota
2020,M10,October,4.7,Minnesota
2020,M09,September,5.6,Minnesota
2020,M08,August,6.2,Minnesota
2020,M07,July,8,Minnesota
2020,M06,June,9.1,Minnesota
2020,M05,May,11.2,Minnesota
2020,M04,April,8.7,Minnesota
2020,M03,March,4.8,Minnesota
2020,M02,February,3.8,Minnesota
2020,M01,January,3.9,Minnesota
2019,M12,December,3.4,Minnesota
2019,M11,November,2.8,Minnesota
2019,M10,October,2.7,Minnesota
2019,M09,September,2.6,Minnesota
2019,M08,August,3.1,Minnesota
2019,M07,July,3.3,Minnesota
2019,M06,June,3.4,Minnesota
2019,M05,May,2.9,Minnesota
2019,M04,April,3.1,Minnesota
2019,M03,March,3.9,Minnesota
2019,M02,February,3.8,Minnesota
2019,M01,January,4.2,Minnesota
