year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.9,Missouri
2024,M07,July,4.6,Missouri
2024,M06,June,4.2,Missouri
2024,M05,May,3.9,Missouri
2024,M04,April,3.2,Missouri
2024,M03,March,3.7,Missouri
2024,M02,February,4,Missouri
2024,M01,January,3.8,Missouri
2023,M12,December,2.9,Missouri
2023,M11,November,2.8,Missouri
2023,M10,October,3.1,Missouri
2023,M09,September,2.7,Missouri
2023,M08,August,3.3,Missouri
2023,M07,July,3.3,Missouri
2023,M06,June,3.2,Missouri
2023,M05,May,3.1,Missouri
2023,M04,April,2.6,Missouri
2023,M03,March,3.2,Missouri
2023,M02,February,3.3,Missouri
2023,M01,January,3.2,Missouri
2022,M12,December,2.4,Missouri
2022,M11,November,2.4,Missouri
2022,M10,October,2.5,Missouri
2022,M09,September,2,Missouri
2022,M08,August,2.8,Missouri
2022,M07,July,2.8,Missouri
2022,M06,June,2.3,Missouri
2022,M05,May,2.3,Missouri
2022,M04,April,2.1,Missouri
2022,M03,March,3,Missouri
2022,M02,February,3.2,Missouri
2022,M01,January,3.5,Missouri
2021,M12,December,2.8,Missouri
2021,M11,November,2.8,Missouri
2021,M10,October,3.1,Missouri
2021,M09,September,3.1,Missouri
2021,M08,August,4.1,Missouri
2021,M07,July,4.3,Missouri
2021,M06,June,4.7,Missouri
2021,M05,May,4.6,Missouri
2021,M04,April,4.4,Missouri
2021,M03,March,5,Missouri
2021,M02,February,5.3,Missouri
2021,M01,January,5.5,Missouri
2020,M12,December,4.9,Missouri
2020,M11,November,4.6,Missouri
2020,M10,October,4.5,Missouri
2020,M09,September,5.2,Missouri
2020,M08,August,6.4,Missouri
2020,M07,July,8,Missouri
2020,M06,June,8.5,Missouri
2020,M05,May,9.8,Missouri
2020,M04,April,10.9,Missouri
2020,M03,March,4.2,Missouri
2020,M02,February,3.5,Missouri
2020,M01,January,3.8,Missouri
2019,M12,December,3.2,Missouri
2019,M11,November,3,Missouri
2019,M10,October,2.8,Missouri
2019,M09,September,2.6,Missouri
2019,M08,August,3.4,Missouri
2019,M07,July,3.5,Missouri
2019,M06,June,3.2,Missouri
2019,M05,May,3,Missouri
2019,M04,April,2.8,Missouri
2019,M03,March,3.7,Missouri
2019,M02,February,3.7,Missouri
2019,M01,January,3.9,Missouri
