year,period,periodName,Unemployment_Rate,Location
2024,M08,August,2.6,Nebraska
2024,M07,July,2.9,Nebraska
2024,M06,June,3.1,Nebraska
2024,M05,May,2.6,Nebraska
2024,M04,April,2.3,Nebraska
2024,M03,March,2.6,Nebraska
2024,M02,February,2.9,Nebraska
2024,M01,January,2.7,Nebraska
2023,M12,December,2.2,Nebraska
2023,M11,November,2.1,Nebraska
2023,M10,October,2.5,Nebraska
2023,M09,September,2.2,Nebraska
2023,M08,August,2.2,Nebraska
2023,M07,July,2.4,Nebraska
2023,M06,June,2.5,Nebraska
2023,M05,May,2.2,Nebraska
2023,M04,April,2,Nebraska
2023,M03,March,2.2,Nebraska
2023,M02,February,2.3,Nebraska
2023,M01,January,2.3,Nebraska
2022,M12,December,2,Nebraska
2022,M11,November,2,Nebraska
2022,M10,October,2.1,Nebraska
2022,M09,September,2,Nebraska
2022,M08,August,2.2,Nebraska
2022,M07,July,2.4,Nebraska
2022,M06,June,2.5,Nebraska
2022,M05,May,1.9,Nebraska
2022,M04,April,1.9,Nebraska
2022,M03,March,2.2,Nebraska
2022,M02,February,2.3,Nebraska
2022,M01,January,2.4,Nebraska
2021,M12,December,1.8,Nebraska
2021,M11,November,1.8,Nebraska
2021,M10,October,2.1,Nebraska
2021,M09,September,2.1,Nebraska
2021,M08,August,2.5,Nebraska
2021,M07,July,2.8,Nebraska
2021,M06,June,3.1,Nebraska
2021,M05,May,2.6,Nebraska
2021,M04,April,2.7,Nebraska
2021,M03,March,3.1,Nebraska
2021,M02,February,3.4,Nebraska
2021,M01,January,3.4,Nebraska
2020,M12,December,2.8,Nebraska
2020,M11,November,2.5,Nebraska
2020,M10,October,2.5,Nebraska
2020,M09,September,3.2,Nebraska
2020,M08,August,3.5,Nebraska
2020,M07,July,4.8,Nebraska
2020,M06,June,5.6,Nebraska
2020,M05,May,6.6,Nebraska
2020,M04,April,7.9,Nebraska
2020,M03,March,5,Nebraska
2020,M02,February,3.1,Nebraska
2020,M01,January,3.3,Nebraska
2019,M12,December,2.8,Nebraska
2019,M11,November,2.8,Nebraska
2019,M10,October,3,Nebraska
2019,M09,September,2.7,Nebraska
2019,M08,August,3.1,Nebraska
2019,M07,July,3.4,Nebraska
2019,M06,June,3.4,Nebraska
2019,M05,May,3,Nebraska
2019,M04,April,2.9,Nebraska
2019,M03,March,3.4,Nebraska
2019,M02,February,3.3,Nebraska
2019,M01,January,3.6,Nebraska
