year,period,periodName,Unemployment_Rate,Location
2026,M06,June,4.9,Nevada
2026,M05,May,5,Nevada
2026,M04,April,4.8,Nevada
2026,M03,March,5.1,Nevada
2026,M02,February,5.5,Nevada
2026,M01,January,5.6,Nevada
2025,M12,December,4.9,Nevada
2025,M11,November,5.2,Nevada
2025,M10,October,NA,Nevada
2025,M09,September,5.4,Nevada
2025,M08,August,5.3,Nevada
2025,M07,July,5.5,Nevada
2025,M06,June,5.4,Nevada
2025,M05,May,5.2,Nevada
2025,M04,April,5.1,Nevada
2025,M03,March,5.2,Nevada
2025,M02,February,5.4,Nevada
2025,M01,January,5.5,Nevada
2024,M12,December,5.2,Nevada
2024,M11,November,5.3,Nevada
2024,M10,October,5.3,Nevada
2024,M09,September,5.3,Nevada
2024,M08,August,5.7,Nevada
2024,M07,July,5.9,Nevada
2024,M06,June,5.7,Nevada
2024,M05,May,5.2,Nevada
2024,M04,April,5.1,Nevada
2024,M03,March,5.3,Nevada
2024,M02,February,5.4,Nevada
2024,M01,January,5.3,Nevada
2023,M12,December,5,Nevada
2023,M11,November,4.9,Nevada
2023,M10,October,5.1,Nevada
2023,M09,September,5.2,Nevada
2023,M08,August,5.3,Nevada
2023,M07,July,5.3,Nevada
2023,M06,June,5.2,Nevada
2023,M05,May,5.1,Nevada
2023,M04,April,4.8,Nevada
2023,M03,March,5,Nevada
2023,M02,February,5.3,Nevada
2023,M01,January,5.4,Nevada
2022,M12,December,5,Nevada
2022,M11,November,5.1,Nevada
2022,M10,October,5.2,Nevada
2022,M09,September,5.1,Nevada
2022,M08,August,5.4,Nevada
2022,M07,July,5.4,Nevada
2022,M06,June,5.5,Nevada
2022,M05,May,5.1,Nevada
2022,M04,April,5,Nevada
2022,M03,March,5,Nevada
2022,M02,February,5.3,Nevada
2022,M01,January,5.6,Nevada
2021,M12,December,4.9,Nevada
2021,M11,November,5.1,Nevada
2021,M10,October,5.3,Nevada
2021,M09,September,5.7,Nevada
2021,M08,August,6.4,Nevada
2021,M07,July,7,Nevada
2021,M06,June,7.4,Nevada
2021,M05,May,7,Nevada
2021,M04,April,7.6,Nevada
2021,M03,March,7.9,Nevada
2021,M02,February,8.6,Nevada
2021,M01,January,9.2,Nevada
2020,M12,December,9.5,Nevada
2020,M11,November,9.8,Nevada
2020,M10,October,10.6,Nevada
2020,M09,September,12.8,Nevada
2020,M08,August,13.8,Nevada
2020,M07,July,17.3,Nevada
2020,M06,June,19.2,Nevada
2020,M05,May,25,Nevada
2020,M04,April,30.1,Nevada
2020,M03,March,7.6,Nevada
2020,M02,February,4.2,Nevada
2020,M01,January,4.4,Nevada
2019,M12,December,4,Nevada
2019,M11,November,3.8,Nevada
2019,M10,October,3.9,Nevada
2019,M09,September,3.9,Nevada
2019,M08,August,4.1,Nevada
2019,M07,July,4.4,Nevada
2019,M06,June,4.3,Nevada
2019,M05,May,4,Nevada
2019,M04,April,4,Nevada
2019,M03,March,4.2,Nevada
2019,M02,February,4.3,Nevada
2019,M01,January,4.8,Nevada
