year,period,periodName,Unemployment_Rate,Location
2026,M06,June,2.5,New Hampshire
2026,M05,May,2.6,New Hampshire
2026,M04,April,3,New Hampshire
2026,M03,March,3,New Hampshire
2026,M02,February,3.4,New Hampshire
2026,M01,January,3.6,New Hampshire
2025,M12,December,3.1,New Hampshire
2025,M11,November,3.2,New Hampshire
2025,M10,October,NA,New Hampshire
2025,M09,September,3.1,New Hampshire
2025,M08,August,3.2,New Hampshire
2025,M07,July,3.2,New Hampshire
2025,M06,June,3,New Hampshire
2025,M05,May,2.9,New Hampshire
2025,M04,April,3,New Hampshire
2025,M03,March,3.4,New Hampshire
2025,M02,February,3.5,New Hampshire
2025,M01,January,3.4,New Hampshire
2024,M12,December,2.7,New Hampshire
2024,M11,November,2.8,New Hampshire
2024,M10,October,2.5,New Hampshire
2024,M09,September,2.4,New Hampshire
2024,M08,August,2.8,New Hampshire
2024,M07,July,2.8,New Hampshire
2024,M06,June,2.5,New Hampshire
2024,M05,May,2.1,New Hampshire
2024,M04,April,2.2,New Hampshire
2024,M03,March,2.6,New Hampshire
2024,M02,February,2.8,New Hampshire
2024,M01,January,2.6,New Hampshire
2023,M12,December,2.1,New Hampshire
2023,M11,November,2.1,New Hampshire
2023,M10,October,2.1,New Hampshire
2023,M09,September,2.2,New Hampshire
2023,M08,August,2.4,New Hampshire
2023,M07,July,2.2,New Hampshire
2023,M06,June,2.2,New Hampshire
2023,M05,May,2,New Hampshire
2023,M04,April,1.9,New Hampshire
2023,M03,March,2.5,New Hampshire
2023,M02,February,2.8,New Hampshire
2023,M01,January,2.8,New Hampshire
2022,M12,December,2.2,New Hampshire
2022,M11,November,2.4,New Hampshire
2022,M10,October,2.4,New Hampshire
2022,M09,September,2.4,New Hampshire
2022,M08,August,2.7,New Hampshire
2022,M07,July,2.4,New Hampshire
2022,M06,June,2.3,New Hampshire
2022,M05,May,2.1,New Hampshire
2022,M04,April,2.2,New Hampshire
2022,M03,March,2.5,New Hampshire
2022,M02,February,2.7,New Hampshire
2022,M01,January,2.9,New Hampshire
2021,M12,December,2.1,New Hampshire
2021,M11,November,2.3,New Hampshire
2021,M10,October,2.5,New Hampshire
2021,M09,September,2.9,New Hampshire
2021,M08,August,3.3,New Hampshire
2021,M07,July,3.6,New Hampshire
2021,M06,June,3.8,New Hampshire
2021,M05,May,3.5,New Hampshire
2021,M04,April,3.9,New Hampshire
2021,M03,March,4.4,New Hampshire
2021,M02,February,4.6,New Hampshire
2021,M01,January,4.7,New Hampshire
2020,M12,December,4.4,New Hampshire
2020,M11,November,4.6,New Hampshire
2020,M10,October,4.8,New Hampshire
2020,M09,September,6,New Hampshire
2020,M08,August,6.5,New Hampshire
2020,M07,July,8.4,New Hampshire
2020,M06,June,9.5,New Hampshire
2020,M05,May,11.9,New Hampshire
2020,M04,April,15.8,New Hampshire
2020,M03,March,3.2,New Hampshire
2020,M02,February,2.9,New Hampshire
2020,M01,January,3,New Hampshire
2019,M12,December,2.2,New Hampshire
2019,M11,November,2.2,New Hampshire
2019,M10,October,2.2,New Hampshire
2019,M09,September,2.3,New Hampshire
2019,M08,August,2.6,New Hampshire
2019,M07,July,2.6,New Hampshire
2019,M06,June,2.5,New Hampshire
2019,M05,May,2.4,New Hampshire
2019,M04,April,2.5,New Hampshire
2019,M03,March,3,New Hampshire
2019,M02,February,3,New Hampshire
2019,M01,January,3.2,New Hampshire
