year,period,periodName,Unemployment_Rate,Location
2024,M08,August,5.4,New Jersey
2024,M07,July,5.4,New Jersey
2024,M06,June,4.8,New Jersey
2024,M05,May,4.5,New Jersey
2024,M04,April,4.1,New Jersey
2024,M03,March,4.8,New Jersey
2024,M02,February,5.1,New Jersey
2024,M01,January,5.2,New Jersey
2023,M12,December,4.5,New Jersey
2023,M11,November,4.4,New Jersey
2023,M10,October,4.5,New Jersey
2023,M09,September,4.5,New Jersey
2023,M08,August,4.9,New Jersey
2023,M07,July,4.8,New Jersey
2023,M06,June,4.6,New Jersey
2023,M05,May,4.3,New Jersey
2023,M04,April,3.7,New Jersey
2023,M03,March,4.2,New Jersey
2023,M02,February,4.5,New Jersey
2023,M01,January,4.3,New Jersey
2022,M12,December,3.4,New Jersey
2022,M11,November,3.3,New Jersey
2022,M10,October,3.2,New Jersey
2022,M09,September,3,New Jersey
2022,M08,August,3.3,New Jersey
2022,M07,July,3.8,New Jersey
2022,M06,June,3.8,New Jersey
2022,M05,May,3.6,New Jersey
2022,M04,April,3.8,New Jersey
2022,M03,March,4.5,New Jersey
2022,M02,February,5.2,New Jersey
2022,M01,January,5.7,New Jersey
2021,M12,December,5.1,New Jersey
2021,M11,November,5.2,New Jersey
2021,M10,October,5.5,New Jersey
2021,M09,September,6.1,New Jersey
2021,M08,August,6.8,New Jersey
2021,M07,July,7.4,New Jersey
2021,M06,June,7.5,New Jersey
2021,M05,May,6.7,New Jersey
2021,M04,April,6.9,New Jersey
2021,M03,March,7.4,New Jersey
2021,M02,February,7.8,New Jersey
2021,M01,January,7.8,New Jersey
2020,M12,December,6.9,New Jersey
2020,M11,November,6.9,New Jersey
2020,M10,October,6.6,New Jersey
2020,M09,September,7.3,New Jersey
2020,M08,August,13,New Jersey
2020,M07,July,14.9,New Jersey
2020,M06,June,14.5,New Jersey
2020,M05,May,15.6,New Jersey
2020,M04,April,14.4,New Jersey
2020,M03,March,4.9,New Jersey
2020,M02,February,4.3,New Jersey
2020,M01,January,4.3,New Jersey
2019,M12,December,3.5,New Jersey
2019,M11,November,3.4,New Jersey
2019,M10,October,3.3,New Jersey
2019,M09,September,3.3,New Jersey
2019,M08,August,3.6,New Jersey
2019,M07,July,3.8,New Jersey
2019,M06,June,3.2,New Jersey
2019,M05,May,3,New Jersey
2019,M04,April,2.8,New Jersey
2019,M03,March,3.6,New Jersey
2019,M02,February,4,New Jersey
2019,M01,January,4.1,New Jersey
