year,period,periodName,Unemployment_Rate,Location
2024,M08,August,4.5,New Mexico
2024,M07,July,5.3,New Mexico
2024,M06,June,4.8,New Mexico
2024,M05,May,4,New Mexico
2024,M04,April,3.3,New Mexico
2024,M03,March,3.2,New Mexico
2024,M02,February,3.8,New Mexico
2024,M01,January,4.1,New Mexico
2023,M12,December,3.6,New Mexico
2023,M11,November,3.7,New Mexico
2023,M10,October,3.7,New Mexico
2023,M09,September,3.7,New Mexico
2023,M08,August,4.1,New Mexico
2023,M07,July,4.5,New Mexico
2023,M06,June,4.3,New Mexico
2023,M05,May,3.4,New Mexico
2023,M04,April,3.2,New Mexico
2023,M03,March,3.3,New Mexico
2023,M02,February,3.8,New Mexico
2023,M01,January,3.8,New Mexico
2022,M12,December,3.1,New Mexico
2022,M11,November,3.3,New Mexico
2022,M10,October,3.3,New Mexico
2022,M09,September,3.4,New Mexico
2022,M08,August,3.7,New Mexico
2022,M07,July,4.3,New Mexico
2022,M06,June,4.7,New Mexico
2022,M05,May,3.9,New Mexico
2022,M04,April,4.1,New Mexico
2022,M03,March,4.4,New Mexico
2022,M02,February,5,New Mexico
2022,M01,January,5.6,New Mexico
2021,M12,December,5.1,New Mexico
2021,M11,November,5.5,New Mexico
2021,M10,October,5.7,New Mexico
2021,M09,September,6,New Mexico
2021,M08,August,6.9,New Mexico
2021,M07,July,7.9,New Mexico
2021,M06,June,8.4,New Mexico
2021,M05,May,7.2,New Mexico
2021,M04,April,7.6,New Mexico
2021,M03,March,7.7,New Mexico
2021,M02,February,8.2,New Mexico
2021,M01,January,8.5,New Mexico
2020,M12,December,8.1,New Mexico
2020,M11,November,7.9,New Mexico
2020,M10,October,7.8,New Mexico
2020,M09,September,8.7,New Mexico
2020,M08,August,8.5,New Mexico
2020,M07,July,10,New Mexico
2020,M06,June,9.6,New Mexico
2020,M05,May,9.2,New Mexico
2020,M04,April,8.4,New Mexico
2020,M03,March,6.3,New Mexico
2020,M02,February,5.1,New Mexico
2020,M01,January,5.2,New Mexico
2019,M12,December,4.6,New Mexico
2019,M11,November,4.6,New Mexico
2019,M10,October,4.6,New Mexico
2019,M09,September,4.5,New Mexico
2019,M08,August,5,New Mexico
2019,M07,July,5.9,New Mexico
2019,M06,June,5.7,New Mexico
2019,M05,May,4.6,New Mexico
2019,M04,April,4.6,New Mexico
2019,M03,March,4.7,New Mexico
2019,M02,February,5.1,New Mexico
2019,M01,January,5.5,New Mexico
