year,period,periodName,Unemployment_Rate,Location
2024,M08,August,4.3,North Carolina
2024,M07,July,4.3,North Carolina
2024,M06,June,4.1,North Carolina
2024,M05,May,3.5,North Carolina
2024,M04,April,3.3,North Carolina
2024,M03,March,3.7,North Carolina
2024,M02,February,3.7,North Carolina
2024,M01,January,3.6,North Carolina
2023,M12,December,3.2,North Carolina
2023,M11,November,3.4,North Carolina
2023,M10,October,3.4,North Carolina
2023,M09,September,3.2,North Carolina
2023,M08,August,3.7,North Carolina
2023,M07,July,3.6,North Carolina
2023,M06,June,3.6,North Carolina
2023,M05,May,3.4,North Carolina
2023,M04,April,2.9,North Carolina
2023,M03,March,3.5,North Carolina
2023,M02,February,3.7,North Carolina
2023,M01,January,3.8,North Carolina
2022,M12,December,3.3,North Carolina
2022,M11,November,3.6,North Carolina
2022,M10,October,3.7,North Carolina
2022,M09,September,3.4,North Carolina
2022,M08,August,4.1,North Carolina
2022,M07,July,3.9,North Carolina
2022,M06,June,3.9,North Carolina
2022,M05,May,3.5,North Carolina
2022,M04,April,3.3,North Carolina
2022,M03,March,3.6,North Carolina
2022,M02,February,3.9,North Carolina
2022,M01,January,4.1,North Carolina
2021,M12,December,3.3,North Carolina
2021,M11,November,3.9,North Carolina
2021,M10,October,4.2,North Carolina
2021,M09,September,4.2,North Carolina
2021,M08,August,4.9,North Carolina
2021,M07,July,5.1,North Carolina
2021,M06,June,5.5,North Carolina
2021,M05,May,5.1,North Carolina
2021,M04,April,5.1,North Carolina
2021,M03,March,5.4,North Carolina
2021,M02,February,6,North Carolina
2021,M01,January,6.2,North Carolina
2020,M12,December,5.6,North Carolina
2020,M11,November,5.5,North Carolina
2020,M10,October,5.5,North Carolina
2020,M09,September,6.3,North Carolina
2020,M08,August,6.9,North Carolina
2020,M07,July,9.2,North Carolina
2020,M06,June,9.9,North Carolina
2020,M05,May,11.9,North Carolina
2020,M04,April,13.8,North Carolina
2020,M03,March,4.6,North Carolina
2020,M02,February,3.8,North Carolina
2020,M01,January,4,North Carolina
2019,M12,December,3.4,North Carolina
2019,M11,November,3.6,North Carolina
2019,M10,October,3.6,North Carolina
2019,M09,September,3.4,North Carolina
2019,M08,August,4.1,North Carolina
2019,M07,July,4.2,North Carolina
2019,M06,June,4.1,North Carolina
2019,M05,May,3.8,North Carolina
2019,M04,April,3.5,North Carolina
2019,M03,March,4,North Carolina
2019,M02,February,4.1,North Carolina
2019,M01,January,4.5,North Carolina
