year,period,periodName,Unemployment_Rate,Location
2024,M08,August,2.2,North Dakota
2024,M07,July,2.5,North Dakota
2024,M06,June,2.6,North Dakota
2024,M05,May,2,North Dakota
2024,M04,April,2.2,North Dakota
2024,M03,March,2.6,North Dakota
2024,M02,February,2.6,North Dakota
2024,M01,January,2.5,North Dakota
2023,M12,December,1.8,North Dakota
2023,M11,November,1.4,North Dakota
2023,M10,October,1.3,North Dakota
2023,M09,September,1.4,North Dakota
2023,M08,August,1.6,North Dakota
2023,M07,July,1.7,North Dakota
2023,M06,June,2.1,North Dakota
2023,M05,May,1.7,North Dakota
2023,M04,April,2,North Dakota
2023,M03,March,2.5,North Dakota
2023,M02,February,2.5,North Dakota
2023,M01,January,2.5,North Dakota
2022,M12,December,1.9,North Dakota
2022,M11,November,1.6,North Dakota
2022,M10,October,1.4,North Dakota
2022,M09,September,1.4,North Dakota
2022,M08,August,1.9,North Dakota
2022,M07,July,1.9,North Dakota
2022,M06,June,2.3,North Dakota
2022,M05,May,1.7,North Dakota
2022,M04,April,2.1,North Dakota
2022,M03,March,2.7,North Dakota
2022,M02,February,2.6,North Dakota
2022,M01,January,2.8,North Dakota
2021,M12,December,2.1,North Dakota
2021,M11,November,1.8,North Dakota
2021,M10,October,1.7,North Dakota
2021,M09,September,2,North Dakota
2021,M08,August,2.5,North Dakota
2021,M07,July,2.8,North Dakota
2021,M06,June,3.6,North Dakota
2021,M05,May,2.9,North Dakota
2021,M04,April,3.5,North Dakota
2021,M03,March,4.2,North Dakota
2021,M02,February,4.5,North Dakota
2021,M01,January,4.6,North Dakota
2020,M12,December,4.3,North Dakota
2020,M11,November,4.1,North Dakota
2020,M10,October,3.8,North Dakota
2020,M09,September,4.5,North Dakota
2020,M08,August,5.3,North Dakota
2020,M07,July,6.2,North Dakota
2020,M06,June,6.8,North Dakota
2020,M05,May,7.6,North Dakota
2020,M04,April,8.5,North Dakota
2020,M03,March,3,North Dakota
2020,M02,February,2.5,North Dakota
2020,M01,January,2.7,North Dakota
2019,M12,December,2,North Dakota
2019,M11,November,1.7,North Dakota
2019,M10,October,1.4,North Dakota
2019,M09,September,1.5,North Dakota
2019,M08,August,1.9,North Dakota
2019,M07,July,2.1,North Dakota
2019,M06,June,2.4,North Dakota
2019,M05,May,1.9,North Dakota
2019,M04,April,2.3,North Dakota
2019,M03,March,2.9,North Dakota
2019,M02,February,2.9,North Dakota
2019,M01,January,3.1,North Dakota
