year,period,periodName,Unemployment_Rate,Location
2024,M08,August,4.2,Ohio
2024,M07,July,4.9,Ohio
2024,M06,June,5.1,Ohio
2024,M05,May,4.6,Ohio
2024,M04,April,4.2,Ohio
2024,M03,March,4.5,Ohio
2024,M02,February,4.4,Ohio
2024,M01,January,4.2,Ohio
2023,M12,December,3.1,Ohio
2023,M11,November,3,Ohio
2023,M10,October,3.3,Ohio
2023,M09,September,3.4,Ohio
2023,M08,August,3.6,Ohio
2023,M07,July,3.5,Ohio
2023,M06,June,3.7,Ohio
2023,M05,May,3.3,Ohio
2023,M04,April,3.1,Ohio
2023,M03,March,3.9,Ohio
2023,M02,February,4.2,Ohio
2023,M01,January,4.2,Ohio
2022,M12,December,3.4,Ohio
2022,M11,November,3.4,Ohio
2022,M10,October,3.7,Ohio
2022,M09,September,3.8,Ohio
2022,M08,August,4.2,Ohio
2022,M07,July,4.3,Ohio
2022,M06,June,4.5,Ohio
2022,M05,May,3.7,Ohio
2022,M04,April,3.7,Ohio
2022,M03,March,4.2,Ohio
2022,M02,February,4.6,Ohio
2022,M01,January,4.7,Ohio
2021,M12,December,3.5,Ohio
2021,M11,November,3.6,Ohio
2021,M10,October,3.9,Ohio
2021,M09,September,4.4,Ohio
2021,M08,August,4.9,Ohio
2021,M07,July,5.5,Ohio
2021,M06,June,6,Ohio
2021,M05,May,5.2,Ohio
2021,M04,April,5.5,Ohio
2021,M03,March,5.9,Ohio
2021,M02,February,6.5,Ohio
2021,M01,January,6.7,Ohio
2020,M12,December,5.9,Ohio
2020,M11,November,5.7,Ohio
2020,M10,October,6.1,Ohio
2020,M09,September,7.5,Ohio
2020,M08,August,8,Ohio
2020,M07,July,10,Ohio
2020,M06,June,11.3,Ohio
2020,M05,May,13.3,Ohio
2020,M04,April,15.9,Ohio
2020,M03,March,5.4,Ohio
2020,M02,February,4.7,Ohio
2020,M01,January,5.1,Ohio
2019,M12,December,4,Ohio
2019,M11,November,3.8,Ohio
2019,M10,October,3.8,Ohio
2019,M09,September,3.9,Ohio
2019,M08,August,4.2,Ohio
2019,M07,July,4.6,Ohio
2019,M06,June,4.4,Ohio
2019,M05,May,3.7,Ohio
2019,M04,April,3.6,Ohio
2019,M03,March,4.3,Ohio
2019,M02,February,4.6,Ohio
2019,M01,January,5.1,Ohio
