year,period,periodName,Unemployment_Rate,Location
2026,M06,June,3.9,Pennsylvania
2026,M05,May,3.9,Pennsylvania
2026,M04,April,3.7,Pennsylvania
2026,M03,March,4.1,Pennsylvania
2026,M02,February,4.6,Pennsylvania
2026,M01,January,4.3,Pennsylvania
2025,M12,December,3.7,Pennsylvania
2025,M11,November,3.9,Pennsylvania
2025,M10,October,NA,Pennsylvania
2025,M09,September,4.3,Pennsylvania
2025,M08,August,5.2,Pennsylvania
2025,M07,July,4.8,Pennsylvania
2025,M06,June,4.5,Pennsylvania
2025,M05,May,4,Pennsylvania
2025,M04,April,3.7,Pennsylvania
2025,M03,March,4.1,Pennsylvania
2025,M02,February,4.5,Pennsylvania
2025,M01,January,4.4,Pennsylvania
2024,M12,December,3.6,Pennsylvania
2024,M11,November,3.6,Pennsylvania
2024,M10,October,3.7,Pennsylvania
2024,M09,September,3.5,Pennsylvania
2024,M08,August,4.6,Pennsylvania
2024,M07,July,4.4,Pennsylvania
2024,M06,June,4.1,Pennsylvania
2024,M05,May,3.4,Pennsylvania
2024,M04,April,3.2,Pennsylvania
2024,M03,March,3.7,Pennsylvania
2024,M02,February,4.1,Pennsylvania
2024,M01,January,3.9,Pennsylvania
2023,M12,December,3.3,Pennsylvania
2023,M11,November,3.2,Pennsylvania
2023,M10,October,3.5,Pennsylvania
2023,M09,September,3.4,Pennsylvania
2023,M08,August,4.4,Pennsylvania
2023,M07,July,3.9,Pennsylvania
2023,M06,June,3.8,Pennsylvania
2023,M05,May,3.4,Pennsylvania
2023,M04,April,3.1,Pennsylvania
2023,M03,March,3.7,Pennsylvania
2023,M02,February,4.2,Pennsylvania
2023,M01,January,4.2,Pennsylvania
2022,M12,December,3.4,Pennsylvania
2022,M11,November,3.5,Pennsylvania
2022,M10,October,3.7,Pennsylvania
2022,M09,September,3.6,Pennsylvania
2022,M08,August,5,Pennsylvania
2022,M07,July,4.6,Pennsylvania
2022,M06,June,4.6,Pennsylvania
2022,M05,May,4,Pennsylvania
2022,M04,April,3.8,Pennsylvania
2022,M03,March,4.2,Pennsylvania
2022,M02,February,4.6,Pennsylvania
2022,M01,January,4.8,Pennsylvania
2021,M12,December,3.7,Pennsylvania
2021,M11,November,4.1,Pennsylvania
2021,M10,October,4.8,Pennsylvania
2021,M09,September,5,Pennsylvania
2021,M08,August,6.3,Pennsylvania
2021,M07,July,6.4,Pennsylvania
2021,M06,June,6.7,Pennsylvania
2021,M05,May,6.1,Pennsylvania
2021,M04,April,6.2,Pennsylvania
2021,M03,March,6.7,Pennsylvania
2021,M02,February,7.3,Pennsylvania
2021,M01,January,7.6,Pennsylvania
2020,M12,December,7.8,Pennsylvania
2020,M11,November,7.3,Pennsylvania
2020,M10,October,7.4,Pennsylvania
2020,M09,September,8.5,Pennsylvania
2020,M08,August,9.4,Pennsylvania
2020,M07,July,11.2,Pennsylvania
2020,M06,June,11.9,Pennsylvania
2020,M05,May,13,Pennsylvania
2020,M04,April,15.1,Pennsylvania
2020,M03,March,5.3,Pennsylvania
2020,M02,February,4.6,Pennsylvania
2020,M01,January,4.7,Pennsylvania
2019,M12,December,4.1,Pennsylvania
2019,M11,November,3.9,Pennsylvania
2019,M10,October,4,Pennsylvania
2019,M09,September,3.9,Pennsylvania
2019,M08,August,4.9,Pennsylvania
2019,M07,July,4.8,Pennsylvania
2019,M06,June,4.4,Pennsylvania
2019,M05,May,4,Pennsylvania
2019,M04,April,3.7,Pennsylvania
2019,M03,March,4.5,Pennsylvania
2019,M02,February,4.7,Pennsylvania
2019,M01,January,4.8,Pennsylvania
