year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.5,Tennessee
2024,M07,July,3.6,Tennessee
2024,M06,June,3.7,Tennessee
2024,M05,May,2.8,Tennessee
2024,M04,April,2.7,Tennessee
2024,M03,March,3,Tennessee
2024,M02,February,2.8,Tennessee
2024,M01,January,3.5,Tennessee
2023,M12,December,3,Tennessee
2023,M11,November,3.1,Tennessee
2023,M10,October,3.4,Tennessee
2023,M09,September,3.3,Tennessee
2023,M08,August,3.4,Tennessee
2023,M07,July,3.5,Tennessee
2023,M06,June,3.7,Tennessee
2023,M05,May,3.1,Tennessee
2023,M04,April,2.7,Tennessee
2023,M03,March,3.2,Tennessee
2023,M02,February,3.5,Tennessee
2023,M01,January,3.6,Tennessee
2022,M12,December,3,Tennessee
2022,M11,November,3.2,Tennessee
2022,M10,October,3.4,Tennessee
2022,M09,September,3.2,Tennessee
2022,M08,August,3.6,Tennessee
2022,M07,July,3.7,Tennessee
2022,M06,June,4,Tennessee
2022,M05,May,3.2,Tennessee
2022,M04,April,3,Tennessee
2022,M03,March,3.2,Tennessee
2022,M02,February,3.5,Tennessee
2022,M01,January,3.7,Tennessee
2021,M12,December,3,Tennessee
2021,M11,November,3.2,Tennessee
2021,M10,October,3.5,Tennessee
2021,M09,September,3.8,Tennessee
2021,M08,August,4.3,Tennessee
2021,M07,July,4.9,Tennessee
2021,M06,June,5.6,Tennessee
2021,M05,May,4.6,Tennessee
2021,M04,April,4.6,Tennessee
2021,M03,March,5.1,Tennessee
2021,M02,February,5.4,Tennessee
2021,M01,January,5.6,Tennessee
2020,M12,December,5.3,Tennessee
2020,M11,November,5.3,Tennessee
2020,M10,October,5.9,Tennessee
2020,M09,September,6.9,Tennessee
2020,M08,August,7.7,Tennessee
2020,M07,July,10.1,Tennessee
2020,M06,June,10.8,Tennessee
2020,M05,May,11.8,Tennessee
2020,M04,April,15,Tennessee
2020,M03,March,3.9,Tennessee
2020,M02,February,3.4,Tennessee
2020,M01,January,3.7,Tennessee
2019,M12,December,3.1,Tennessee
2019,M11,November,3.1,Tennessee
2019,M10,October,3.3,Tennessee
2019,M09,September,3.1,Tennessee
2019,M08,August,3.3,Tennessee
2019,M07,July,3.7,Tennessee
2019,M06,June,3.8,Tennessee
2019,M05,May,3.1,Tennessee
2019,M04,April,2.9,Tennessee
2019,M03,March,3.4,Tennessee
2019,M02,February,3.4,Tennessee
2019,M01,January,3.9,Tennessee
