year,period,periodName,Unemployment_Rate,Location
2024,M08,August,3.9,Utah
2024,M07,July,3.6,Utah
2024,M06,June,3.7,Utah
2024,M05,May,3.2,Utah
2024,M04,April,2.7,Utah
2024,M03,March,2.8,Utah
2024,M02,February,3.3,Utah
2024,M01,January,3,Utah
2023,M12,December,2.5,Utah
2023,M11,November,2.5,Utah
2023,M10,October,2.6,Utah
2023,M09,September,2.5,Utah
2023,M08,August,2.9,Utah
2023,M07,July,2.7,Utah
2023,M06,June,2.8,Utah
2023,M05,May,2.6,Utah
2023,M04,April,2.4,Utah
2023,M03,March,2.6,Utah
2023,M02,February,2.8,Utah
2023,M01,January,2.7,Utah
2022,M12,December,2.2,Utah
2022,M11,November,2.3,Utah
2022,M10,October,2.3,Utah
2022,M09,September,2.2,Utah
2022,M08,August,2.6,Utah
2022,M07,July,2.4,Utah
2022,M06,June,2.6,Utah
2022,M05,May,2.3,Utah
2022,M04,April,2.2,Utah
2022,M03,March,2.4,Utah
2022,M02,February,2.5,Utah
2022,M01,January,2.5,Utah
2021,M12,December,1.9,Utah
2021,M11,November,2,Utah
2021,M10,October,2.1,Utah
2021,M09,September,2.1,Utah
2021,M08,August,2.8,Utah
2021,M07,July,2.8,Utah
2021,M06,June,3.2,Utah
2021,M05,May,2.7,Utah
2021,M04,April,3,Utah
2021,M03,March,3.2,Utah
2021,M02,February,3.6,Utah
2021,M01,January,3.6,Utah
2020,M12,December,3.4,Utah
2020,M11,November,3.5,Utah
2020,M10,October,3.7,Utah
2020,M09,September,4.3,Utah
2020,M08,August,4.9,Utah
2020,M07,July,5.9,Utah
2020,M06,June,6.6,Utah
2020,M05,May,7.8,Utah
2020,M04,April,9.8,Utah
2020,M03,March,3,Utah
2020,M02,February,2.6,Utah
2020,M01,January,2.7,Utah
2019,M12,December,2.2,Utah
2019,M11,November,2.1,Utah
2019,M10,October,2.1,Utah
2019,M09,September,2.1,Utah
2019,M08,August,2.6,Utah
2019,M07,July,2.6,Utah
2019,M06,June,2.8,Utah
2019,M05,May,2.5,Utah
2019,M04,April,2.5,Utah
2019,M03,March,2.9,Utah
2019,M02,February,3,Utah
2019,M01,January,3.1,Utah
