year,period,periodName,Unemployment_Rate,Location
2026,M06,June,3.9,Virginia
2026,M05,May,3.6,Virginia
2026,M04,April,3.4,Virginia
2026,M03,March,3.8,Virginia
2026,M02,February,3.9,Virginia
2026,M01,January,3.9,Virginia
2025,M12,December,3.5,Virginia
2025,M11,November,3.9,Virginia
2025,M10,October,NA,Virginia
2025,M09,September,3.4,Virginia
2025,M08,August,3.6,Virginia
2025,M07,July,3.5,Virginia
2025,M06,June,3.5,Virginia
2025,M05,May,3.3,Virginia
2025,M04,April,3,Virginia
2025,M03,March,3.3,Virginia
2025,M02,February,3.3,Virginia
2025,M01,January,3.2,Virginia
2024,M12,December,2.7,Virginia
2024,M11,November,3.1,Virginia
2024,M10,October,2.9,Virginia
2024,M09,September,2.9,Virginia
2024,M08,August,3.4,Virginia
2024,M07,July,3.2,Virginia
2024,M06,June,3.1,Virginia
2024,M05,May,2.8,Virginia
2024,M04,April,2.5,Virginia
2024,M03,March,2.7,Virginia
2024,M02,February,2.9,Virginia
2024,M01,January,2.8,Virginia
2023,M12,December,2.4,Virginia
2023,M11,November,2.6,Virginia
2023,M10,October,2.7,Virginia
2023,M09,September,2.8,Virginia
2023,M08,August,3,Virginia
2023,M07,July,2.7,Virginia
2023,M06,June,2.8,Virginia
2023,M05,May,2.7,Virginia
2023,M04,April,2.3,Virginia
2023,M03,March,2.7,Virginia
2023,M02,February,2.8,Virginia
2023,M01,January,2.9,Virginia
2022,M12,December,2.4,Virginia
2022,M11,November,2.8,Virginia
2022,M10,October,2.7,Virginia
2022,M09,September,2.8,Virginia
2022,M08,August,3.2,Virginia
2022,M07,July,2.9,Virginia
2022,M06,June,2.9,Virginia
2022,M05,May,2.7,Virginia
2022,M04,April,2.3,Virginia
2022,M03,March,2.5,Virginia
2022,M02,February,2.6,Virginia
2022,M01,January,2.7,Virginia
2021,M12,December,2.6,Virginia
2021,M11,November,2.1,Virginia
2021,M10,October,3,Virginia
2021,M09,September,3.3,Virginia
2021,M08,August,4,Virginia
2021,M07,July,4.2,Virginia
2021,M06,June,4.7,Virginia
2021,M05,May,4.2,Virginia
2021,M04,April,4.1,Virginia
2021,M03,March,4.5,Virginia
2021,M02,February,4.7,Virginia
2021,M01,January,4.9,Virginia
2020,M12,December,4.5,Virginia
2020,M11,November,5,Virginia
2020,M10,October,5.4,Virginia
2020,M09,September,6.3,Virginia
2020,M08,August,7.7,Virginia
2020,M07,July,9.3,Virginia
2020,M06,June,10.2,Virginia
2020,M05,May,9.8,Virginia
2020,M04,April,11,Virginia
2020,M03,March,3.2,Virginia
2020,M02,February,2.6,Virginia
2020,M01,January,2.9,Virginia
2019,M12,December,2.4,Virginia
2019,M11,November,2.5,Virginia
2019,M10,October,2.5,Virginia
2019,M09,September,2.6,Virginia
2019,M08,August,2.9,Virginia
2019,M07,July,2.9,Virginia
2019,M06,June,2.8,Virginia
2019,M05,May,2.7,Virginia
2019,M04,April,2.4,Virginia
2019,M03,March,2.9,Virginia
2019,M02,February,3,Virginia
2019,M01,January,3.3,Virginia
