year,period,periodName,Unemployment_Rate,Location
2024,M08,August,4.9,Washington
2024,M07,July,5,Washington
2024,M06,June,4.7,Washington
2024,M05,May,4.6,Washington
2024,M04,April,4.4,Washington
2024,M03,March,5.1,Washington
2024,M02,February,5.6,Washington
2024,M01,January,5.4,Washington
2023,M12,December,4.6,Washington
2023,M11,November,4.3,Washington
2023,M10,October,4.2,Washington
2023,M09,September,4,Washington
2023,M08,August,4.3,Washington
2023,M07,July,3.8,Washington
2023,M06,June,3.7,Washington
2023,M05,May,3.6,Washington
2023,M04,April,3.5,Washington
2023,M03,March,4.1,Washington
2023,M02,February,4.5,Washington
2023,M01,January,4.5,Washington
2022,M12,December,4.2,Washington
2022,M11,November,4.2,Washington
2022,M10,October,4,Washington
2022,M09,September,3.9,Washington
2022,M08,August,4.4,Washington
2022,M07,July,3.9,Washington
2022,M06,June,4,Washington
2022,M05,May,3.7,Washington
2022,M04,April,3.7,Washington
2022,M03,March,4.1,Washington
2022,M02,February,4.5,Washington
2022,M01,January,4.7,Washington
2021,M12,December,3.8,Washington
2021,M11,November,3.9,Washington
2021,M10,October,4.1,Washington
2021,M09,September,4.6,Washington
2021,M08,August,5.1,Washington
2021,M07,July,5.3,Washington
2021,M06,June,5.5,Washington
2021,M05,May,5.1,Washington
2021,M04,April,5.3,Washington
2021,M03,March,6.2,Washington
2021,M02,February,6.7,Washington
2021,M01,January,7.1,Washington
2020,M12,December,6.8,Washington
2020,M11,November,6.5,Washington
2020,M10,October,6.6,Washington
2020,M09,September,7.7,Washington
2020,M08,August,8.5,Washington
2020,M07,July,10.7,Washington
2020,M06,June,11.5,Washington
2020,M05,May,14,Washington
2020,M04,April,16.3,Washington
2020,M03,March,5.6,Washington
2020,M02,February,3.9,Washington
2020,M01,January,4.3,Washington
2019,M12,December,3.8,Washington
2019,M11,November,3.6,Washington
2019,M10,October,3.6,Washington
2019,M09,September,3.7,Washington
2019,M08,August,4.2,Washington
2019,M07,July,4.2,Washington
2019,M06,June,4.1,Washington
2019,M05,May,3.9,Washington
2019,M04,April,4,Washington
2019,M03,March,4.9,Washington
2019,M02,February,5.3,Washington
2019,M01,January,5.3,Washington
