year,period,periodName,Unemployment_Rate,Location
2024,M08,August,2.7,Wisconsin
2024,M07,July,3.3,Wisconsin
2024,M06,June,3.3,Wisconsin
2024,M05,May,3,Wisconsin
2024,M04,April,3,Wisconsin
2024,M03,March,3.5,Wisconsin
2024,M02,February,3.3,Wisconsin
2024,M01,January,2.8,Wisconsin
2023,M12,December,2.9,Wisconsin
2023,M11,November,2.7,Wisconsin
2023,M10,October,2.8,Wisconsin
2023,M09,September,2.9,Wisconsin
2023,M08,August,3.4,Wisconsin
2023,M07,July,3.2,Wisconsin
2023,M06,June,3.5,Wisconsin
2023,M05,May,2.8,Wisconsin
2023,M04,April,2.7,Wisconsin
2023,M03,March,3.1,Wisconsin
2023,M02,February,3.3,Wisconsin
2023,M01,January,3,Wisconsin
2022,M12,December,2.3,Wisconsin
2022,M11,November,2.3,Wisconsin
2022,M10,October,2.3,Wisconsin
2022,M09,September,2.5,Wisconsin
2022,M08,August,3,Wisconsin
2022,M07,July,3.1,Wisconsin
2022,M06,June,3.3,Wisconsin
2022,M05,May,2.6,Wisconsin
2022,M04,April,2.9,Wisconsin
2022,M03,March,3.4,Wisconsin
2022,M02,February,3.7,Wisconsin
2022,M01,January,3.5,Wisconsin
2021,M12,December,2.5,Wisconsin
2021,M11,November,2.4,Wisconsin
2021,M10,October,2.5,Wisconsin
2021,M09,September,2.9,Wisconsin
2021,M08,August,3.7,Wisconsin
2021,M07,July,4,Wisconsin
2021,M06,June,4.5,Wisconsin
2021,M05,May,3.8,Wisconsin
2021,M04,April,4.4,Wisconsin
2021,M03,March,5,Wisconsin
2021,M02,February,5.3,Wisconsin
2021,M01,January,5.1,Wisconsin
2020,M12,December,4.6,Wisconsin
2020,M11,November,4.4,Wisconsin
2020,M10,October,4.5,Wisconsin
2020,M09,September,5.3,Wisconsin
2020,M08,August,6.1,Wisconsin
2020,M07,July,7.9,Wisconsin
2020,M06,June,9.1,Wisconsin
2020,M05,May,10.6,Wisconsin
2020,M04,April,14,Wisconsin
2020,M03,March,3.9,Wisconsin
2020,M02,February,3.5,Wisconsin
2020,M01,January,3.6,Wisconsin
2019,M12,December,2.8,Wisconsin
2019,M11,November,2.7,Wisconsin
2019,M10,October,2.6,Wisconsin
2019,M09,September,2.7,Wisconsin
2019,M08,August,3.3,Wisconsin
2019,M07,July,3.5,Wisconsin
2019,M06,June,3.7,Wisconsin
2019,M05,May,3,Wisconsin
2019,M04,April,3.1,Wisconsin
2019,M03,March,3.7,Wisconsin
2019,M02,February,3.7,Wisconsin
2019,M01,January,3.7,Wisconsin
